term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,model,hr,hr.ll,hr.ul
"tt(vaxtime)Dose 1 (0,3]",-1.3715432126476879,0.06884382206275165,0.06893406234536296,-19.896451275077776,4.367795589289361e-88,-1.506651492152638,-1.2364349331427378,Unadjusted,0.2537151209018977,0.22165093661473836,0.29041773320431025
"tt(vaxtime)Dose 1 (3,6]",-0.9452775325833117,0.06204175242119057,0.062097752228932664,-15.22241141834578,2.5110226210452618e-52,-1.0669868904729116,-0.8235681746937118,Unadjusted,0.3885717146238682,0.3440435982732955,0.4388629178497127
"tt(vaxtime)Dose 1 (6,12]",-0.7428261112038175,0.047020510033655594,0.04718640057537141,-15.742377086323684,7.747763402879099e-56,-0.8353097568916256,-0.6503424655160095,Unadjusted,0.4757674420769057,0.4337401066351009,0.5218670246946534
"tt(vaxtime)Dose 1 (12,21]",-0.7989626546979653,0.042439732093603584,0.042380744255367954,-18.85202038651713,2.828312823921868e-79,-0.8820273870764893,-0.7158979223194414,Unadjusted,0.44979531524897504,0.413942838031866,0.48875305243075673
"tt(vaxtime)Dose 1 (21, Inf]",-0.7710256579362609,0.07413355675378427,0.07449310041234032,-10.35029625117516,4.1719286513442e-25,-0.9170294518411737,-0.625021864031348,Unadjusted,0.46253841873878254,0.39970462112776045,0.5352497256742739
"tt(vaxtime)Dose 2 (0,3]",-2.340349341382379,0.20478317546430638,0.2047389683109963,-11.430893496676282,2.9307746281177726e-30,-2.741630345503819,-1.939068337260939,Unadjusted,0.09629399287739153,0.06446516068665957,0.14383789577972755
"tt(vaxtime)Dose 2 (3,6]",-2.0640619613863818,0.17236822226636314,0.17228442106033293,-11.980549075087643,4.493377213845427e-33,-2.401733221761968,-1.7263907010107953,Unadjusted,0.1269373068336603,0.09056085514086266,0.17792543854759074
"tt(vaxtime)Dose 2 (6,12]",-1.9700999238473766,0.13885507545864403,0.13913375320746368,-14.159755475795594,1.625587994107169e-45,-2.2427970691678896,-1.6974027785268637,Unadjusted,0.13944292184563437,0.10616114863515175,0.18315861030924593
"tt(vaxtime)Dose 2 (12,21]",-1.6988758108905087,0.44827523789162904,0.4484366403049611,-3.7884411267892415,1.5159550573924503e-4,-2.5777954752363748,-0.8199561465446423,Unadjusted,0.18288901036205263,0.07594123395468873,0.44045096937940714
"tt(vaxtime)Dose 2 (21, Inf]",-5.60049982454474,555.0922555560292,1.0010190008488988,-5.594798719899744,2.2087786560061097e-8,-7.562461014048852,-3.638538635040629,Unadjusted,0.003696015895265997,5.195949386628719e-4,0.026290736267010194
"tt(vaxtime)Dose 1 (0,3]",-1.3284026168238345,0.06884753572275552,0.06895256870891758,-19.265455104822415,1.0474054567729279e-82,-1.4635471681348364,-1.1932580655128326,Minimally adjusted,0.2649000704316951,0.23141395293534892,0.3032317041588296
"tt(vaxtime)Dose 1 (3,6]",-0.9039134960511004,0.06205006878483433,0.06211045069168929,-14.553323731911817,5.563296939313696e-48,-1.0256477424703623,-0.7821792496318385,Minimally adjusted,0.4049816603241732,0.35856413295101475,0.457408117898201
"tt(vaxtime)Dose 1 (6,12]",-0.7029050721736961,0.047034508384798515,0.04719872068824731,-14.89246026002401,3.6893961596654828e-50,-0.7954128648390264,-0.6103972795083658,Minimally adjusted,0.4951447810678394,0.4513948313911084,0.5431350497814936
"tt(vaxtime)Dose 1 (12,21]",-0.7606559689556422,0.04246834881174324,0.04240259523419084,-17.938901257211164,5.860241853946128e-72,-0.843763528465686,-0.6775484094455984,Minimally adjusted,0.4673597529475235,0.43008882215883226,0.5078605335027879
"tt(vaxtime)Dose 1 (21, Inf]",-0.7148362691996485,0.07415247805456916,0.07451141529439337,-9.593647716599426,8.502469164396302e-22,-0.8608759596137664,-0.5687965787855305,Minimally adjusted,0.4892722141697555,0.422791571723411,0.5662064136774742
"tt(vaxtime)Dose 2 (0,3]",-2.306095027475731,0.2047906541103702,0.20473919478300928,-11.263573786737913,1.98540427373862e-29,-2.70737647547416,-1.904813579477302,Minimally adjusted,0.0996496218137812,0.0667115968421425,0.1488503888031157
"tt(vaxtime)Dose 2 (3,6]",-2.0259891342453584,0.17237759341183717,0.1722761220273193,-11.76012734907093,6.263974329105785e-32,-2.3636441288151318,-1.688334139675585,Minimally adjusted,0.13186334810657308,0.09407676991430122,0.18482716391851814
"tt(vaxtime)Dose 2 (6,12]",-1.9235224220330065,0.1388642692738473,0.13916638909965207,-13.82174557001433,1.8844415801421295e-43,-2.196283532526812,-1.650761311539201,Minimally adjusted,0.14609145897958503,0.11121572085899992,0.1919037544507059
