variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,estimate,std.error,statistic,n,conf.low,conf.high,ci,p.value
age,age,continuous,NA,label,age,100000,age,numeric,NA,NA,NA,NA,0.20166155180376844,0.027345520654363898,7.374573494236488,NA,0.14806531618271904,0.25525778742481786,"0.15, 0.26",1.6487200773642067e-13
I(age * age),I(age * age),continuous,NA,label,I(age * age),100000,I(age * age),numeric,NA,NA,NA,NA,-0.0012978800464306477,1.5759768158225734e-4,-8.23540063153293,NA,-0.0016067658263788833,-9.88994266482412e-4,"0.00, 0.00",1.7895773503433933e-16
sex,sex,dichotomous,NA,label,sex,100000,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
sex,sex,dichotomous,TRUE,level,Female,100000,sexFemale,factor,2,FALSE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
sex,sex,dichotomous,FALSE,level,Male,100000,sexMale,factor,2,FALSE,contr.treatment,treatment,0.075913407365465,0.00680047292325251,11.162960020897687,NA,0.06258472535805026,0.08924208937287972,"0.06, 0.09",6.189578614931355e-29
imd,imd,categorical,NA,label,imd,100000,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
imd,imd,categorical,TRUE,level,1 most deprived,100000,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
imd,imd,categorical,FALSE,level,2,100000,imd2,factor,5,FALSE,contr.treatment,treatment,0.04034414816881388,0.012198444371153142,3.307319109002099,NA,0.016435636533938383,0.06425265980368938,"0.02, 0.06",9.419352430858134e-4
imd,imd,categorical,FALSE,level,3,100000,imd3,factor,5,FALSE,contr.treatment,treatment,0.08312831503401777,0.011547058617645871,7.199090070174543,NA,0.060496496016059005,0.10576013405197654,"0.06, 0.11",6.06157019014488e-13
imd,imd,categorical,FALSE,level,4,100000,imd4,factor,5,FALSE,contr.treatment,treatment,0.1497507404274253,0.011525097390103236,12.993446854168745,NA,0.1271619646245064,0.17233951623034421,"0.13, 0.17",1.3328620957916314e-38
imd,imd,categorical,FALSE,level,5 least deprived,100000,imd5 least deprived,factor,5,FALSE,contr.treatment,treatment,0.20726037547601425,0.011575441427830922,17.905181134405513,NA,0.18457292717231275,0.22994782377971576,"0.18, 0.23",1.0744502809197361e-71
ethnicity,ethnicity,categorical,NA,label,ethnicity,100000,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity,ethnicity,categorical,TRUE,level,White,100000,ethnicityWhite,factor,5,FALSE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity,ethnicity,categorical,FALSE,level,Black,100000,ethnicityBlack,factor,5,FALSE,contr.treatment,treatment,-0.828845333371462,0.03692732791969341,-22.445310290903485,NA,-0.9012215661393616,-0.7564691006035625,"-0.90, -0.76",1.4220792399960852e-111
ethnicity,ethnicity,categorical,FALSE,level,South Asian,100000,ethnicitySouth Asian,factor,5,FALSE,contr.treatment,treatment,-0.5178563932610213,0.022616717204482516,-22.897062760212822,NA,-0.5621843444303344,-0.47352844209170813,"-0.56, -0.47",4.970054919693949e-116
ethnicity,ethnicity,categorical,FALSE,level,Mixed,100000,ethnicityMixed,factor,5,FALSE,contr.treatment,treatment,-0.534536556384049,0.06527581889703273,-8.188890854471497,NA,-0.6624748104835921,-0.4065983022845058,"-0.66, -0.41",2.6364449059307363e-16
ethnicity,ethnicity,categorical,FALSE,level,Other,100000,ethnicityOther,factor,5,FALSE,contr.treatment,treatment,-0.5558756433318253,0.04568286171475528,-12.16814407999928,NA,-0.6454124070034692,-0.4663388796601812,"-0.65, -0.47",4.594095070926103e-34
bmi,bmi,categorical,NA,label,bmi,100000,NA,factor,4,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
bmi,bmi,categorical,TRUE,level,Not obese,100000,bmiNot obese,factor,4,FALSE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
bmi,bmi,categorical,FALSE,level,Obese I (30-34.9),100000,bmiObese I (30-34.9),factor,4,FALSE,contr.treatment,treatment,0.008144130031044076,0.00989990681442474,0.8226471403930394,NA,-0.011259330775531064,0.027547590837619217,"-0.01, 0.03",0.4107086830578278
bmi,bmi,categorical,FALSE,level,Obese II (35-39.9),100000,bmiObese II (35-39.9),factor,4,FALSE,contr.treatment,treatment,-0.0819561826854302,0.01808629965533498,-4.531395821546908,NA,-0.11740467862348594,-0.046507686747374453,"-0.12, -0.05",5.859523148282904e-6
bmi,bmi,categorical,FALSE,level,Obese III (40+),100000,bmiObese III (40+),factor,4,FALSE,contr.treatment,treatment,-0.1702209797276819,0.03261449168515544,-5.219182361353752,NA,-0.23414420880466763,-0.1062977506506962,"-0.23, -0.11",1.7971474510312993e-7
chronic_cardiac_disease,chronic_cardiac_disease,continuous,NA,label,chronic_cardiac_disease,100000,chronic_cardiac_disease,numeric,NA,NA,NA,NA,-0.019028986936540645,0.02136452520408923,-0.8906814803868631,NA,-0.06090268688335378,0.022844713010272483,"-0.06, 0.02",0.37310007288265673
