variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,estimate,std.error,statistic,n,conf.low,conf.high,ci,p.value
"age, degree = 2","age, degree = 2",continuous,NA,label,"age, degree = 2",100000,NA,nmatrix.2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age, degree = 2","age, degree = 2",continuous,NA,level,"age, degree = 2",100000,"poly(age, degree = 2, raw = TRUE)1",nmatrix.2,NA,FALSE,NA,NA,0.26564960759347217,0.027762608966709696,9.568611073693187,NA,0.2112358939018524,0.3200633212850919,"0.21, 0.32",1.0835144704920316e-21
"age, degree = 2","age, degree = 2",continuous,NA,level,"age, degree = 2²",100000,"poly(age, degree = 2, raw = TRUE)2",nmatrix.2,NA,FALSE,NA,NA,-0.0016681408319129233,1.601141523500064e-4,-10.418447135556137,NA,-0.0019819588039340953,-0.0013543228598917516,"0.00, 0.00",2.042608974454683e-25
sex,sex,dichotomous,NA,label,sex,100000,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
sex,sex,dichotomous,TRUE,level,Female,100000,sexFemale,factor,2,FALSE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
sex,sex,dichotomous,FALSE,level,Male,100000,sexMale,factor,2,FALSE,contr.treatment,treatment,0.07286429321077355,0.006800354817445695,10.714778150082227,NA,0.05953584268648653,0.08619274373506056,"0.06, 0.09",8.676502545420547e-27
imd,imd,categorical,NA,label,imd,100000,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
imd,imd,categorical,TRUE,level,1 most deprived,100000,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA
imd,imd,categorical,FALSE,level,2,100000,imd2,factor,5,FALSE,contr.treatment,treatment,0.0991475707195002,0.012496708348496022,7.93389490692824,NA,0.07465447243114698,0.12364066900785342,"0.07, 0.12",2.1237783166230828e-15
imd,imd,categorical,FALSE,level,3,100000,imd3,factor,5,FALSE,contr.treatment,treatment,0.15694797317777853,0.011996356097422542,13.082970520648294,NA,0.13343554728111287,0.1804603990744442,"0.13, 0.18",4.120183298955645e-39
imd,imd,categorical,FALSE,level,4,100000,imd4,factor,5,FALSE,contr.treatment,treatment,0.22512257329621493,0.01190522859991135,18.909554857089535,NA,0.2017887540126725,0.24845639257975738,"0.20, 0.25",9.515660748603098e-80
