outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.22,(0.20-0.25),77.5,(74.8-79.9),0.22 (0.20-0.25),77.5 (74.8-79.9)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.32,(0.29-0.35),68.1,(65.4-70.7),0.32 (0.29-0.35),68.1 (65.4-70.7)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.38,(0.36-0.40),62.1,(59.5-64.4),0.38 (0.36-0.40),62.1 (59.5-64.4)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.33,(0.30-0.35),67.2,(64.7-69.5),0.33 (0.30-0.35),67.2 (64.7-69.5)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.27,(0.24-0.29),73.4,(70.8-75.8),0.27 (0.24-0.29),73.4 (70.8-75.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.24,(0.22-0.27),76.0,(73.3-78.4),0.24 (0.22-0.27),76.0 (73.3-78.4)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.21,(0.19-0.23),78.9,(76.8-80.8),0.21 (0.19-0.23),78.9 (76.8-80.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.24,(0.22-0.27),75.9,(73.0-78.4),0.24 (0.22-0.27),75.9 (73.0-78.4)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.35,(0.32-0.38),65.4,(62.4-68.2),0.35 (0.32-0.38),65.4 (62.4-68.2)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.42,(0.39-0.45),58.2,(55.3-60.8),0.42 (0.39-0.45),58.2 (55.3-60.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.37,(0.34-0.40),63.2,(60.4-65.8),0.37 (0.34-0.40),63.2 (60.4-65.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.30,(0.28-0.34),69.5,(66.5-72.3),0.30 (0.28-0.34),69.5 (66.5-72.3)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.28,(0.25-0.31),72.2,(69.0-75.1),0.28 (0.25-0.31),72.2 (69.0-75.1)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.25,(0.22-0.27),75.3,(72.7-77.7),0.25 (0.22-0.27),75.3 (72.7-77.7)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.27,(0.24-0.30),73.5,(70.3-76.3),0.27 (0.24-0.30),73.5 (70.3-76.3)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.38,(0.35-0.42),61.6,(58.3-64.7),0.38 (0.35-0.42),61.6 (58.3-64.7)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.47,(0.44-0.50),53.4,(50.3-56.4),0.47 (0.44-0.50),53.4 (50.3-56.4)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.41,(0.38-0.44),58.9,(55.7-61.8),0.41 (0.38-0.44),58.9 (55.7-61.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.35,(0.32-0.38),65.1,(61.6-68.3),0.35 (0.32-0.38),65.1 (61.6-68.3)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.32,(0.29-0.36),67.8,(64.1-71.1),0.32 (0.29-0.36),67.8 (64.1-71.1)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.29,(0.26-0.32),71.2,(68.1-74.0),0.29 (0.26-0.32),71.2 (68.1-74.0)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.16,(0.14-0.19),83.6,(80.9-85.9),0.16 (0.14-0.19),83.6 (80.9-85.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.25,(0.22-0.27),75.3,(72.5-77.9),0.25 (0.22-0.27),75.3 (72.5-77.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.34,(0.31-0.36),66.5,(63.8-68.9),0.34 (0.31-0.36),66.5 (63.8-68.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.30,(0.28-0.33),69.8,(67.3-72.2),0.30 (0.28-0.33),69.8 (67.3-72.2)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.26,(0.23-0.29),74.3,(71.4-76.9),0.26 (0.23-0.29),74.3 (71.4-76.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.24,(0.22-0.28),75.5,(72.4-78.3),0.24 (0.22-0.28),75.5 (72.4-78.3)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.24,(0.21-0.26),76.5,(73.7-78.9),0.24 (0.21-0.26),76.5 (73.7-78.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.18,(0.16-0.21),81.8,(78.9-84.4),0.18 (0.16-0.21),81.8 (78.9-84.4)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.27,(0.25-0.31),72.5,(69.4-75.4),0.27 (0.25-0.31),72.5 (69.4-75.4)
