stratum,brand_descr,var_label,label,HR,CI,HR_ECI
all,Any vaccine,Age,Age,1.33,(1.27-1.39),1.33 (1.27-1.39)
all,Any vaccine,Age,Age²,1.00,(1.00-1.00),1.00 (1.00-1.00)
all,Any vaccine,Sex,Female,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Sex,Male,1.08,(1.07-1.10),1.08 (1.07-1.10)
all,Any vaccine,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
all,Any vaccine,IMD,2,1.13,(1.11-1.15),1.13 (1.11-1.15)
all,Any vaccine,IMD,3,1.19,(1.17-1.21),1.19 (1.17-1.21)
all,Any vaccine,IMD,4,1.29,(1.27-1.32),1.29 (1.27-1.32)
all,Any vaccine,IMD,5 least deprived,1.34,(1.31-1.36),1.34 (1.31-1.36)
all,Any vaccine,Ethnicity,White,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Ethnicity,Black,0.45,(0.41-0.48),0.45 (0.41-0.48)
all,Any vaccine,Ethnicity,South Asian,0.47,(0.45-0.49),0.47 (0.45-0.49)
all,Any vaccine,Ethnicity,Mixed,0.67,(0.59-0.77),0.67 (0.59-0.77)
all,Any vaccine,Ethnicity,Other,0.64,(0.58-0.72),0.64 (0.58-0.72)
all,Any vaccine,Body Mass Index,Not obese,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Body Mass Index,Obese I (30-34.9),1.01,(0.99-1.02),1.01 (0.99-1.02)
all,Any vaccine,Body Mass Index,Obese II (35-39.9),0.94,(0.91-0.98),0.94 (0.91-0.98)
all,Any vaccine,Body Mass Index,Obese III (40+),0.84,(0.79-0.89),0.84 (0.79-0.89)
all,Any vaccine,Heart failure,Heart failure,0.96,(0.94-0.98),0.96 (0.94-0.98)
all,Any vaccine,Other heart disease,Other heart disease,1.04,(1.01-1.07),1.04 (1.01-1.07)
all,Any vaccine,Dialysis,Dialysis,0.98,(0.85-1.13),0.98 (0.85-1.13)
all,Any vaccine,Diabetes,Diabetes,0.96,(0.94-0.99),0.96 (0.94-0.99)
all,Any vaccine,Chronic liver disease,Chronic liver disease,0.92,(0.85-0.98),0.92 (0.85-0.98)
all,Any vaccine,COPD,COPD,0.97,(0.94-1.00),0.97 (0.94-1.00)
all,Any vaccine,Other respiratory conditions,Other respiratory conditions,0.95,(0.92-0.98),0.95 (0.92-0.98)
all,Any vaccine,Lung Cancer,Lung Cancer,1.02,(0.95-1.10),1.02 (0.95-1.10)
