stratum,var_label,label,Any vaccine_HR_ECI,BNT162b2_HR_ECI,ChAdOx1_HR_ECI
all,Age,Age,1.33 (1.27-1.39),1.66 (1.56-1.76),0.97 (0.91-1.04)
all,Age,Age²,1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00)
all,Sex,Female,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Sex,Male,1.08 (1.07-1.10),1.12 (1.11-1.14),0.97 (0.95-0.99)
all,IMD,1 most deprived,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,IMD,2,1.13 (1.11-1.15),1.15 (1.12-1.17),1.08 (1.05-1.11)
all,IMD,3,1.19 (1.17-1.21),1.17 (1.14-1.19),1.22 (1.18-1.25)
all,IMD,4,1.29 (1.27-1.32),1.27 (1.25-1.30),1.32 (1.28-1.36)
all,IMD,5 least deprived,1.34 (1.31-1.36),1.33 (1.30-1.35),1.34 (1.30-1.38)
all,Ethnicity,White,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Ethnicity,Black,0.45 (0.41-0.48),0.46 (0.42-0.51),0.47 (0.42-0.52)
all,Ethnicity,South Asian,0.47 (0.45-0.49),0.49 (0.47-0.52),0.46 (0.44-0.49)
all,Ethnicity,Mixed,0.67 (0.59-0.77),0.68 (0.58-0.79),0.67 (0.56-0.80)
all,Ethnicity,Other,0.64 (0.58-0.72),0.71 (0.63-0.79),0.60 (0.52-0.69)
all,Body Mass Index,Not obese,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Body Mass Index,Obese I (30-34.9),1.01 (0.99-1.02),1.01 (1.00-1.03),0.99 (0.96-1.02)
all,Body Mass Index,Obese II (35-39.9),0.94 (0.91-0.98),0.91 (0.87-0.95),1.02 (0.96-1.08)
all,Body Mass Index,Obese III (40+),0.84 (0.79-0.89),0.77 (0.72-0.83),1.00 (0.92-1.08)
all,Heart failure,Heart failure,0.96 (0.94-0.98),0.94 (0.91-0.96),1.00 (0.97-1.03)
all,Other heart disease,Other heart disease,1.04 (1.01-1.07),1.02 (0.99-1.05),1.04 (1.00-1.08)
all,Dialysis,Dialysis,0.98 (0.85-1.13),0.98 (0.83-1.15),1.01 (0.80-1.27)
all,Diabetes,Diabetes,0.96 (0.94-0.99),0.95 (0.92-0.98),1.01 (0.96-1.05)
all,Chronic liver disease,Chronic liver disease,0.92 (0.85-0.98),0.86 (0.79-0.94),1.07 (0.96-1.19)
all,COPD,COPD,0.97 (0.94-1.00),0.97 (0.93-1.00),0.96 (0.92-1.00)
all,Other respiratory conditions,Other respiratory conditions,0.95 (0.92-0.98),0.95 (0.91-0.98),0.98 (0.94-1.03)
all,Lung Cancer,Lung Cancer,1.02 (0.95-1.10),1.02 (0.94-1.11),1.00 (0.88-1.13)
all,Haematological cancer,Haematological cancer,1.02 (0.97-1.07),1.02 (0.96-1.07),1.01 (0.93-1.09)
all,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.04 (1.01-1.07),1.02 (0.99-1.06),1.07 (1.02-1.12)
all,Immunosuppressed,Immunosuppressed,1.03 (0.99-1.06),1.01 (0.97-1.05),1.05 (0.99-1.10)
all,Dementia,Dementia,0.80 (0.77-0.83),0.72 (0.69-0.75),1.00 (0.95-1.05)
all,Other neurological conditions,Other neurological conditions,0.83 (0.79-0.87),0.77 (0.73-0.81),1.00 (0.94-1.06)
all,Learning disabilities,Learning disabilities,0.72 (0.59-0.88),0.58 (0.43-0.78),0.95 (0.75-1.21)
all,Serious mental illness,Serious mental illness,0.69 (0.65-0.74),0.63 (0.58-0.69),0.84 (0.76-0.92)
all,Morbidity count,0,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Morbidity count,1,1.00 (0.97-1.03),1.02 (0.99-1.05),0.97 (0.93-1.02)
all,Morbidity count,2,1.01 (0.95-1.06),1.05 (0.99-1.12),0.93 (0.86-1.01)
all,Morbidity count,3,1.03 (0.96-1.12),1.09 (1.00-1.20),0.92 (0.82-1.04)
all,Morbidity count,4+,1.04 (0.93-1.16),1.13 (0.99-1.28),0.89 (0.75-1.05)
all,Shielding criteria met,Shielding criteria met,1.03 (1.01-1.04),1.01 (0.99-1.03),1.04 (1.01-1.07)
all,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.99 (1.95-2.03),1.86 (1.82-1.90),2.02 (1.96-2.08)
all,Frailty,None,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Frailty,Mild,1.17 (1.14-1.20),1.11 (1.08-1.14),1.33 (1.27-1.40)
all,Frailty,Moderate,1.14 (1.11-1.17),1.05 (1.02-1.08),1.38 (1.32-1.45)
all,Frailty,Severe,1.04 (1.01-1.07),0.91 (0.88-0.94),1.43 (1.36-1.50)
all,region,Midlands,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,region,North East and Yorkshire,0.16 (0.07-0.37),0.11 (0.05-0.24),0.06 (0.02-0.14)
all,region,East of England,63.43 (28.16-142.87),42.29 (19.86-90.09),0.13 (0.05-0.32)
all,region,South East,3.46 (0.85-14.04),1.67 (0.41-6.80),0.42 (0.11-1.60)
all,region,South West,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-1.77)
all,region,North West,2.66 (0.96-7.38),1.14 (0.42-3.13),0.08 (0.01-0.48)
all,region,London,0.00 (0.00-1.21),0.01 (0.00-3.31),0.00 (0.00-27 450 946 528.11)
all,Time since suspected COVID,Not suspected,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since suspected COVID,1-21,1.46 (1.30-1.64),1.56 (1.38-1.76),1.19 (1.00-1.42)
all,Time since suspected COVID,22-28,1.03 (0.80-1.32),0.88 (0.64-1.22),1.24 (0.89-1.73)
all,Time since suspected COVID,29+,1.12 (0.92-1.37),1.24 (0.97-1.59),1.05 (0.89-1.25)
all,Time since discharge from infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since discharge from infectious hosp admission,In hospital,0.80 (0.79-0.82),0.88 (0.86-0.90),0.07 (0.06-0.09)
all,Time since discharge from infectious hosp admission,1-21,0.60 (0.58-0.64),0.47 (0.44-0.51),0.85 (0.80-0.90)
all,Time since discharge from infectious hosp admission,22-28,0.88 (0.80-0.97),0.66 (0.58-0.76),1.18 (1.06-1.31)
all,Time since discharge from non-infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since discharge from non-infectious hosp admission,In hospital,0.93 (0.90-0.97),0.95 (0.92-0.99),0.39 (0.29-0.52)
all,Time since discharge from non-infectious hosp admission,1-21,0.62 (0.53-0.73),0.48 (0.38-0.60),0.85 (0.71-1.02)
all,Time since discharge from non-infectious hosp admission,22-28,0.93 (0.73-1.18),0.80 (0.57-1.11),1.26 (0.95-1.68)
