brand_descr,var_label,label,HR,CI
Any vaccine,Age,Age, 0.84,( 0.68-      1.05)
Any vaccine,Age,Age², 1.00,( 1.00-      1.00)
Any vaccine,Sex,Female,1,(NA-NA)
Any vaccine,Sex,Male, 0.99,( 0.97-      1.01)
Any vaccine,IMD,1 most deprived,1,(NA-NA)
Any vaccine,IMD,2, 1.13,( 1.10-      1.17)
Any vaccine,IMD,3, 1.16,( 1.13-      1.20)
Any vaccine,IMD,4, 1.21,( 1.17-      1.24)
Any vaccine,IMD,5 least deprived, 1.32,( 1.29-      1.36)
Any vaccine,Ethnicity,White,1,(NA-NA)
Any vaccine,Ethnicity,Black, 0.41,( 0.35-      0.48)
Any vaccine,Ethnicity,South Asian, 0.58,( 0.54-      0.61)
Any vaccine,Ethnicity,Mixed, 0.57,( 0.44-      0.72)
Any vaccine,Ethnicity,Other, 0.68,( 0.58-      0.79)
Any vaccine,Body Mass Index,Not obese,1,(NA-NA)
Any vaccine,Body Mass Index,Obese I (30-34.9), 1.04,( 1.01-      1.06)
Any vaccine,Body Mass Index,Obese II (35-39.9), 0.98,( 0.92-      1.04)
Any vaccine,Body Mass Index,Obese III (40+), 0.94,( 0.87-      1.01)
Any vaccine,Heart failure,Heart failure, 0.93,( 0.89-      0.98)
Any vaccine,Other heart disease,Other heart disease, 0.98,( 0.93-      1.04)
Any vaccine,Dialysis,Dialysis, 0.99,( 0.75-      1.31)
Any vaccine,Diabetes,Diabetes, 0.98,( 0.92-      1.03)
Any vaccine,Chronic liver disease,Chronic liver disease, 0.94,( 0.85-      1.05)
Any vaccine,COPD,COPD, 0.93,( 0.87-      0.98)
Any vaccine,Other respiratory conditions,Other respiratory conditions, 0.92,( 0.87-      0.97)
Any vaccine,Lung Cancer,Lung Cancer, 0.96,( 0.85-      1.09)
Any vaccine,Haematological cancer,Haematological cancer, 0.98,( 0.90-      1.06)
Any vaccine,"Cancer excl. lung, haemo","Cancer excl. lung, haemo", 1.02,( 0.96-      1.08)
Any vaccine,Immunosuppressed,Immunosuppressed, 0.99,( 0.93-      1.06)
Any vaccine,Dementia,Dementia, 0.85,( 0.78-      0.92)
Any vaccine,Other neurological conditions,Other neurological conditions, 0.89,( 0.82-      0.96)
Any vaccine,Learning disabilities,Learning disabilities, 0.64,( 0.52-      0.77)
Any vaccine,Serious mental illness,Serious mental illness, 0.73,( 0.66-      0.81)
Any vaccine,Morbidity count,0,1,(NA-NA)
Any vaccine,Morbidity count,1, 1.04,( 0.98-      1.10)
Any vaccine,Morbidity count,2, 1.08,( 0.97-      1.21)
Any vaccine,Morbidity count,3, 1.17,( 0.99-      1.37)
Any vaccine,Morbidity count,4+, 1.10,( 0.87-      1.39)
Any vaccine,Shielding criteria met,Shielding criteria met, 1.09,( 1.06-      1.13)
Any vaccine,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years, 1.70,( 1.66-      1.74)
Any vaccine,Frailty,None,1,(NA-NA)
Any vaccine,Frailty,Mild, 1.07,( 1.04-      1.09)
Any vaccine,Frailty,Moderate, 1.03,( 1.00-      1.06)
Any vaccine,Frailty,Severe, 0.97,( 0.92-      1.02)
Any vaccine,region,East,1,(NA-NA)
Any vaccine,region,East Midlands, 0.15,( 0.10-      0.22)
Any vaccine,region,London, 0.00,( 0.00-      0.07)
Any vaccine,region,North East, 0.50,( 0.28-      0.90)
Any vaccine,region,North West, 0.30,( 0.18-      0.51)
Any vaccine,region,South East, 2.91,( 2.43-      3.50)
Any vaccine,region,South West, 0.50,( 0.24-      1.01)
Any vaccine,region,West Midlands, 0.52,( 0.16-      1.65)
Any vaccine,region,Yorkshire and The Humber, 0.34,( 0.30-      0.39)
Any vaccine,Time since positive SARS-CoV-2 test,No positive test,1,(NA-NA)
Any vaccine,Time since positive SARS-CoV-2 test,1-21, 0.06,( 0.04-      0.08)
Any vaccine,Time since positive SARS-CoV-2 test,22-28, 0.21,( 0.16-      0.28)
Any vaccine,Time since positive SARS-CoV-2 test,29+, 1.24,( 1.04-      1.48)
Any vaccine,Time since suspected COVID,Not suspected,1,(NA-NA)
Any vaccine,Time since suspected COVID,1-21, 1.16,( 0.96-      1.40)
Any vaccine,Time since suspected COVID,22-28, 0.58,( 0.37-      0.92)
Any vaccine,Time since suspected COVID,29+, 1.08,( 0.77-      1.51)
Any vaccine,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA)
Any vaccine,Time since discharge from infectious hosp admission,In hospital, 0.93,( 0.91-      0.95)
Any vaccine,Time since discharge from infectious hosp admission,1-7, 0.42,( 0.34-      0.52)
Any vaccine,Time since discharge from infectious hosp admission,8-14, 0.68,( 0.56-      0.83)
Any vaccine,Time since discharge from infectious hosp admission,15-21, 0.77,( 0.61-      0.96)
Any vaccine,Time since discharge from infectious hosp admission,22-28, 0.74,( 0.54-      1.00)
Any vaccine,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA)
