var_label,label,Any vaccine_HR_ECI,BNT162b2_HR_ECI,ChAdOx1_HR_ECI
Age,Age,0.89 (0.72-1.08),0.57 (0.43-0.74),1.65 (1.30-2.11)
Age,Age²,1.00 (1.00-1.00),1.01 (1.00-1.01),1.00 (1.00-1.00)
Sex,Female,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Sex,Male,1.00 (0.98-1.01),1.01 (0.99-1.03),0.99 (0.97-1.01)
IMD,1 most deprived,1 (NA-NA),1 (NA-NA),1 (NA-NA)
IMD,2,1.15 (1.12-1.18),1.14 (1.10-1.19),1.14 (1.11-1.18)
IMD,3,1.18 (1.15-1.22),1.11 (1.07-1.15),1.22 (1.18-1.26)
IMD,4,1.22 (1.19-1.25),1.19 (1.15-1.24),1.22 (1.18-1.26)
IMD,5 least deprived,1.34 (1.30-1.37),1.41 (1.36-1.46),1.25 (1.21-1.29)
Ethnicity,White,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Ethnicity,Black,0.45 (0.39-0.53),0.50 (0.40-0.61),0.45 (0.38-0.54)
Ethnicity,South Asian,0.59 (0.56-0.63),0.60 (0.56-0.65),0.61 (0.58-0.65)
Ethnicity,Mixed,0.57 (0.46-0.71),0.51 (0.37-0.69),0.64 (0.51-0.80)
Ethnicity,Other,0.72 (0.63-0.82),0.70 (0.58-0.85),0.75 (0.64-0.87)
Body Mass Index,Not obese,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Body Mass Index,Obese I (30-34.9),1.04 (1.02-1.06),1.07 (1.03-1.10),1.02 (1.00-1.05)
Body Mass Index,Obese II (35-39.9),1.00 (0.94-1.06),0.98 (0.90-1.06),1.01 (0.95-1.09)
Body Mass Index,Obese III (40+),0.95 (0.89-1.01),0.93 (0.84-1.03),0.96 (0.89-1.04)
Heart failure,Heart failure,0.93 (0.89-0.97),0.96 (0.90-1.02),0.92 (0.87-0.97)
Other heart disease,Other heart disease,1.01 (0.96-1.06),1.03 (0.96-1.11),0.99 (0.93-1.05)
Dialysis,Dialysis,1.01 (0.80-1.27),0.92 (0.67-1.28),1.06 (0.82-1.37)
Diabetes,Diabetes,0.99 (0.94-1.05),0.99 (0.92-1.07),1.00 (0.94-1.06)
Chronic liver disease,Chronic liver disease,0.95 (0.86-1.05),0.94 (0.81-1.08),0.97 (0.86-1.09)
COPD,COPD,0.94 (0.89-0.99),0.94 (0.87-1.01),0.95 (0.89-1.01)
Other respiratory conditions,Other respiratory conditions,0.94 (0.89-0.99),0.94 (0.88-1.02),0.94 (0.89-1.00)
Lung Cancer,Lung Cancer,1.01 (0.91-1.13),0.90 (0.76-1.06),1.09 (0.96-1.24)
Haematological cancer,Haematological cancer,1.01 (0.94-1.09),0.99 (0.89-1.11),1.02 (0.93-1.12)
"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.04 (0.98-1.09),1.05 (0.97-1.13),1.02 (0.96-1.09)
Immunosuppressed,Immunosuppressed,1.01 (0.95-1.07),0.99 (0.91-1.07),1.03 (0.96-1.10)
Dementia,Dementia,0.86 (0.79-0.92),0.86 (0.78-0.96),0.86 (0.79-0.94)
Other neurological conditions,Other neurological conditions,0.93 (0.87-1.00),0.87 (0.78-0.97),0.98 (0.90-1.07)
Learning disabilities,Learning disabilities,0.61 (0.51-0.73),0.60 (0.44-0.80),0.64 (0.52-0.79)
Serious mental illness,Serious mental illness,0.76 (0.69-0.83),0.68 (0.59-0.79),0.82 (0.73-0.91)
Morbidity count,0,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Morbidity count,1,1.02 (0.97-1.07),1.01 (0.94-1.09),1.02 (0.96-1.08)
Morbidity count,2,1.03 (0.94-1.14),1.04 (0.91-1.20),1.02 (0.91-1.15)
Morbidity count,3,1.09 (0.94-1.25),1.10 (0.89-1.35),1.07 (0.90-1.27)
Morbidity count,4+,1.03 (0.84-1.27),1.09 (0.81-1.47),0.99 (0.77-1.26)
Shielding criteria met,Shielding criteria met,1.08 (1.05-1.11),1.07 (1.03-1.12),1.08 (1.04-1.12)
Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.72 (1.68-1.76),1.59 (1.53-1.64),1.73 (1.69-1.78)
Frailty,None,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Frailty,Mild,1.07 (1.05-1.09),1.06 (1.03-1.09),1.07 (1.05-1.10)
Frailty,Moderate,1.04 (1.01-1.07),1.00 (0.96-1.04),1.07 (1.03-1.10)
Frailty,Severe,0.97 (0.93-1.01),0.91 (0.85-0.97),1.02 (0.96-1.07)
region,East,1 (NA-NA),1 (NA-NA),1 (NA-NA)
region,East Midlands,0.12 (0.08-0.17),0.11 (0.07-0.16),0.11 (0.00-4.28)
region,London,0.00 (0.00-0.03),0.00 (0.00-0.03),10.50 (3.13-35.25)
region,North East,0.55 (0.34-0.89),0.38 (0.22-0.67),9.95 (2.83-34.95)
region,North West,0.28 (0.19-0.42),0.11 (0.06-0.21),5.90 (2.67-13.06)
region,South East,2.36 (2.02-2.76),2.19 (1.89-2.54),0.00 (0.00-0.00)
region,South West,0.44 (0.22-0.86),0.36 (0.17-0.73),1.79 (0.30-10.84)
region,West Midlands,0.46 (0.15-1.43),0.42 (0.16-1.13),0.00 (0.00-371 411.67)
region,Yorkshire and The Humber,0.27 (0.24-0.31),0.25 (0.22-0.28),1.19 (0.65-2.17)
Time since positive SARS-CoV-2 test,No positive test,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Time since positive SARS-CoV-2 test,1-21,0.06 (0.04-0.08),0.04 (0.02-0.07),0.08 (0.05-0.11)
Time since positive SARS-CoV-2 test,22-28,0.21 (0.16-0.27),0.21 (0.13-0.34),0.22 (0.16-0.30)
Time since positive SARS-CoV-2 test,29+,1.32 (1.14-1.51),1.31 (0.97-1.76),1.34 (1.16-1.54)
Time since suspected COVID,Not suspected,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Time since suspected COVID,1-21,1.31 (1.11-1.56),1.09 (0.84-1.42),1.44 (1.18-1.76)
Time since suspected COVID,22-28,0.73 (0.47-1.11),0.56 (0.25-1.23),0.81 (0.49-1.32)
Time since suspected COVID,29+,1.13 (0.84-1.51),1.05 (0.54-2.03),1.16 (0.79-1.71)
Time since discharge from infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Time since discharge from infectious hosp admission,In hospital,0.92 (0.90-0.94),0.90 (0.87-0.92),0.94 (0.92-0.97)
Time since discharge from infectious hosp admission,1-21,0.54 (0.49-0.60),0.48 (0.39-0.57),0.60 (0.54-0.68)
Time since discharge from infectious hosp admission,22-28,0.83 (0.65-1.06),0.79 (0.50-1.23),0.86 (0.66-1.13)
Time since discharge from non-infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Time since discharge from non-infectious hosp admission,In hospital,0.96 (0.93-0.99),0.95 (0.91-0.99),0.97 (0.94-1.01)
Time since discharge from non-infectious hosp admission,1-21,0.60 (0.48-0.75),0.41 (0.26-0.65),0.71 (0.57-0.90)
Time since discharge from non-infectious hosp admission,22-28,0.72 (0.44-1.18),0.52 (0.18-1.54),0.79 (0.46-1.35)
