outcome_descr,brand_descr,term,strata,1_HR_ECI,2_HR_ECI,3_HR_ECI,1_VE_ECI,2_VE_ECI,3_VE_ECI
Positive test,Any vaccine,1-3,all,0.32 (0.29-0.37),0.32 (0.28-0.36),0.34 (0.30-0.38),67.7 (63.5-71.5),68.5 (64.3-72.1),66.1 (61.6-70.1)
Positive test,Any vaccine,4-7,all,0.49 (0.44-0.54),0.48 (0.43-0.53),0.51 (0.46-0.57),50.9 (45.9-55.6),52.3 (47.3-56.8),48.7 (43.3-53.5)
Positive test,Any vaccine,8-14,all,0.59 (0.54-0.65),0.57 (0.52-0.62),0.62 (0.57-0.68),40.8 (35.3-45.9),43.0 (37.6-47.9),38.2 (32.4-43.5)
Positive test,Any vaccine,15-21,all,0.48 (0.42-0.53),0.45 (0.40-0.51),0.50 (0.44-0.56),52.4 (46.7-57.5),54.8 (49.4-59.6),50.4 (44.5-55.7)
Positive test,Any vaccine,22-28,all,0.39 (0.34-0.45),0.36 (0.32-0.42),0.41 (0.35-0.47),61.0 (55.2-66.0),63.5 (58.0-68.3),59.3 (53.2-64.7)
Positive test,Any vaccine,29-35,all,0.35 (0.30-0.42),0.32 (0.27-0.38),0.37 (0.31-0.43),64.7 (58.3-70.2),67.5 (61.5-72.6),63.3 (56.5-69.1)
Positive test,Any vaccine,36+,all,0.35 (0.30-0.42),0.32 (0.26-0.38),0.36 (0.30-0.43),64.6 (57.8-70.2),68.4 (62.3-73.5),64.0 (56.9-69.9)
Positive test,BNT162b2,1-3,all,0.30 (0.25-0.36),0.29 (0.24-0.35),0.31 (0.26-0.38),70.0 (63.8-75.2),71.0 (65.0-76.1),68.9 (62.3-74.3)
Positive test,BNT162b2,4-7,all,0.52 (0.46-0.60),0.50 (0.44-0.58),0.54 (0.47-0.62),47.6 (40.1-54.2),49.5 (42.2-55.9),46.0 (38.1-52.8)
Positive test,BNT162b2,8-14,all,0.59 (0.52-0.66),0.56 (0.50-0.63),0.60 (0.54-0.68),41.5 (34.4-47.8),43.9 (37.1-49.9),39.6 (32.3-46.1)
Positive test,BNT162b2,15-21,all,0.41 (0.36-0.48),0.39 (0.34-0.45),0.43 (0.37-0.49),58.7 (52.2-64.3),60.8 (54.6-66.1),57.4 (50.6-63.2)
Positive test,BNT162b2,22-28,all,0.34 (0.29-0.41),0.32 (0.27-0.39),0.36 (0.30-0.44),65.7 (59.0-71.3),67.7 (61.3-73.0),63.7 (56.4-69.7)
Positive test,BNT162b2,29-35,all,0.31 (0.25-0.38),0.29 (0.23-0.36),0.33 (0.26-0.40),69.0 (61.6-75.0),71.0 (64.1-76.6),67.4 (59.5-73.8)
Positive test,BNT162b2,36+,all,0.34 (0.28-0.42),0.31 (0.25-0.38),0.35 (0.28-0.43),65.6 (58.0-71.9),69.1 (62.3-74.6),65.1 (57.4-71.5)
Positive test,ChAdOx1,1-3,all,0.33 (0.28-0.38),0.32 (0.28-0.38),0.35 (0.29-0.41),67.4 (61.8-72.2),67.7 (62.1-72.4),65.4 (59.4-70.6)
Positive test,ChAdOx1,4-7,all,0.43 (0.37-0.49),0.43 (0.37-0.49),0.46 (0.40-0.52),57.3 (51.2-62.6),57.4 (51.4-62.7),54.0 (47.5-59.7)
Positive test,ChAdOx1,8-14,all,0.52 (0.46-0.58),0.52 (0.46-0.58),0.57 (0.51-0.64),48.2 (41.7-53.9),48.0 (41.7-53.7),43.2 (36.2-49.4)
Positive test,ChAdOx1,15-21,all,0.44 (0.38-0.50),0.44 (0.38-0.50),0.49 (0.42-0.56),56.3 (49.6-62.1),56.1 (49.5-61.9),51.3 (43.9-57.7)
Positive test,ChAdOx1,22-28,all,0.35 (0.29-0.41),0.34 (0.29-0.41),0.39 (0.32-0.46),65.4 (58.9-70.9),65.6 (59.1-71.0),61.5 (54.1-67.6)
Positive test,ChAdOx1,29-35,all,0.31 (0.25-0.39),0.31 (0.25-0.38),0.35 (0.28-0.43),68.9 (61.5-74.9),69.2 (61.9-75.1),65.1 (56.7-71.9)
Positive test,ChAdOx1,36+,all,0.30 (0.25-0.38),0.30 (0.24-0.37),0.34 (0.27-0.42),69.5 (62.3-75.4),70.2 (63.3-75.9),66.0 (57.8-72.5)
COVID-19 hospitalisation,Any vaccine,1-3,all,0.31 (0.26-0.37),0.29 (0.25-0.35),0.42 (0.33-0.53),69.0 (63.1-74.0),70.7 (65.1-75.4),58.5 (47.0-67.5)
COVID-19 hospitalisation,Any vaccine,4-7,all,0.31 (0.27-0.37),0.29 (0.25-0.34),0.39 (0.32-0.48),68.7 (63.2-73.4),70.8 (65.8-75.1),60.7 (51.5-68.1)
