outcome,outcome_var,outcome_descr,term,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,model,strata
postest,positive_test_1_date,Positive test,(Intercept),-8.425924747328702,0.029223370389191174,-288.32830146262637,0,-8.48320150079839,-8.368647993859014,2.191126126428963e-4,2.0691520200099352e-4,2.3202904646399736e-4,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(0,3]",-1.3986999510252802,0.25982741929855674,-5.383188405601231,7.317787181661297e-8,-1.9079523350464387,-0.8894475670041218,0.24691776055221787,0.14838391627088657,0.41088267521406974,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(3,7]",-0.8332003466403544,0.17153639360660503,-4.8572803072401305,1.1900906395130437e-6,-1.169405500147187,-0.4969951931335218,0.4346560081288073,0.3105515092237614,0.6083559080897694,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(7,14]",-0.6840393987983912,0.12473548310745097,-5.483919906007328,4.160031748850811e-8,-0.9285164532831993,-0.439562344313583,0.5045746919053695,0.3951394836367904,0.6443183489742603,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(14,21]",-0.664597565201567,0.1379817376088102,-4.81656179084914,1.4605295112594918e-6,-0.9350368014390908,-0.3941583289640432,0.5144805309199485,0.39257141807254536,0.6742472949132495,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(21,28]",-1.1254082411075066,0.2201553642700491,-5.111881987699594,3.189650727140626e-7,-1.5569048260800988,-0.6939116561349142,0.32451995792525984,0.21078748648973059,0.49961790828101743,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(28, Inf]",-1.6303095363473803,0.3174942362679573,-5.134926402164477,2.822544573407394e-7,-2.252586804731627,-1.0080322679631335,0.19586893618749762,0.10512692968773203,0.3649363705111522,0 Unadjusted,all
postest,positive_test_1_date,Positive test,(Intercept),48.33337764815556,20.873092923244027,2.3155829289837584,0.02058105181633555,7.422867272639401,89.24388802367173,9793077791356925e5,1673.8259491905471,57296502467265326e22,1 Demographics,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(0,3]",-1.393163820042927,0.2597640413897893,-5.3631896570026525,8.176507533714844e-8,-1.902291985645486,-0.8840356544403681,0.24828852046872155,0.14922620265119335,0.41311236432547366,1 Demographics,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(3,7]",-0.8271358808261093,0.17160236129508527,-4.820072839229623,1.435058158000339e-6,-1.1634703286265065,-0.49080143302571216,0.4372999736470577,0.3124001663187114,0.612135611850548,1 Demographics,all
