stratum,model,model_descr,model_descr_wrap,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,term_left,term_right,term_midpoint,ve,ve.ll,ve.ul,diff,diff.std.error,z,diff.ll,diff.ul,diff.p.value
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",1-3,-1.8059485878827446,-1.9578651641400706,-1.6540320116254186,0.07750988153640814,-23.299591640253634,4.475710095152292e-120,0.16431851207585044,0.1411594517405649,0.19127712014952714,0,3,1.5,0.8356814879241495,0.8087228798504729,0.8588405482594351,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",4-7,-1.4001173990266516,-1.5078374517083375,-1.2923973463449656,0.054960220458828805,-25.47510521860974,3.7215762454954546e-143,0.2465680153973632,0.2213882233828564,0.27461165407998017,3,7,5,0.7534319846026368,0.7253883459200199,0.7786117766171436,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",8-14,-1.0925919778377353,-1.1676927796809664,-1.0174911759945042,0.0383174397262484,-28.514221869820872,7.80595368578413e-179,0.33534615644108545,0.311083852897245,0.3615007451928241,7,14,10.5,0.6646538435589145,0.638499254807176,0.688916147102755,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",15-21,-1.1986373465357498,-1.2797594116043036,-1.117515281467196,0.041389569251493515,-28.959889368563502,2.1067975969579967e-184,0.30160491500792413,0.27810420104868466,0.32709151610770815,14,21,17.5,0.6983950849920759,0.6729084838922919,0.7218957989513153,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",22-28,-1.3585267087185915,-1.464438048100077,-1.252615369337106,0.0540373905933479,-25.14049427260517,1.795448078943476e-139,0.2570391917276663,0.231207882686559,0.2857564600147296,21,28,24.5,0.7429608082723337,0.7142435399852705,0.768792117313441,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",29-35,-1.4068641585261077,-1.5276756180994602,-1.2860526989527552,0.06163963242503322,-22.82401927424131,2.648100186103451e-115,0.24491007943375318,0.21703956429958274,0.27635950708717216,28,35,31.5,0.7550899205662468,0.7236404929128278,0.7829604357004173,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",36+,-1.446972588854558,-1.5565343004270802,-1.3374108772820357,0.05589985960799844,-25.885084488611447,9.804574664577953e-148,0.23528150482789156,0.2108656031320266,0.26252449755599516,35,42,38.5,0.7647184951721084,0.7374755024440048,0.7891343968679734,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",1-3,-1.7060590515589962,-1.8583526518633773,-1.553765451254615,0.07770224427879983,-21.95636776510038,7.528155001455885e-107,0.18157998174749393,0.15592928873035233,0.21145026723258709,0,3,1.5,0.8184200182525061,0.7885497327674129,0.8440707112696477,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",4-7,-1.2924691223750586,-1.4007600762790842,-1.184178168471033,0.055251501945041206,-23.39247037412088,5.098449229437913e-121,0.27459194425298805,0.24640960265227624,0.30599755462874034,3,7,5,0.725408055747012,0.6940024453712597,0.7535903973477238,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",8-14,-0.9768653303427015,-1.0528129540098643,-0.9009177066755388,0.038749499616435756,-25.20975341648954,3.1314297921685414e-140,0.37648942102553484,0.34895477349735415,0.4061967192009688,7,14,10.5,0.6235105789744652,0.5938032807990312,0.6510452265026458,0,NA,NA,NA,NA,NA
