term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,or,or.ll,or.ul
(Intercept),-7.660157344031989,0.01694827747773725,-451.97261810789576,0,-7.693375357488345,-7.626939330575632,0 Unadjusted,4.7123325922125155e-4,4.558369594325913e-4,4.8714958276462744e-4
"timesincevax_pw(0,3]",-1.0832351901790214,0.10916503951962414,-9.92291300351971,3.309535493445864e-23,-1.2971947360083762,-0.8692756443496664,0 Unadjusted,0.33849864480130387,0.2732973900083232,0.41925512910617163
"timesincevax_pw(3,7]",-0.6729984007343148,0.07811910997248162,-8.615029036702882,6.992387214858577e-18,-0.8261090427847025,-0.5198877586839271,0 Unadjusted,0.510176568348047,0.43774924051818626,0.5945872814839895
"timesincevax_pw(7,14]",-0.5600001255192364,0.0574465235090132,-9.748198695285259,1.8777034369809672e-22,-0.6725932426339357,-0.447407008404537,0 Unadjusted,0.5712089921510939,0.5103833123965217,0.6392836614939688
"timesincevax_pw(14,21]",-0.8373791603064606,0.06623020993923127,-12.643462267064951,1.2157996823667095e-36,-0.9671879864758807,-0.7075703341370406,0 Unadjusted,0.4328434514679003,0.38015052492357526,0.4928401809159931
"timesincevax_pw(21, Inf]",-1.6248485514723006,0.05666999602813745,-28.672113381930366,8.498841502165236e-181,-1.7359197026914779,-1.5137774002531232,0 Unadjusted,0.1969414994458523,0.1762380391288163,0.22007708662504535
(Intercept),-22.155106121393132,4.372788256891941,-5.066585624509607,4.0501461335914224e-7,-30.725613616921017,-13.584598625865247,"1 Age, sex, IMD",2.3886893073512747e-10,4.5293465742490175e-14,1.2597482911760538e-6
age,0.27795265285296966,0.09984837862713648,2.7837472843793236,0.005373488377403627,0.08225342682906331,0.473651878876876,"1 Age, sex, IMD",1.3204236774350429,1.0857309283132526,1.605847860150527
I(age * age),-0.0012385478413098501,5.687181182210141e-4,-2.177788612017682,0.029421778119381622,-0.00235321487037843,-1.2388081224127016e-4,"1 Age, sex, IMD",0.9987622188425103,0.9976495517691434,0.9998761268606697
sexMale,0.10512934877539613,0.029776987068455087,3.530556954392718,4.146857246504035e-4,0.04676752655310925,0.163491170997683,"1 Age, sex, IMD",1.1108542887050832,1.0478783768635507,1.1776149579763313
imd2,-0.11282906452856765,0.04828726698565267,-2.3366214650767443,0.01945887534011532,-0.20747036873231683,-0.01818776032481846,"1 Age, sex, IMD",0.8933033442943618,0.8126373208903331,0.9819766387952804
imd3,-0.23060940892015616,0.04659583346503699,-4.949142268121313,7.454124734451017e-7,-0.3219355643412548,-0.13928325349905749,"1 Age, sex, IMD",0.7940495541452787,0.7247448882396774,0.8699815682312216
imd4,-0.35640986573301947,0.04774489689981871,-7.464878738367802,8.337635999375957e-14,-0.4499881441022422,-0.26283158736379675,"1 Age, sex, IMD",0.7001855793394315,0.6376357113207598,0.7688713740631009
imd5 most deprived,-0.4260311932064967,0.04861249073868808,-8.763821535016334,1.887405448416074e-18,-0.5213099242531122,-0.33075246215988113,"1 Age, sex, IMD",0.6530959696454925,0.5937422809321548,0.718382974002697
"timesincevax_pw(0,3]",-1.057392641865997,0.10917787578350165,-9.685045017387893,3.4905472184156975e-22,-1.2713773463102478,-0.843407937421746,"1 Age, sex, IMD",0.3473603233875025,0.280445085638493,0.43024178508660244
"timesincevax_pw(3,7]",-0.6463709802706527,0.0781376817336475,-8.272205751816074,1.315031078706082e-16,-0.799518022304055,-0.4932239382372503,"1 Age, sex, IMD",0.5239437329617809,0.4495455828545747,0.610654504859701
"timesincevax_pw(7,14]",-0.5308790759656187,0.05747551041070401,-9.236613510208164,2.5442209016449626e-20,-0.6435290063636554,-0.4182291455675819,"1 Age, sex, IMD",0.5880877685591106,0.5254348852839418,0.6582113849215404
"timesincevax_pw(14,21]",-0.8036354378547702,0.0662628692686557,-12.127990331908455,7.506912355651553e-34,-0.9335082751336213,-0.6737626005759191,"1 Age, sex, IMD",0.4476984222544562,0.39317193264608613,0.5097868404292989
"timesincevax_pw(21, Inf]",-1.5839928733914852,0.0567343842587469,-27.91945121264406,1.5492626805224206e-171,-1.6951902232236853,-1.4727955235592851,"1 Age, sex, IMD",0.20515430546718763,0.18356430751205305,0.22928362066770833
(Intercept),-16.003993013655787,4.356520789275628,-3.6735720515904666,2.391831917296466e-4,-24.542616858536025,-7.465369168775549,2 Fully adjusted,1.1208671617624954e-7,2.1942036182326918e-11,5.725736590159422e-4
age,0.12293703173610977,0.09943055986570007,1.2364109374638912,0.21630585259441254,-0.07194328456331607,0.31781734803553563,2 Fully adjusted,1.1308132133607744,0.9305836727739296,1.374125251627931
I(age * age),-4.018015047685017e-4,5.661461354466325e-4,-0.7097134107460092,0.47788187415128863,-0.0015114275402304366,7.078245306934331e-4,2 Fully adjusted,0.9995982792066458,0.9984897140911374,1.0007080750975923
sexMale,0.060469197046094984,0.03024575248963226,1.9992624441009632,0.04557996537066828,0.001188611481103094,0.11974978261108687,2 Fully adjusted,1.0623348740141805,1.0011893181596907,1.1272147675538016
imd2,-0.11383449626856328,0.049186708880849105,-2.3143344789406077,0.020649381899462388,-0.21023867419308392,-0.017430318344042628,2 Fully adjusted,0.8924056401243204,0.8103908035151328,0.9827207108857902
imd3,-0.20350834225612638,0.04817806614546743,-4.224086986838768,2.3991137957406073e-5,-0.297935616746031,-0.10908106776622177,2 Fully adjusted,0.8158633981528527,0.7423491330619809,0.8966577245129546
imd4,-0.2934423547989177,0.0493409901336053,-5.947232797808392,2.7271342758142704e-9,-0.39014891842233024,-0.19673579117550521,2 Fully adjusted,0.7456922072023976,0.6769560557636564,0.821407627789237
imd5 most deprived,-0.3418924340396979,0.050301579993938125,-6.796852784363822,1.06929262104395e-11,-0.4404817191932771,-0.24330314888611865,2 Fully adjusted,0.7104246181056322,0.6437262510913532,0.7840337987690816
chronic_cardiac_diseaseTRUE,0.32846087523714035,0.03052529301877591,10.760285741896276,5.3005555109810606e-27,0.26863240030280766,0.38828935017147304,2 Fully adjusted,1.3888289016636859,1.3081741682210375,1.474456356770416
current_copdTRUE,0.4056182449183087,0.04167708356461352,9.732404722836803,2.193451892989915e-22,0.32393266215100003,0.4873038276856174,2 Fully adjusted,1.5002297228042762,1.3825542057585505,1.6279211417613355
dementiaTRUE,0.9028233172533596,0.03683027083548372,24.51307842090437,1.0715111823400797e-132,0.8306373128749556,0.9750093216317637,2 Fully adjusted,2.466557163185334,2.2947807676586853,2.6511919243022755
dialysisTRUE,0.9125155539538157,0.22176843163058813,4.1147224933882525,3.876454923990515e-5,0.47785741504992973,1.3471736928577016,2 Fully adjusted,2.4905798477624916,1.6126155322850764,3.8465386534451897
solid_organ_transplantationTRUE,0.37188140615600984,0.4261174634733043,0.872720407008871,0.38281549181465335,-0.4632934754352285,1.2070562877472482,2 Fully adjusted,1.4504609553524987,0.6292079483328679,3.343627474154375
