term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,or,or.ll,or.ul
(Intercept),-7.724098037341991,0.008317529272341966,-928.6529430111784,0,-7.740400095156139,-7.707795979527844,Unadjusted,4.4204536856494827e-4,4.3489753986661366e-4,4.493106765553396e-4
"timesincevax_pwDose 1 (0,3]",-1.156969527477868,0.06539639311907858,-17.691641270966926,4.8637883076543206e-70,-1.285144102710085,-1.028794952245651,Unadjusted,0.31443763308655903,0.2766107204053939,0.3574374303214805
"timesincevax_pwDose 1 (3,7]",-0.7043645980452032,0.05142788110854951,-13.696162137391807,1.0703402345819544e-42,-0.8051613928191681,-0.6035678032712384,Unadjusted,0.494422631575857,0.4470157756009529,0.5468570729651773
"timesincevax_pwDose 1 (7,14]",-0.44468854885927417,0.04114477139111874,-10.80789937151679,3.1581913868426943e-27,-0.5253308189380008,-0.3640462787805475,Unadjusted,0.6410238925678791,0.5913596990160929,0.6948590367699263
"timesincevax_pwDose 1 (14,21]",-0.4414762215117736,0.047391785739737055,-9.315458673286598,1.2142674251538742e-20,-0.5343624147246971,-0.3485900282988501,Unadjusted,0.6430863820705159,0.5860428233273618,0.7056823807797611
"timesincevax_pwDose 1 (21, Inf]",-0.342042644154211,0.06970019804318205,-4.907341065836024,9.231941193028933e-7,-0.4786525220341569,-0.20543276627426504,Unadjusted,0.7103179131566756,0.6196177508061681,0.8142948408027303
"timesincevax_pwDose 2 (0,3]",-1.9264150097071486,0.20545787790130368,-9.37620416109109,6.83905906076982e-21,-2.3291050507337316,-1.5237249686805656,Unadjusted,0.14566948721542716,0.09738286082237285,0.21789870749751564
"timesincevax_pwDose 2 (3,7]",-1.4020516171133424,0.13776316897206645,-10.177260203687892,2.5051543837328316e-24,-1.6720624666946984,-1.1320407675319863,Unadjusted,0.24609156001523386,0.18785921244013093,0.3223746928569272
"timesincevax_pwDose 2 (7,14]",-1.6895990231786189,0.14620232086938992,-11.55658140808876,6.837705223462024e-31,-1.9761503065387918,-1.403047739818446,Unadjusted,0.18459352688093258,0.13860178596780007,0.24584654467769865
"timesincevax_pwDose 2 (14,21]",-1.3143139986429462,0.7098340089563766,-1.8515793580745696,0.06408624942936501,-2.705563091199126,0.07693509391323383,Unadjusted,0.26865856017548184,0.06683268035510709,1.0799719773628302
"timesincevax_pwDose 2 (21, Inf]",-4.838147017203493,230.32835969434055,-0.021005433389201408,0.9832413214151984,-456.27343663629784,446.5971426018909,Unadjusted,0.007921719269724405,6.965691396132562e-199,9008960147612325e178
(Intercept),-21.276211668195888,2.3203736277726024,-9.169304207538152,4.7608194369608543e-20,-25.82406040930674,-16.728362927085037,Minimally adjusted,5.752527145059903e-10,6.091904183273066e-12,5.43205663764586e-8
age,0.2521553196731275,0.05296568057093678,4.760730287141626,1.9289369108663132e-6,0.14834449333743854,0.35596614600881643,Minimally adjusted,1.286795886480653,1.1599124096413254,1.4275592188685684
I(age * age),-0.0010661756376217026,3.015887105932437e-4,-3.535197439998563,4.074705774079421e-4,-0.0016572786485283336,-4.7507262671507154e-4,Minimally adjusted,0.9989343925256848,0.998344093879406,0.9995250402024172
sexMale,0.07469606519598161,0.015882715983652575,4.702978084659022,2.5639394928790544e-6,0.043566513891343916,0.10582561650061931,Minimally adjusted,1.0775565941569443,1.0445294677210486,1.111628010021067
imd2,-0.08910708257337285,0.025920318651919818,-3.4377309851001017,5.866101647357167e-4,-0.13990997359893748,-0.03830419154780822,Minimally adjusted,0.9147476148011272,0.8694365041150454,0.9624201362882153
imd3,-0.22021736538801484,0.025038161001189132,-8.795269164438878,1.4270547753082959e-18,-0.26929125918946084,-0.1711434715865688,Minimally adjusted,0.8023443771097851,0.7639207243116484,0.8427006611972249
imd4,-0.3547745605633475,0.025700992485513628,-13.803924527946393,2.413475065085073e-43,-0.4051475802018888,-0.3044015409248062,Minimally adjusted,0.7013315331737918,0.666878385549065,0.7375646445924778
imd5 most deprived,-0.38402641907092416,0.025892884216570027,-14.831349642585135,9.18671552189423e-50,-0.434775539591267,-0.3332772985505813,Minimally adjusted,0.6811134325577655,0.6474099686763833,0.7165714623750505
"poly(tstop, 2)1",2774.9119763344797,56.92734285811213,48.74480060049133,0,2663.3364345970167,2886.4875180719428,Minimally adjusted,Inf,Inf,Inf
"poly(tstop, 2)2",-300.4768607946307,53.72849824346994,-5.592504362080324,2.2381752918544222e-8,-405.7827822952553,-195.17093929400608,Minimally adjusted,3.195636826190122e-131,5.898978289772455e-177,1.7311633003647478e-85
"timesincevax_pwDose 1 (0,3]",-1.4031188551704992,0.06575337666058778,-21.339114832280863,4.921760119911188e-101,-1.5319931052871478,-1.2742446050538505,Minimally adjusted,0.24582906183577943,0.21610451873760603,0.27964212870734034
"timesincevax_pwDose 1 (3,7]",-0.9395796272158818,0.051771654402953976,-18.148533942973078,1.3187378626164187e-73,-1.0410502052657262,-0.8381090491660376,Minimally adjusted,0.3907920791886242,0.35308367684045533,0.43252763912270975
"timesincevax_pwDose 1 (7,14]",-0.6743840173304665,0.04139551595761395,-16.29123352444713,1.1390836572688742e-59,-0.7555177377288429,-0.5932502969320901,Minimally adjusted,0.5094701487543558,0.4697673354851916,0.5525284813677037
"timesincevax_pwDose 1 (14,21]",-0.7434748101190803,0.04774419592461315,-15.57204589418592,1.1274262700758629e-54,-0.8370517146021461,-0.6498979056360146,Minimally adjusted,0.4754589123355866,0.43298520740414376,0.5220990774133676
"timesincevax_pwDose 1 (21, Inf]",-0.8278717993720404,0.07080405208614829,-11.69243531944693,1.3933308545766232e-31,-0.9666451914203891,-0.6890984073236917,Minimally adjusted,0.43697827487288143,0.3803569247601841,0.502028490295724
