term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul
"poly(age, degree = 2, raw = TRUE)1","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age,1213649,39065,0.5152740535897093,0.049615202278480645,10.38540668840922,2.889352491093948e-25,0.41803004403821764,0.612518063141201,1.6740972312921842,1.5189663095985606,1.8450715609096302
"poly(age, degree = 2, raw = TRUE)2","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age²,1213649,39065,-0.0031864263884666772,2.8777265550355714e-4,-11.072721217695022,1.7015385180953503e-28,-0.0037504504289891014,-0.002622402347944253,0.9968186448802597,0.9962565737262287,0.997381033145355
sexFemale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,Female,751825,22583,0,NA,NA,NA,NA,NA,NA,NA,NA
sexMale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,Male,461824,16482,0.08827185379919458,0.010848690206317136,8.136636969114884,4.0640901418784325e-16,0.06700881171538059,0.10953489588300858,1.0922850235029147,1.0693049005435251,1.11575900565154
imd1 most deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,TRUE,1 most deprived,282611,6321,0,NA,NA,NA,NA,NA,NA,NA,NA
imd2,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,2,244866,7000,0.12500094173602802,0.018051654015571076,6.924625390460295,4.3713070410456675e-12,0.08962035000413088,0.16038153346792516,1.1331495201940522,1.093758959286867,1.1739586900876215
imd3,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,3,244800,8311,0.20472211821643568,0.017394338464188898,11.769468476074174,5.607670982437398e-32,0.1706298412917257,0.23881439514114566,1.2271840054980567,1.1860516404136259,1.2697428442703018
imd4,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,4,228277,8526,0.272874752773344,0.017502895163771008,15.590263794652872,8.47827301993813e-55,0.23856970862717253,0.30717979691951547,1.3137356927680317,1.269432193327693,1.3595853953635897
imd5 least deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,5 least deprived,213095,8907,0.38994987688334154,0.017698831476411228,22.03252103976817,1.4053028132253102e-107,0.3552608046211317,0.4246389491455514,1.4769067648573067,1.4265526572946292,1.5290382594203649
ethnicity_combinedWhite,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,TRUE,White,1102637,37880,0,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity_combinedBlack,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Black,16321,183,-0.7491233355396922,0.07506161260807884,-9.980112463758399,1.8625555144776864e-23,-0.8962413928730244,-0.6020052782063601,0.47278084127952674,0.4081006707934409,0.5477122187679814
ethnicity_combinedSouth Asian,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,South Asian,83507,798,-0.8875300532170998,0.037686819224720655,-23.5501448908409,1.251072039266826e-122,-0.961394861589424,-0.8136652448447755,0.4116713042705457,0.38235917570811123,0.44323053695770653
ethnicity_combinedMixed,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Mixed,4299,78,-0.40401527893138367,0.1103913664901684,-3.6598448934624415,2.5236796122470983e-4,-0.6203783814562754,-0.18765217640649187,0.6676339204581403,0.5377409278995576,0.8289029691070183
ethnicity_combinedOther,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Other,6885,126,-0.3170254234462201,0.09459646279044313,-3.351345431895456,8.041991916581516e-4,-0.5024310835803719,-0.13161976331206823,0.7283122386832952,0.6050579238821047,0.876674275435535
bmiNot obese,bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,TRUE,Not obese,990459,31716,0,NA,NA,NA,NA,NA,NA,NA,NA
bmiObese I (30-34.9),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese I (30-34.9),157767,5539,0.024949875216971895,0.014992821350739028,1.6641214240668627,0.09608816648482241,-0.004435514657119759,0.05433526509106355,1.0252637281145045,0.9955743077102326,1.0558385286226173
bmiObese II (35-39.9),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese II (35-39.9),48315,1392,-0.1431860443782725,0.03823028164900533,-3.7453567748433763,1.8013759369559892e-4,-0.2181160195291455,-0.06825606922739953,0.8665928291729632,0.804032152823212,0.9340212688473469
bmiObese III (40+),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese III (40+),17108,418,-0.29886986353340605,0.05618954650209774,-5.318958456485287,1.0436295958161679e-7,-0.40899935098515616,-0.18874037608165595,0.7416559196359359,0.6643146634721544,0.828001447771869
heart_failure,heart_failure,Heart failure,integer,continuous,NA,NA,NA,NA,Heart failure,1213649,39065,-0.055133465915434804,0.02201488682051823,-2.504371989959518,0.012266898587780923,-0.09828185120737604,-0.011985080623493578,0.946358832876333,0.9063933996744898,0.988086454385797
other_heart_disease,other_heart_disease,Other heart disease,integer,continuous,NA,NA,NA,NA,Other heart disease,1213649,39065,0.014236909595228879,0.02545058157643811,0.5593942736620708,0.5758926685874044,-0.03564531368018844,0.06411913287064619,1.0143387370548935,0.96498249888296,1.0662194129749776
dialysis,dialysis,Dialysis,integer,continuous,NA,NA,NA,NA,Dialysis,1213649,39065,-0.13641511739691992,0.14026367077847032,-0.9725620086784358,0.33077103221614235,-0.41132686046210487,0.13849662566826504,0.8724803755219865,0.6627702627980564,1.1485458059890779
diabetes,diabetes,Diabetes,integer,continuous,NA,NA,NA,NA,Diabetes,1213649,39065,-0.029199259078343993,0.028216579951363608,-1.0348263017231079,0.3007500373824632,-0.0845027395499116,0.026104221393223614,0.9712229202005734,0.918969137811563,1.0264479207313164
