term,estimate.robust,std.error.robust,statistic.robust,p.value.robust,conf.low.robust,conf.high.robust,model,strata,or,or.ll,or.ul
(Intercept),-7.653467173139824,0.0258599984858001,-295.9577579767607,0,-7.704151838812253,-7.602782507467396,0 Unadjusted,Female,4.7439645963286977e-4,4.5095101488229207e-4,4.99060859128889e-4
"timesincevax_pw(0,1]",-2.1433256367794686,0.5779024315941884,-3.7088019008103834,2.0824226645301764e-4,-3.2759935892821996,-1.0106576842767374,0 Unadjusted,Female,0.11726421565094272,0.037779313453970065,0.36397951722931005
"timesincevax_pw(1,4]",-0.9386479447772794,0.184422008630443,-5.089674230032947,3.5867917144194674e-7,-1.3001084396494826,-0.5771874499050762,0 Unadjusted,Female,0.39115634296868323,0.27250224138421736,0.5614753253677117
"timesincevax_pw(4,7]",-1.44801273834128,0.2371302360293781,-6.106402804583239,1.0190164281389657e-9,-1.9127794606043433,-0.9832460160782166,0 Unadjusted,Female,0.23503690412411088,0.14766937445527298,0.3740948081078154
"timesincevax_pw(7,14]",-0.6510649674664927,0.10686367004145347,-6.092481824870306,1.111734699422979e-9,-0.8605139120035133,-0.441616022929472,0 Unadjusted,Female,0.5214901109282803,0.42294467011436954,0.6429964839666875
"timesincevax_pw(14,21]",-0.9031043044707673,0.12066587174589304,-7.484339120945399,7.190805868329651e-14,-1.1396050672558469,-0.6666035416856877,0 Unadjusted,Female,0.40530950069884336,0.3199453537648917,0.5134495295014095
"timesincevax_pw(21, Inf]",-1.7035528064705723,0.08517073172024575,-20.001622295157816,5.330991033767421e-89,-1.8704843731791772,-1.5366212397619674,0 Unadjusted,Female,0.1820356364375619,0.1540490265241974,0.21510666883716525
(Intercept),-17.740599063630473,6.351999317710734,-2.792915769711417,0.005223529156127174,-30.190288956166505,-5.290909171094441,"1 Age, sex, IMD",Female,1.9740389657837072e-8,7.736136058863429e-14,0.005037178520105966
age,0.17193911515525556,0.1442046381064023,1.1923272192423464,0.233132965699466,-0.11069678193692511,0.45457501224743624,"1 Age, sex, IMD",Female,1.1876055238347192,0.8952101516680789,1.5755036709700772
I(age * age),-5.925952406035475e-4,8.176377056958693e-4,-0.7247650597267964,0.46859617440096674,-0.002195135696169411,0.0010099452149623161,"1 Age, sex, IMD",Female,0.9994075803092777,0.9978072718522388,1.0010104553813632
imd2,-0.12476600948834923,0.0723680127545668,-1.724049130815408,0.0846989741390259,-0.2666047081200354,0.017072689143336928,"1 Age, sex, IMD",Female,0.8827034226472866,0.7659757956414942,1.017219260434586
imd3,-0.3921061837882029,0.07321984268734433,-5.355190197041716,8.546646677789149e-8,-0.5356144384090862,-0.2485979291673196,"1 Age, sex, IMD",Female,0.6756323689472475,0.5853095429704654,0.7798934827760077
imd4,-0.4219529980177802,0.07458433465693168,-5.6573944107519765,1.536883080568069e-8,-0.5681356077562488,-0.27577038827931155,"1 Age, sex, IMD",Female,0.6557648609174329,0.566580783423657,0.7589871831083792
imd5 least deprived,-0.3887842161900158,0.07484386026559581,-5.194604003726568,2.0515605750950631e-7,-0.5354754867745319,-0.24209294560549965,"1 Age, sex, IMD",Female,0.6778805298765993,0.5853908783388917,0.7849832134209559
ethnicityMixed,0.19683464533337666,0.37793715244212545,0.5208131671138589,0.6024969296653581,-0.5439085618728131,0.9375778525395665,"1 Age, sex, IMD",Female,1.217542697692987,0.5804749902601488,2.553788269226124
ethnicitySouth Asian,0.21863767840039497,0.20715515481455787,1.0554295817360475,0.2912288995746055,-0.18737896424795755,0.6246543210487475,"1 Age, sex, IMD",Female,1.2443803291270774,0.829129466415924,1.8676002557381475
ethnicityWhite,-0.031054397955281737,0.1795527752808293,-0.17295415181809995,0.8626874659728831,-0.3829713708299208,0.32086257491935727,"1 Age, sex, IMD",Female,0.9694228370215348,0.681832419302866,1.3783161526695258
ethnicityOther,0.053057022030696684,0.3066960580290969,0.17299544823514834,0.8626550054636984,-0.5480562059067395,0.654170249968133,"1 Age, sex, IMD",Female,1.0544897725532254,0.5780723726755399,1.923545792843947
"timesincevax_pw(0,1]",-2.0753128338433875,0.5778392118028193,-3.5915057189846147,3.2877296047422805e-4,-3.207856877831925,-0.9427687898548498,"1 Age, sex, IMD",Female,0.12551715533657265,0.040443195169215455,0.38954776490501825
"timesincevax_pw(1,4]",-0.870594194985786,0.18451627338987708,-4.718251561184784,2.3788023398751054e-6,-1.2322394453914913,-0.5089489445800808,"1 Age, sex, IMD",Female,0.4187026842822682,0.2916387368085263,0.6011270647502385
"timesincevax_pw(4,7]",-1.3797801419785796,0.23715825344748193,-5.817972269238895,5.9565780469280434e-9,-1.8446017773720662,-0.9149585065850929,"1 Age, sex, IMD",Female,0.25163387070345505,0.1580882626798033,0.4005332452381526
"timesincevax_pw(7,14]",-0.5826362482039431,0.10705320188522213,-5.442492498530037,5.2540173760050636e-8,-0.7924566683286739,-0.3728158280792123,"1 Age, sex, IMD",Female,0.5584242793857114,0.45273121755327855,0.6887920773229055
"timesincevax_pw(14,21]",-0.8342594075772288,0.1210184995823746,-6.893651883440904,5.437800119293029e-12,-1.0714513082217585,-0.5970675069326992,"1 Age, sex, IMD",Female,0.4341959246008692,0.34251106740120857,0.5504233844775855
"timesincevax_pw(21, Inf]",-1.6363980528467483,0.08543496422219952,-19.153727841341386,9.010011378317618e-82,-1.8038475057427275,-1.4689485999507692,"1 Age, sex, IMD",Female,0.19468000801500207,0.1646641217168268,0.23016735598237062
(Intercept),-14.25651946756187,6.498832155107953,-2.193704826852087,0.02825663660814332,-26.993996433144275,-1.5190425019794613,2 Fully adjusted,Female,6.433869742283815e-7,1.8908466330867792e-12,0.21892140344084424
age,0.052867196340068916,0.14755973768260164,0.3582765676487262,0.720136352090684,-0.2363445750860081,0.34207896776614594,2 Fully adjusted,Female,1.0542896223013214,0.7895085820698855,1.4078714695895136
I(age * age),2.6681700489046157e-5,8.369057128558587e-4,0.03188136976386201,0.9745666558617775,-0.0016136233551642567,0.001666986756142349,2 Fully adjusted,Female,1.0000266820564487,0.9983876778350308,1.0016683769509365
imd2,-0.15540376573508677,0.07431605598749792,-2.091119660080321,0.03651733875877755,-0.3010605589436449,-0.009746972526528619,2 Fully adjusted,Female,0.8560694561798424,0.7400329557756229,0.9903003752528176
imd3,-0.419627888209187,0.07589864222933784,-5.528793083560382,3.224413828391892e-8,-0.56838649345418,-0.270869282964194,2 Fully adjusted,Female,0.6572913601791808,0.5664386542382088,0.7627161898886086
imd4,-0.40079595524032663,0.07677550263498831,-5.220362504766918,1.785732435248754e-7,-0.5512731752998636,-0.25031873518078956,2 Fully adjusted,Female,0.6697867135648462,0.576215719544971,0.7785525914188204
imd5 least deprived,-0.34962903325859873,0.07770730190040563,-4.499307332877216,6.817523617110292e-6,-0.5019325463191746,-0.19732552019802282,2 Fully adjusted,Female,0.704949554057349,0.6053596430052062,0.8209233626784425
ethnicityMixed,0.25231196300736847,0.37610013452285845,0.67086379356781,0.5023073033892084,-0.4848307552381034,0.9894546812528403,2 Fully adjusted,Female,1.2869974702667648,0.6158014091081998,2.689767291815371
ethnicitySouth Asian,0.3186213864322124,0.20783629846098423,1.5330401320249896,0.12526596704717277,-0.08873027323143406,0.7259730460958589,2 Fully adjusted,Female,1.375230545381846,0.9150923651964062,2.0667411562824363
ethnicityWhite,0.1645004042590911,0.18170613785295198,0.9053101133667546,0.3653011200957056,-0.1916370817025649,0.5206378902207471,2 Fully adjusted,Female,1.178804046093763,0.8256064418122886,1.6831009409722653
ethnicityOther,0.15159138589314944,0.3054392947567757,0.49630610237580314,0.619678461500902,-0.4470586312934446,0.7502414030797435,2 Fully adjusted,Female,1.1636846413109267,0.6395064120874798,2.117511128626027
chronic_cardiac_diseaseTRUE,0.21882836261295338,0.05017548842737879,4.361260238247075,1.2931544881894562e-5,0.1204862123885847,0.31717051283732206,2 Fully adjusted,Female,1.2446176354348244,1.1280451878098356,1.3732367064505522
current_copdTRUE,0.3316769376974402,0.07116158077359061,4.660898958283565,3.1483126209086267e-6,0.1922028022982647,0.47115107309661575,2 Fully adjusted,Female,1.3933026522327159,1.2119162714494254,1.6018369638663048
dementiaTRUE,0.90569016544624,0.057811245154797714,15.666332095444885,2.569883116912402e-55,0.7923822070414208,1.0189981238510593,2 Fully adjusted,Female,2.473638553917305,2.2086516297437475,2.770417757614415
dialysisTRUE,0.5144126656635742,0.43437519730001867,1.1842588362803654,0.2363106181174272,-0.33694707682194225,1.3657724081490907,2 Fully adjusted,Female,1.6726558050526792,0.7139466232271693,3.918748756776748
solid_organ_transplantationTRUE,0.940944448035498,0.5646934859356704,1.6662923718278735,0.09565519533532917,-0.16583444670279124,2.0477233427737875,2 Fully adjusted,Female,2.5624003298390337,0.8471864770948754,7.750236374020738
chemo_or_radioTRUE,0.023619463969915728,0.13771125076362137,0.17151441032554465,0.8638193005300349,-0.24628962779274607,0.2935285557325775,2 Fully adjusted,Female,1.0239006126725387,0.78169579130969,1.34115147642628
permanant_immunosuppressionTRUE,0.16134731037266398,0.709252062352438,0.22748937780668457,0.8200432280181126,-1.228761187798871,1.5514558085441987,2 Fully adjusted,Female,1.1750930199442464,0.2926548976692647,4.718334176256324
aspleniaTRUE,0.3886879054240415,0.40829447248575484,0.9519793473020937,0.3411074560530992,-0.4115545557348178,1.188930366582901,2 Fully adjusted,Female,1.4750441262176097,0.6626193703217262,3.283567115209237
dmardsTRUE,0.12408165931700281,0.12856815414621392,0.965104151498443,0.33449264779082166,-0.12790729236837045,0.3760706110023761,2 Fully adjusted,Female,1.132108314416419,0.8799349520487625,1.4565499785940548
intel_dis_incl_downs_syndromeTRUE,0.7422500383982923,0.41122747954318634,1.804962156767402,0.07108060408188155,-0.06374101095953455,1.5482410877561192,2 Fully adjusted,Female,2.1006567593816206,0.93824796400672,4.703190403836663
psychosis_schiz_bipolarTRUE,0.5345132822173382,0.16886860539120974,3.165261423099084,0.001549436702118406,0.20353689753106075,0.8654896669036156,2 Fully adjusted,Female,1.7066173990412168,1.225730383231733,2.3761693326317515
lung_cancerTRUE,0.13475659179803326,0.2719595227710505,0.4955023836818477,0.6202455398311364,-0.3982742780859264,0.6677874616819929,2 Fully adjusted,Female,1.1442582286133016,0.6714778307484164,1.949918275469944
cancer_excl_lung_and_haemTRUE,0.046920582575781494,0.06632754104176472,0.7074072374586724,0.4793134405605701,-0.08307900904917961,0.1769201742007426,2 Fully adjusted,Female,1.0480387732346597,0.9202784340236095,1.1935358143740133
haematological_cancerTRUE,0.3023779105743428,0.16515077365362746,1.8309203395469607,0.0671124339893565,-0.021311657805693385,0.626067478954379,2 Fully adjusted,Female,1.3530724704956338,0.9789138308867853,1.8702413354959497
flu_vaccineTRUE,0.26512649697996427,0.08049659667047927,3.2936361032167065,9.89004473060895e-4,0.10735606662777811,0.42289692733215045,2 Fully adjusted,Female,1.3035958662892526,1.1133306037854498,1.52637696011266
"ns(tstop, df = 4)1",2.2127509207365414,0.23814889229862032,9.291460058365178,1.5218614167677165e-20,1.7459876688731375,2.679514172599945,2 Fully adjusted,Female,9.140827529831967,5.7315595637781565,14.578009178893701
"ns(tstop, df = 4)2",0.9327045749144759,0.35187651429071426,2.650658788053958,0.008033495491437259,0.2430392798991825,1.6223698699297693,2 Fully adjusted,Female,2.541373225542011,1.275118709669137,5.06507968436731
"ns(tstop, df = 4)3",2.6840892335043085,0.5804409696324174,4.624224294856535,3.7600283327290784e-6,1.5464458378732633,3.8217326291353535,2 Fully adjusted,Female,14.64485725917007,4.694754576290001,45.68329199243281
"ns(tstop, df = 4)4",-1.1189477564883508,0.5306025273567003,-2.108824777112553,0.034959709094293155,-2.158909600213412,-0.0789859127632897,2 Fully adjusted,Female,0.32662330111445753,0.11545094010950874,0.9240529417059207
regionEast Midlands,0.5438204806823663,0.3382534476263864,1.6077307844118012,0.10789415330621523,-0.11914409431185635,1.2067850556765891,2 Fully adjusted,Female,1.7225753726968691,0.8876798819242484,3.342720698129976
regionLondon,0.7439136383477754,0.49808095513615114,1.493559692810229,0.13529074124771223,-0.23230709510439107,1.7201343717999418,2 Fully adjusted,Female,2.104154320324869,0.792702650820688,5.585278917836393
regionNorth East,0.4618057359872242,0.4957202244942843,0.9315854249407346,0.35155081835069674,-0.5097880504296832,1.4333995224041316,2 Fully adjusted,Female,1.586936988531926,0.6006228670810427,4.192928946927643
regionNorth West,0.10533753057106215,0.4468639332483445,0.2357261858332184,0.8136451490551284,-0.7704996845856036,0.981174745727728,2 Fully adjusted,Female,1.1110855724193232,0.46278176561206935,2.6675881397479575
regionSouth East,0.04654850954584855,0.5672744814201828,0.08205641372993448,0.9346018529918779,-1.0652890433863456,1.1583860624780424,2 Fully adjusted,Female,1.0476488988081925,0.3446282278596536,3.1847890754352015
regionSouth West,0.26174329604118846,0.4205843484582742,0.6223324691007986,0.5337232753156314,-0.5625868793982729,1.08607347148065,2 Fully adjusted,Female,1.2991929916350957,0.5697333244922708,2.9626183987358616
regionWest Midlands,0.35965101248162307,0.597648203344261,0.6017771164861256,0.5473225094504872,-0.811717941498199,1.531019966461445,2 Fully adjusted,Female,1.4328292877590179,0.444094482174329,4.6228896108060855
regionYorkshire and The Humber,0.4938224159697056,0.37144044106674695,1.3294794033506085,0.18368985657591583,-0.23418747092279074,1.221832302862202,2 Fully adjusted,Female,1.6385675515255143,0.7912134724711704,3.393399776834753
"timesincevax_pw(0,1]",-2.2811620128205647,0.5775155710205667,-3.949957589523291,7.816504191976034e-5,-3.413071732531959,-1.1492522931091704,2 Fully adjusted,Female,0.10216542018509456,0.03293986236710806,0.31687360940583387
"timesincevax_pw(1,4]",-1.0318907469040706,0.1943859629398014,-5.308463282524328,1.1055334980774476e-7,-1.412880233366219,-0.6509012604419222,2 Fully adjusted,Female,0.3563325884980748,0.24344110522673104,0.5215754895110295
"timesincevax_pw(4,7]",-1.6128587947540038,0.23811754246308442,-6.773372419648783,1.2581452652617301e-11,-2.0795606020688364,-1.1461569874391715,2 Fully adjusted,Female,0.19931699244632256,0.12498511833730079,0.31785594962301295
