region,n,posPC_n,posPC_%,posSGSS_n,posSGSS_%,admitted_n,admitted_%,coviddeath_n,coviddeath_%,death_n,death_%
East,83174,77,9.137800435247863e-4,882,0.010580611030286999,-,-,7,4.809368650130454e-5,28,3.2463238388380565e-4
East Midlands,58317,56,0.0010117638988922043,553,0.009534588606509586,-,-,0,1.7148540659189903e-5,14,2.9152519120622837e-4
London,12348,14,0.0011336950360353066,196,0.015952708721353955,-,-,0,0,0,2.4293465057899426e-4
North East,18529,14,8.636510849616755e-4,119,0.0062614703659721474,-,-,7,2.698909640505236e-4,7,5.397819281010472e-4
North West,45815,35,7.202566732872078e-4,357,0.007726389767990048,-,-,0,4.365191959316411e-5,28,6.111268743042975e-4
South East,30331,42,0.0013518860458981798,427,0.014145344236349248,-,-,7,1.6486415193880244e-4,14,4.616196254286468e-4
South West,67508,42,5.925399223772702e-4,476,0.00700678458211122,-,-,7,5.925399223772702e-5,35,5.036589340206796e-4
West Midlands,16793,7,2.381944857976538e-4,147,0.008694098731614364,-,-,0,5.954862144941345e-5,7,2.381944857976538e-4
Yorkshire and The Humber,61859,28,4.2030391205948915e-4,259,0.0042192046556741025,-,-,0,4.8496605237633365e-5,42,6.466214031684449e-4
(missing),35,0,0,0,0,-,-,0,0,0,0
