stratum,model,model_descr,model_descr_wrap,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,term_left,term_right,term_midpoint,ve,ve.ll,ve.ul,diff,diff.std.error,z,diff.ll,diff.ul,diff.p.value
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",1-3,-4.779000047209326,-5.520448560501306,-4.0375515339173464,0.37829700909834624,-12.632931089251421,1.3900229969661524e-36,0.008404398769092119,0.004004051479870478,0.017640612021352427,0,3,1.5,0.9915956012309078,0.9823593879786475,0.9959959485201295,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",4-7,-4.893167467459929,-5.51471410559634,-4.271620829323517,0.31712145888347554,-15.429947518177554,1.0295389803421187e-53,0.007497636304898157,0.004027078493101836,0.013959139424975033,3,7,5,0.9925023636951018,0.9860408605750249,0.9959729215068982,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",8-14,-4.488290066314853,-4.833348515761476,-4.14323161686823,0.17605346433322255,-25.493903703137075,2.3032976297853723e-143,0.011239846779631881,0.007959822998348347,0.015871478003444968,7,14,10.5,0.9887601532203681,0.984128521996555,0.9920401770016517,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",15-21,-4.465637645683088,-4.778255430483215,-4.153019860882962,0.15950180067900024,-27.997412108658576,1.7470322086250648e-172,0.011497362178765604,0.008410659155493449,0.015716881950134654,14,21,17.5,0.9885026378212344,0.9842831180498653,0.9915893408445066,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",22-28,-5.129842537575697,-5.554749828085463,-4.704935247065931,0.2167934175634756,-23.662353752386025,8.807504880872133e-124,0.0059174921829902565,0.0038690362727348687,0.009050500245374763,21,28,24.5,0.9940825078170098,0.9909494997546252,0.9961309637272652,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",29-35,-5.289427280046553,-5.75835902241442,-4.820495537678686,0.2392552853352107,-22.107880595556143,2.654447949659173e-108,0.005044648603419293,0.0031562867469371817,0.008062790732393086,28,35,31.5,0.9949553513965808,0.9919372092676069,0.9968437132530629,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",36+,-5.64983864435435,-5.971776976928088,-5.3279003117806125,0.16425726957900552,-34.396277612765594,2.8662344224519117e-259,0.0035180843918953004,0.0025497066212314527,0.004854251734468001,35,42,38.5,0.9964819156081047,0.995145748265532,0.9974502933787686,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",1-3,-4.741853448953173,-5.4834839883624955,-4.000222909543851,0.3783898812729264,-12.531660289121083,5.010268708563952e-36,0.008722464551397406,0.00415482907642304,0.018311556613030168,0,3,1.5,0.9912775354486026,0.9816884433869698,0.9958451709235769,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",4-7,-4.8417234275669285,-5.46333862043851,-4.220108234695347,0.31715643643189484,-15.266041837390315,1.2875486188841165e-52,0.00789343855270086,0.004239378416197518,0.014697053687684133,3,7,5,0.9921065614472991,0.9853029463123159,0.9957606215838025,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",8-14,-4.4185541289355035,-4.764152051788463,-4.072956206082544,0.17632871092478794,-25.058619811609773,1.4062603467525677e-138,0.01205164481807328,0.008530118275156422,0.017026978775195135,7,14,10.5,0.9879483551819267,0.9829730212248049,0.9914698817248436,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",15-21,-4.382818092385645,-4.696274955652872,-4.069361229118418,0.15992990980433042,-27.404618046417305,2.416125403712475e-165,0.012490110692603482,0.009129220593505337,0.01708830053076717,14,21,17.5,0.9875098893073965,0.9829116994692328,0.9908707794064947,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",22-28,-5.043686074693862,-5.469355864150331,-4.618016285237393,0.21718245478697473,-23.223266721250592,2.6505728580918047e-119,0.0064499295243348595,0.004213945637432148,0.009872360597000312,21,28,24.5,0.9935500704756651,0.9901276394029996,0.9957860543625678,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",29-35,-5.212556601392911,-5.6823326945373935,-4.742780508248428,0.23968608446380496,-21.747431074498028,7.30577608168456e-105,0.005447728199206796,0.0034056049344214764,0.008714382056612329,28,35,31.5,0.9945522718007932,0.9912856179433877,0.9965943950655786,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",36+,-5.623273564351741,-5.946807288732988,-5.299739839970493,0.16507125994826474,-34.06573358750724,2.3739802414378895e-254,0.00361279501310094,0.0026141735101314757,0.004992892689066602,35,42,38.5,0.996387204986899,0.9950071073109334,0.9973858264898685,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",1-3,-4.5954412960319555,-5.346887000527898,-3.8439955915360127,0.38339771058205696,-11.986094776245183,4.202552619075184e-33,0.010097763694553855,0.004762955021467334,0.021407893035201787,0,3,1.5,0.9899022363054462,0.9785921069647983,0.9952370449785327,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",4-7,-4.802957700384278,-5.425682840884182,-4.180232559884374,0.31772274664834715,-15.116820407259512,1.2545558088570015e-51,0.008205441884426408,0.004402059229280666,0.015294950161245643,3,7,5,0.9917945581155736,0.9847050498387544,0.9955979407707193,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",8-14,-4.260394880022716,-4.612354060474503,-3.9084356995709286,0.17957431015467443,-23.72496865700372,1.9925086912398934e-124,0.014116726895969468,0.009928418678597603,0.020071874958796216,7,14,10.5,0.9858832731040306,0.9799281250412037,0.9900715813214024,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",15-21,-4.311786780131145,-4.626757472387348,-3.9968160878749424,0.16070228572598863,-26.83089889264622,1.4093761834416871e-158,0.013409568225836064,0.009786440514255328,0.018374047207605666,14,21,17.5,0.986590431774164,0.9816259527923943,0.9902135594857446,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",22-28,-4.928762477024283,-5.356913870110556,-4.5006110839380105,0.21844860235365338,-22.562572723834382,1.0107047211765312e-112,0.007235451781066215,0.004715436123655582,0.011102210082648563,21,28,24.5,0.9927645482189338,0.9888977899173514,0.9952845638763445,0,NA,NA,NA,NA,NA
