stratum,brand_descr,var_label,label,HR,CI,HR_ECI
all,Any vaccine,Age,Age,1.32,(1.26-1.38),1.32 (1.26-1.38)
all,Any vaccine,Age,Age²,1.00,(1.00-1.00),1.00 (1.00-1.00)
all,Any vaccine,Sex,Female,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Sex,Male,1.08,(1.07-1.09),1.08 (1.07-1.09)
all,Any vaccine,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
all,Any vaccine,IMD,2,1.13,(1.11-1.15),1.13 (1.11-1.15)
all,Any vaccine,IMD,3,1.18,(1.16-1.21),1.18 (1.16-1.21)
all,Any vaccine,IMD,4,1.29,(1.27-1.32),1.29 (1.27-1.32)
all,Any vaccine,IMD,5 least deprived,1.34,(1.31-1.36),1.34 (1.31-1.36)
all,Any vaccine,Ethnicity,White,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Ethnicity,Black,0.45,(0.41-0.49),0.45 (0.41-0.49)
all,Any vaccine,Ethnicity,South Asian,0.47,(0.45-0.49),0.47 (0.45-0.49)
all,Any vaccine,Ethnicity,Mixed,0.68,(0.59-0.77),0.68 (0.59-0.77)
all,Any vaccine,Ethnicity,Other,0.64,(0.58-0.71),0.64 (0.58-0.71)
all,Any vaccine,Body Mass Index,Not obese,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Body Mass Index,Obese I (30-34.9),1.01,(0.99-1.02),1.01 (0.99-1.02)
all,Any vaccine,Body Mass Index,Obese II (35-39.9),0.94,(0.91-0.98),0.94 (0.91-0.98)
all,Any vaccine,Body Mass Index,Obese III (40+),0.84,(0.79-0.89),0.84 (0.79-0.89)
all,Any vaccine,Heart failure,Heart failure,0.96,(0.94-0.98),0.96 (0.94-0.98)
all,Any vaccine,Other heart disease,Other heart disease,1.04,(1.01-1.06),1.04 (1.01-1.06)
all,Any vaccine,Dialysis,Dialysis,1.00,(0.87-1.14),1.00 (0.87-1.14)
all,Any vaccine,Diabetes,Diabetes,0.96,(0.93-0.99),0.96 (0.93-0.99)
all,Any vaccine,Chronic liver disease,Chronic liver disease,0.92,(0.86-0.99),0.92 (0.86-0.99)
all,Any vaccine,COPD,COPD,0.97,(0.94-1.00),0.97 (0.94-1.00)
all,Any vaccine,Other respiratory conditions,Other respiratory conditions,0.95,(0.92-0.98),0.95 (0.92-0.98)
all,Any vaccine,Lung Cancer,Lung Cancer,1.02,(0.95-1.10),1.02 (0.95-1.10)
all,Any vaccine,Haematological cancer,Haematological cancer,1.02,(0.97-1.07),1.02 (0.97-1.07)
all,Any vaccine,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.04,(1.01-1.07),1.04 (1.01-1.07)
all,Any vaccine,Immunosuppressed,Immunosuppressed,1.02,(0.99-1.06),1.02 (0.99-1.06)
all,Any vaccine,Dementia,Dementia,0.80,(0.78-0.83),0.80 (0.78-0.83)
all,Any vaccine,Other neurological conditions,Other neurological conditions,0.83,(0.80-0.87),0.83 (0.80-0.87)
all,Any vaccine,Learning disabilities,Learning disabilities,0.73,(0.60-0.89),0.73 (0.60-0.89)
all,Any vaccine,Serious mental illness,Serious mental illness,0.69,(0.65-0.74),0.69 (0.65-0.74)
all,Any vaccine,Morbidity count,0,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Morbidity count,1,1.00,(0.97-1.03),1.00 (0.97-1.03)
all,Any vaccine,Morbidity count,2,1.01,(0.96-1.06),1.01 (0.96-1.06)
all,Any vaccine,Morbidity count,3,1.04,(0.96-1.12),1.04 (0.96-1.12)
all,Any vaccine,Morbidity count,4+,1.04,(0.93-1.16),1.04 (0.93-1.16)
all,Any vaccine,Shielding criteria met,Shielding criteria met,1.02,(1.01-1.04),1.02 (1.01-1.04)
all,Any vaccine,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.99,(1.96-2.04),1.99 (1.96-2.04)
all,Any vaccine,Frailty,None,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Frailty,Mild,1.18,(1.15-1.21),1.18 (1.15-1.21)
all,Any vaccine,Frailty,Moderate,1.14,(1.11-1.17),1.14 (1.11-1.17)
all,Any vaccine,Frailty,Severe,1.05,(1.02-1.08),1.05 (1.02-1.08)
all,Any vaccine,region,Midlands,1,(NA-NA),1 (NA-NA)
all,Any vaccine,region,North East and Yorkshire,0.17,(0.07-0.39),0.17 (0.07-0.39)
all,Any vaccine,region,East of England,66.52,(29.20-151.53),66.52 (29.20-151.53)
all,Any vaccine,region,South East,3.47,(0.84-14.33),3.47 (0.84-14.33)
all,Any vaccine,region,South West,0.00,(0.00-0.00),0.00 (0.00-0.00)
all,Any vaccine,region,North West,2.86,(1.02-8.02),2.86 (1.02-8.02)
all,Any vaccine,region,London,0.00,(0.00-1.07),0.00 (0.00-1.07)
all,Any vaccine,Time since positive SARS-CoV-2 test,No positive test,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since positive SARS-CoV-2 test,1-21,0.08,(0.07-0.09),0.08 (0.07-0.09)
all,Any vaccine,Time since positive SARS-CoV-2 test,22-28,0.28,(0.24-0.33),0.28 (0.24-0.33)
all,Any vaccine,Time since positive SARS-CoV-2 test,29+,1.06,(0.99-1.14),1.06 (0.99-1.14)
all,Any vaccine,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since suspected COVID,1-21,1.44,(1.29-1.61),1.44 (1.29-1.61)
