term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul
"poly(age, degree = 2, raw = TRUE)1","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age,1217499,21099,-0.06273440277841263,0.050149415143305565,-1.2509498385802618,0.21095277898941978,-0.16102545030503912,0.035556644748213836,0.9391928875873257,0.8512704057399604,1.0361963415465791
"poly(age, degree = 2, raw = TRUE)2","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age²,1217499,21099,3.101310383219919e-4,2.862529719246742e-4,1.083415959795174,0.27862383482287845,-2.5091447711792457e-4,8.711765537619084e-4,1.0003101791339244,0.9997491169992868,1.0008715561382762
sexFemale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,Female,754214,13440,0,NA,NA,NA,NA,NA,NA,NA,NA
sexMale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,Male,463285,7659,-0.019023716342706273,0.015352642687580314,-1.2391167260145848,0.2153022736614065,-0.049114343077875905,0.011066910392463356,0.9811560925327321,0.9520722606017722,1.0111283751777729
imd1 most deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,TRUE,1 most deprived,283679,4468,0,NA,NA,NA,NA,NA,NA,NA,NA
imd2,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,2,245908,4226,0.08534003582958509,0.02177552029286044,3.9190813666833764,8.888710587724343e-5,0.04266080031095754,0.12801927134821264,1.0890873324576016,1.043583851490393,1.136574905816788
imd3,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,3,245463,4359,0.17903705314789709,0.022487355047807127,7.961676807577956,1.6972331819231811e-15,0.13496264714663014,0.22311145914916403,1.1960650613224453,1.1444940334350715,1.249959885437378
imd4,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,4,228964,4278,0.26737016527610313,0.022470555344168176,11.89868969328763,1.2021991556417778e-32,0.22332868608891948,0.3114116444632868,1.3065239866424674,1.2502314398915122,1.3653511447610454
imd5 least deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,5 least deprived,213485,3768,0.27661502751749606,0.02443757505486229,11.319250248704957,1.0536921069807708e-29,0.22871826054047154,0.32451179449452056,1.3186586260224655,1.2569878460407369,1.3833551195109195
ethnicity_combinedWhite,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,TRUE,White,1106035,19861,0,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity_combinedBlack,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Black,16324,170,-0.7541662501605082,0.08162040806294979,-9.239922564205475,2.4667569124740652e-20,-0.9141393103673524,-0.594193189953664,0.47040264941184545,0.40086149498985163,0.5520077516531876
