term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,or,or.ll,or.ul
(Intercept),-7.650494661392646,0.01682082016910927,-454.8229268536179,0,-7.683462863114525,-7.617526459670766,0 Unadjusted,4.75808706602438e-4,4.6037790961810516e-4,4.917567080194709e-4
"timesincevax_pwDose 1 (0,3]",-1.4666981905343517,0.1516993819491091,-9.668451985034375,4.1054076534055504e-22,-1.764023515631591,-1.1693728654371123,0 Unadjusted,0.23068591002823455,0.17135402934775312,0.3105616441476024
"timesincevax_pwDose 1 (3,7]",-0.9522469326193083,0.1024153070058142,-9.297896578733573,1.4325147924406503e-20,-1.1529772458163168,-0.7515166194222997,0 Unadjusted,0.3858730179737828,0.31569546582347263,0.47165069543144655
"timesincevax_pwDose 1 (7,14]",-0.7517365115523876,0.0711948208007514,-10.55886514071335,4.622159602910716e-26,-0.8912757962076434,-0.6121972268971319,0 Unadjusted,0.4715469945572916,0.4101321737613998,0.542158314566595
"timesincevax_pwDose 1 (14,21]",-0.8108826719341684,0.07338977987559549,-11.0489862935781,2.2170411701740455e-28,-0.954723997323658,-0.6670413465446788,0 Unadjusted,0.4444655757388478,0.3849183683931218,0.513224788002597
"timesincevax_pwDose 1 (21, Inf]",-1.4104127310189472,0.06426149711565834,-21.948021666542804,9.04528660770019e-107,-1.536362950958262,-1.2844625110796324,0 Unadjusted,0.2440425384390765,0.21516223565716308,0.2767993202240432
"timesincevax_pwDose 2 (0,3]",-2.1740849502565314,0.5002695490555441,-4.3458270733467055,1.3875185080548964e-5,-3.1545952489674915,-1.1935746515455712,0 Unadjusted,0.11371215836011121,0.042655662422534414,0.30313572043096493
"timesincevax_pwDose 2 (3,7]",-1.2051280336216885,0.2678090643129916,-4.4999523698467545,6.796869028723401e-6,-1.730024154408523,-0.680231912834854,0 Unadjusted,0.2996536313174195,0.1772801278215312,0.5064995150054853
"timesincevax_pwDose 2 (7,14]",-1.6931637471117849,0.2587572124823034,-6.543445614013877,6.011735360848966e-11,-2.2003185643170777,-1.1860089299064922,0 Unadjusted,0.18393667336404576,0.11076786605159403,0.30543785859766304
"timesincevax_pwDose 2 (14,21]",-2.0005375520634385,0.30198527219537225,-6.624619596578113,3.481435514785969e-11,-2.592417809427893,-1.4086572946989842,0 Unadjusted,0.13526255302574164,0.07483887502467816,0.2444713158102452
"timesincevax_pwDose 2 (21, Inf]",-2.2494746246725237,0.18644387919560557,-12.065156734442924,1.6135488988888495e-33,-2.6148979130338472,-1.8840513363112001,0 Unadjusted,0.10545461326263865,0.07317525855483144,0.15197316248687767
(Intercept),-23.484654609396124,4.484827225602883,-5.236468079601249,1.636785342606156e-7,-32.27475444846247,-14.694554770329782,"1 Age, sex, IMD",6.320393150227056e-11,9.621709450497802e-15,4.151795455782573e-7
age,0.3027728836152899,0.10235014731328528,2.9582066226883614,0.0030943463345877668,0.10217028106888185,0.503375486161698,"1 Age, sex, IMD",1.353607003199982,1.1075720542247203,1.6542959097993661
I(age * age),-0.0013424465730319179,5.826385101348871e-4,-2.304081432449645,0.02121807282169624,-0.002484397068902372,-2.0049607716146416e-4,"1 Age, sex, IMD",0.9986584541052862,0.997518686491371,0.9997995240208338
sexMale,0.033942019706901624,0.03079632284868165,1.1021452097926243,0.270398547287764,-0.02641766393278236,0.09430170334658561,"1 Age, sex, IMD",1.03452462294834,0.9739282299545916,1.0988912350721205
imd2,-0.14528672858787384,0.050217635039319246,-2.893141592074531,0.0038140931342229923,-0.2437114846537162,-0.046861972522031475,"1 Age, sex, IMD",0.8647743020449213,0.7837137150812955,0.9542190969564787
imd3,-0.23805382135503914,0.04821229324683038,-4.937616639314072,7.908310801746822e-7,-0.33254817973091033,-0.14355946297916794,"1 Age, sex, IMD",0.7881602700984782,0.7170941186300088,0.8662692877031085
imd4,-0.3436660987317639,0.049156799911323795,-6.991221954067778,2.725022480960472e-12,-0.44001165615320026,-0.24732054131032755,"1 Age, sex, IMD",0.7091656798413379,0.6440289141397018,0.7808903457954609
imd5 most deprived,-0.38174468640873926,0.04970756538095472,-7.679810577787891,1.593239975735258e-14,-0.4791697243145805,-0.28431964850289804,"1 Age, sex, IMD",0.6826693257145651,0.6192973659514908,0.7525260624281153
