outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.32,(0.28-0.37), 67.7,(63.3-71.6),0.32 (0.28-0.37), 67.7 (63.3-71.6)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.49,(0.44-0.54), 51.2,(45.9-55.9),0.49 (0.44-0.54), 51.2 (45.9-55.9)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.59,(0.54-0.65), 40.9,(35.3-46.0),0.59 (0.54-0.65), 40.9 (35.3-46.0)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.50,(0.44-0.55), 50.5,(44.7-55.6),0.50 (0.44-0.55), 50.5 (44.7-55.6)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.40,(0.35-0.46), 59.6,(53.7-64.7),0.40 (0.35-0.46), 59.6 (53.7-64.7)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.36,(0.31-0.43), 63.6,(57.2-69.1),0.36 (0.31-0.43), 63.6 (57.2-69.1)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.38,(0.32-0.44), 62.4,(56.2-67.8),0.38 (0.32-0.44), 62.4 (56.2-67.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.32,(0.28-0.36), 68.4,(64.1-72.2),0.32 (0.28-0.36), 68.4 (64.1-72.2)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.48,(0.43-0.53), 52.5,(47.4-57.1),0.48 (0.43-0.53), 52.5 (47.4-57.1)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.57,(0.52-0.62), 42.9,(37.5-47.8),0.57 (0.52-0.62), 42.9 (37.5-47.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.47,(0.42-0.53), 52.6,(47.1-57.5),0.47 (0.42-0.53), 52.6 (47.1-57.5)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.38,(0.34-0.44), 61.7,(56.2-66.5),0.38 (0.34-0.44), 61.7 (56.2-66.5)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.34,(0.29-0.40), 65.7,(59.7-70.8),0.34 (0.29-0.40), 65.7 (59.7-70.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.35,(0.30-0.41), 64.7,(59.0-69.6),0.35 (0.30-0.41), 64.7 (59.0-69.6)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.34,(0.30-0.38), 66.2,(61.5-70.3),0.34 (0.30-0.38), 66.2 (61.5-70.3)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.51,(0.46-0.56), 49.0,(43.5-54.0),0.51 (0.46-0.56), 49.0 (43.5-54.0)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.62,(0.56-0.68), 38.2,(32.4-43.5),0.62 (0.56-0.68), 38.2 (32.4-43.5)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.52,(0.46-0.58), 48.2,(42.2-53.6),0.52 (0.46-0.58), 48.2 (42.2-53.6)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.43,(0.37-0.49), 57.4,(51.3-62.8),0.43 (0.37-0.49), 57.4 (51.3-62.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.39,(0.33-0.45), 61.4,(54.7-67.2),0.39 (0.33-0.45), 61.4 (54.7-67.2)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.40,(0.34-0.46), 60.1,(53.6-65.7),0.40 (0.34-0.46), 60.1 (53.6-65.7)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.29,(0.24-0.36), 70.6,(64.3-75.9),0.29 (0.24-0.36), 70.6 (64.3-75.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.51,(0.44-0.58), 49.3,(41.7-55.9),0.51 (0.44-0.58), 49.3 (41.7-55.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.52,(0.46-0.59), 47.7,(40.9-53.7),0.52 (0.46-0.59), 47.7 (40.9-53.7)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.38,(0.33-0.45), 61.8,(55.5-67.2),0.38 (0.33-0.45), 61.8 (55.5-67.2)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.34,(0.28-0.40), 66.5,(59.9-72.0),0.34 (0.28-0.40), 66.5 (59.9-72.0)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.32,(0.26-0.40), 67.8,(60.3-73.9),0.32 (0.26-0.40), 67.8 (60.3-73.9)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.37,(0.31-0.44), 63.4,(56.1-69.4),0.37 (0.31-0.44), 63.4 (56.1-69.4)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.29,(0.24-0.35), 71.3,(65.0-76.5),0.29 (0.24-0.35), 71.3 (65.0-76.5)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.50,(0.43-0.57), 50.3,(42.8-56.8),0.50 (0.43-0.57), 50.3 (42.8-56.8)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.51,(0.45-0.58), 48.6,(42.0-54.5),0.51 (0.45-0.58), 48.6 (42.0-54.5)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.38,(0.32-0.44), 62.5,(56.3-67.8),0.38 (0.32-0.44), 62.5 (56.3-67.8)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.33,(0.27-0.39), 67.2,(60.7-72.6),0.33 (0.27-0.39), 67.2 (60.7-72.6)
"Positive
SARS-CoV-2
test",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.31,(0.26-0.39), 68.5,(61.2-74.4),0.31 (0.26-0.39), 68.5 (61.2-74.4)
