variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,n_obs,n_event,estimate,std.error,statistic,or,or.ll,or.ul,conf.low,conf.high,ci,p.value
"age, degree = 2",Age,continuous,NA,label,Age,6401834,NA,nmatrix.2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age, degree = 2",Age,continuous,NA,level,Age,6401834,"poly(age, degree = 2, raw = TRUE)1",nmatrix.2,NA,FALSE,NA,NA,61408920.47626728,9199.915326384575,0.22891554837292755,0.24639292172507982,0.9290670639814355,1.2572358589124621,0.7756873773161668,2.0377307291041475,-0.2540057042538254,0.7118368009996805,"-0.25, 0.71",0.35285433200335764
"age, degree = 2",Age,continuous,NA,level,Age²,6401834,"poly(age, degree = 2, raw = TRUE)2",nmatrix.2,NA,FALSE,NA,NA,61408920.47626728,9199.915326384575,-8.161726453015368e-4,0.0014007925411722358,-0.5826506219247376,0.9991841603329965,0.9964446596670504,1.00193119264039,-0.0035616755758114595,0.0019293302852083857,"0.00, 0.00",0.5601285200760573
sex,Sex,dichotomous,NA,label,Sex,6401834,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,TRUE,level,Female,6401834,sexFemale,factor,2,FALSE,contr.treatment,treatment,35794124.794667065,5029.953705621131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,FALSE,level,Male,6401834,sexMale,factor,2,FALSE,contr.treatment,treatment,25614795.681599926,4169.961620763443,0.24803839601068062,0.07008619373020411,3.539047889595791,1.281509136087875,1.1170284396276342,1.4702093587018674,0.11067198048598365,0.3854048115353776,"0.11, 0.39",4.015729945348533e-4
imd,Deprivation,categorical,NA,label,Deprivation,6401834,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,TRUE,level,1 most deprived,6401834,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,11269701.747612787,2169.9800280711443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,FALSE,level,2,6401834,imd2,factor,5,FALSE,contr.treatment,treatment,11690757.951933913,1809.9833413865304,-0.15692131383567465,0.10339307764146267,-1.5177158608222538,0.8547713148477316,0.6979777718152783,1.0467869181368201,-0.359568022263695,0.045725394592345675,"-0.36, 0.05",0.12908604388819253
imd,Deprivation,categorical,FALSE,level,3,6401834,imd3,factor,5,FALSE,contr.treatment,treatment,12648980.167966701,1679.984537861531,-0.2542186037168907,0.10696396629965282,-2.376675178673847,0.7755222514682555,0.6288489933259073,0.9564057013774888,-0.4638641253077663,-0.04457308212601513,"-0.46, -0.04",0.017469464090610783
