term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul
"poly(age, degree = 2, raw = TRUE)1","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age,56754865.62060118,7599.954112514905,0.0981855299695167,0.26539332877872757,0.3699623137527287,0.7114105704908394,-0.4219758361739867,0.6183468961130201,1.1031674367443258,0.6557498846281206,1.8558575792707936
"poly(age, degree = 2, raw = TRUE)2","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age²,56754865.62060118,7599.954112514905,-1.336694101514257e-4,0.001512791749743996,-0.08835942566056834,0.9295910087480974,-0.0030986867557589877,0.0028313479354561363,0.9998663395232061,0.9969061092190261,1.0028353599866326
sexFemale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,Female,32911374.88579393,4229.974459991849,0,NA,NA,NA,NA,NA,NA,NA,NA
sexMale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,Male,23843490.734803155,3369.9796525230568,0.17180592853359827,0.07769837875817202,2.2111906487563404,0.027022637675254476,0.019519904510429176,0.32409195255676737,1.1874473611999454,1.0197116635201016,1.382774450919986
imd1 most deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,TRUE,1 most deprived,10663468.856722243,1879.988648885266,0,NA,NA,NA,NA,NA,NA,NA,NA
imd2,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,2,10952415.142100131,1489.9910036377908,-0.1727678122720768,0.11318725770582773,-1.5263892400423569,0.12691295573894054,-0.39461076088435276,0.049075136340199194,0.8413329393513839,0.673942312911847,1.0502992634181532
imd3,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,3,11515190.754999936,1269.9923319597276,-0.27807839135956064,0.12006064361067065,-2.316149430793538,0.02055011116491453,-0.513392928797174,-0.04276385392194726,0.7572374583137175,0.5984615926067876,0.9581376237959697
imd4,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,4,12164065.818517864,1439.99130552914,-0.1564375890682699,0.11604601634665207,-1.3480651382375792,0.17763743290220174,-0.38388360165705426,0.07100842352051448,0.8551848889231379,0.681210714363358,1.073590269239926
imd5 least deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,5 least deprived,11459725.048257194,1519.990822502981,0.01421198934830998,0.1166923295331178,0.12179026166648386,0.9030651265994982,-0.21450077380868057,0.24292475250530052,1.0143134597980659,0.8069441873112422,1.2749726820086718
ethnicity_combinedWhite,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,TRUE,White,54030100.95877943,7169.95670878051,0,NA,NA,NA,NA,NA,NA,NA,NA
ethnicity_combinedBlack,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Black,341381.96229377034,39.999758486920555,-0.2515550509116026,0.4981281505053962,-0.5050006723297552,0.6135583637577502,-1.2278682855877263,0.7247581837645213,0.7775906493573609,0.2929163265723495,2.0642318748274215
ethnicity_combinedSouth Asian,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,South Asian,2053569.6726290244,349.9978867605549,0.007631508881729807,0.1858522532176861,0.04106223491835275,0.9672462813649209,-0.3566322138705532,0.37189523163401284,1.0076607030636016,0.7000299116867851,1.4504810088071551
ethnicity_combinedMixed,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Mixed,137617.1757762381,19.999879243460278,-0.040681143313173816,0.7302697480770342,-0.055707008842001866,0.9555752159266787,-1.4719835485432988,1.3906212619169513,0.9601352266819952,0.2294698688434653,4.017345101393422
ethnicity_combinedOther,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,FALSE,Other,192195.85112228105,19.999879243460278,-0.205388505745834,0.6976138751728842,-0.29441574064869935,0.7684402403532089,-1.5726865762001077,1.1619095647084396,0.8143308827202942,0.207487003252632,3.1960304797722383
bmiNot obese,bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,TRUE,Not obese,46176095.25446565,6399.961357907288,0,NA,NA,NA,NA,NA,NA,NA,NA
bmiObese I (30-34.9),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese I (30-34.9),7832692.873311231,829.9949886036015,-0.2643199831391085,0.11989923058212462,-2.20451775925337,0.027487952396635793,-0.4993181568541361,-0.029321809424080858,0.7677278403846431,0.6069443595088723,0.9711039037888155
bmiObese II (35-39.9),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese II (35-39.9),2122893.2391734254,279.9983094084439,-0.18066844397816953,0.2244257954713581,-0.8050253029011853,0.42080507856805444,-0.6205349203037837,0.25919803234744465,0.8347120666333501,0.5376567571426147,1.2958904076388371
bmiObese III (40+),bmi,Body Mass Index,factor,categorical,4,contr.treatment,treatment,FALSE,Obese III (40+),623184.2536491117,89.99945659557125,-0.15783657012299812,0.36414121806535477,-0.4334487893503728,0.6646887622635436,-0.8715402428176394,0.5558671025716432,0.8539893379368236,0.4183067588273505,1.7434520813247976
heart_failure,heart_failure,Heart failure,integer,continuous,NA,NA,NA,NA,Heart failure,56754865.62060118,7599.954112514905,0.34361902852356974,0.11194516654752062,3.0695298343024375,0.002143959910139766,0.1242105338470913,0.5630275232000481,1.4100413476344638,1.1322542237452449,1.755980733251086
other_heart_disease,other_heart_disease,Other heart disease,integer,continuous,NA,NA,NA,NA,Other heart disease,56754865.62060118,7599.954112514905,-0.2675207848404552,0.1152516916970191,-2.3211874888893664,0.020276727123812482,-0.4934099497239266,-0.04163161995698386,0.765274424350707,0.6105409266711578,0.9592230741326518
dialysis,dialysis,Dialysis,integer,continuous,NA,NA,NA,NA,Dialysis,56754865.62060118,7599.954112514905,-0.20470514795362527,0.6932010106720639,-0.2953041683467282,0.7677615325574814,-1.5633541629176357,1.1539438670103852,0.8148875522550068,0.20943242132094803,3.1706729962431894
diabetes,diabetes,Diabetes,integer,continuous,NA,NA,NA,NA,Diabetes,56754865.62060118,7599.954112514905,-0.03640129637670157,0.13531837047246362,-0.2690048383645663,0.7879259593892916,-0.3016204289493785,0.22881783619597534,0.9642532644903881,0.7396187494820893,1.2571130176613863
chronic_liver_disease,chronic_liver_disease,Chronic liver disease,integer,continuous,NA,NA,NA,NA,Chronic liver disease,56754865.62060118,7599.954112514905,0.015399739908076818,0.39041378189072506,0.03944466261794808,0.9685358719778578,-0.74979721166582,0.7805966914819737,1.0155189269331344,0.47246235288061444,2.1827743198409215
current_copd,current_copd,COPD,integer,continuous,NA,NA,NA,NA,COPD,56754865.62060118,7599.954112514905,-0.010288482120556369,0.13757079322512367,-0.07478681978463325,0.9403843287363624,-0.2799222821664056,0.2593453179252928,0.9897642632666412,0.7558424816133267,1.2960812876629462
other_resp_conditions,other_resp_conditions,Other respiratory conditions,integer,continuous,NA,NA,NA,NA,Other respiratory conditions,56754865.62060118,7599.954112514905,0.09854657439476044,0.14122844234442591,0.6977813587607691,0.48531393869302375,-0.17825608619300581,0.3753492349825267,1.1035658011067615,0.8367281215308292,1.4554996372588591
lung_cancer,lung_cancer,Lung Cancer,integer,continuous,NA,NA,NA,NA,Lung Cancer,56754865.62060118,7599.954112514905,0.9424582339442125,0.26137584711991835,3.605758697022284,3.1124225291764737e-4,0.4301709871605254,1.4547454807278997,2.5662821927642376,1.5375203973206086,4.2833931207519
haematological_cancer,haematological_cancer,Haematological cancer,integer,continuous,NA,NA,NA,NA,Haematological cancer,56754865.62060118,7599.954112514905,0.0907625877793902,0.2324697366232822,0.39042754165662086,0.6962204253205271,-0.3648697234977548,0.5463948990565353,1.0950090058764985,0.6942870942807227,1.7270157155849781
cancer_excl_lung_and_haem,cancer_excl_lung_and_haem,"Cancer excl. lung, haemo",integer,continuous,NA,NA,NA,NA,"Cancer excl. lung, haemo",56754865.62060118,7599.954112514905,0.2032309734517518,0.13634354133120785,1.4905801291904248,0.13607176450150288,-0.06399745708206381,0.4704594039855674,1.2253554601446859,0.9380073848034998,1.6007294057934722
any_immunosuppression,any_immunosuppression,Immunosuppressed,integer,continuous,NA,NA,NA,NA,Immunosuppressed,56754865.62060118,7599.954112514905,-0.1491894591453551,0.1696642581422866,-0.879321671982554,0.37922688846549263,-0.48172529456794344,0.1833463762772332,0.8614058982127203,0.6177167286002311,1.2012304137482377
dementia,dementia,Dementia,integer,continuous,NA,NA,NA,NA,Dementia,56754865.62060118,7599.954112514905,0.17382850497542862,0.14812661403338384,1.1735129848863775,0.24059015282644863,-0.11649432368186902,0.46415133363272626,1.189851494710951,0.8900351490849928,1.5906636731384747
