var_label,label,Any vaccine_HR_ECI,BNT162b2_HR_ECI,ChAdOx1_HR_ECI
Age,Age,1.31 (1.24-1.39),1.64 (1.52-1.77),0.96 (0.87-1.06)
Age,Age²,1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00)
Sex,Female,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Sex,Male,1.08 (1.06-1.10),1.11 (1.09-1.13),0.98 (0.95-1.01)
IMD,1 most deprived,1 (NA-NA),1 (NA-NA),1 (NA-NA)
IMD,2,1.12 (1.10-1.15),1.14 (1.10-1.17),1.09 (1.05-1.14)
IMD,3,1.19 (1.16-1.22),1.18 (1.15-1.22),1.20 (1.15-1.25)
IMD,4,1.29 (1.26-1.32),1.28 (1.24-1.31),1.31 (1.25-1.37)
IMD,5 least deprived,1.37 (1.34-1.40),1.38 (1.34-1.42),1.31 (1.25-1.38)
Ethnicity,White,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Ethnicity,Black,0.45 (0.41-0.50),0.46 (0.41-0.52),0.47 (0.40-0.55)
Ethnicity,South Asian,0.46 (0.43-0.48),0.47 (0.44-0.50),0.45 (0.42-0.49)
Ethnicity,Mixed,0.73 (0.63-0.84),0.71 (0.60-0.85),0.78 (0.62-0.98)
Ethnicity,Other,0.75 (0.66-0.85),0.81 (0.70-0.93),0.67 (0.54-0.83)
Body Mass Index,Not obese,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Body Mass Index,Obese I (30-34.9),1.01 (0.99-1.03),1.01 (0.99-1.04),0.97 (0.93-1.01)
Body Mass Index,Obese II (35-39.9),0.92 (0.88-0.97),0.87 (0.82-0.92),1.05 (0.96-1.15)
Body Mass Index,Obese III (40+),0.80 (0.75-0.86),0.71 (0.65-0.77),1.04 (0.92-1.17)
Heart failure,Heart failure,0.95 (0.92-0.97),0.92 (0.89-0.95),1.01 (0.96-1.06)
Other heart disease,Other heart disease,1.04 (1.01-1.08),1.02 (0.98-1.06),1.08 (1.02-1.14)
Dialysis,Dialysis,0.90 (0.76-1.07),0.85 (0.69-1.06),1.04 (0.79-1.36)
Diabetes,Diabetes,0.96 (0.93-1.00),0.93 (0.89-0.97),1.04 (0.97-1.11)
Chronic liver disease,Chronic liver disease,0.92 (0.84-1.01),0.87 (0.78-0.97),1.03 (0.87-1.23)
COPD,COPD,0.95 (0.92-0.99),0.94 (0.90-0.98),0.97 (0.90-1.03)
Other respiratory conditions,Other respiratory conditions,0.96 (0.93-1.00),0.94 (0.90-0.99),1.01 (0.95-1.08)
Lung Cancer,Lung Cancer,1.02 (0.93-1.12),1.02 (0.92-1.13),1.00 (0.84-1.19)
Haematological cancer,Haematological cancer,1.03 (0.97-1.09),1.00 (0.93-1.07),1.11 (0.99-1.24)
"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.03 (0.99-1.06),1.00 (0.96-1.04),1.07 (1.00-1.15)
Immunosuppressed,Immunosuppressed,1.01 (0.97-1.06),0.98 (0.93-1.03),1.09 (1.00-1.18)
Dementia,Dementia,0.80 (0.76-0.83),0.71 (0.67-0.74),1.02 (0.95-1.09)
Other neurological conditions,Other neurological conditions,0.83 (0.79-0.87),0.75 (0.70-0.80),1.02 (0.94-1.11)
Learning disabilities,Learning disabilities,0.69 (0.53-0.90),0.57 (0.38-0.85),0.94 (0.61-1.44)
Serious mental illness,Serious mental illness,0.73 (0.67-0.80),0.65 (0.58-0.73),0.93 (0.80-1.07)
Morbidity count,0,1 (NA-NA),1 (NA-NA),1 (NA-NA)
Morbidity count,1,1.01 (0.97-1.05),1.05 (1.00-1.09),0.93 (0.87-1.00)
Morbidity count,2,1.03 (0.96-1.10),1.10 (1.02-1.20),0.87 (0.78-0.98)
Morbidity count,3,1.06 (0.96-1.17),1.18 (1.05-1.33),0.85 (0.71-1.01)
Morbidity count,4+,1.06 (0.92-1.22),1.23 (1.04-1.46),0.77 (0.60-0.98)
Shielding criteria met,Shielding criteria met,1.03 (1.01-1.05),1.01 (0.99-1.04),1.08 (1.04-1.13)
