outcome_descr,brand_descr,term,strata,1_HR_ECI,2_HR_ECI,3_HR_ECI,1_VE_ECI,2_VE_ECI,3_VE_ECI
Positive test,Any vaccine,1-3,all,0.24 (0.21-0.27),0.25 (0.23-0.28),0.28 (0.25-0.31),76.2 (73.4-78.7),74.7 (71.7-77.4),72.0 (68.7-75.1)
Positive test,Any vaccine,4-7,all,0.34 (0.31-0.37),0.36 (0.33-0.40),0.41 (0.38-0.45),66.0 (63.1-68.8),63.6 (60.4-66.5),59.1 (55.4-62.4)
Positive test,Any vaccine,8-14,all,0.40 (0.38-0.43),0.44 (0.41-0.47),0.49 (0.46-0.53),59.7 (56.9-62.2),56.2 (53.3-59.0),50.5 (47.2-53.7)
Positive test,Any vaccine,15-21,all,0.35 (0.32-0.37),0.38 (0.35-0.41),0.44 (0.41-0.47),65.2 (62.6-67.7),61.8 (58.8-64.5),56.3 (52.9-59.4)
Positive test,Any vaccine,22-28,all,0.28 (0.25-0.31),0.31 (0.28-0.34),0.36 (0.33-0.40),72.2 (69.4-74.8),68.9 (65.8-71.8),63.6 (59.9-67.0)
Positive test,Any vaccine,29-35,all,0.25 (0.22-0.28),0.28 (0.25-0.31),0.33 (0.30-0.37),75.1 (72.2-77.7),71.9 (68.6-74.9),66.5 (62.6-70.1)
Positive test,Any vaccine,36+,all,0.21 (0.19-0.24),0.25 (0.22-0.27),0.30 (0.27-0.33),78.7 (76.3-80.8),75.5 (72.7-78.0),70.3 (66.9-73.4)
Positive test,BNT162b2,1-3,all,0.18 (0.15-0.20),0.19 (0.17-0.22),0.23 (0.19-0.26),82.4 (79.5-84.9),80.8 (77.6-83.5),77.4 (73.5-80.7)
Positive test,BNT162b2,4-7,all,0.27 (0.24-0.30),0.30 (0.27-0.33),0.34 (0.31-0.38),73.1 (70.1-75.8),70.5 (67.1-73.5),65.7 (61.8-69.2)
Positive test,BNT162b2,8-14,all,0.36 (0.33-0.39),0.40 (0.37-0.43),0.47 (0.43-0.51),64.0 (61.1-66.6),60.1 (57.0-63.0),53.1 (49.4-56.5)
Positive test,BNT162b2,15-21,all,0.32 (0.30-0.35),0.36 (0.33-0.39),0.43 (0.39-0.46),67.9 (65.1-70.4),64.5 (61.4-67.3),57.4 (53.7-60.7)
Positive test,BNT162b2,22-28,all,0.27 (0.24-0.30),0.30 (0.27-0.34),0.39 (0.35-0.43),72.9 (69.9-75.7),69.7 (66.3-72.8),61.3 (56.9-65.3)
Positive test,BNT162b2,29-35,all,0.25 (0.23-0.29),0.28 (0.25-0.32),0.38 (0.33-0.43),74.5 (71.2-77.5),71.6 (67.9-74.9),62.2 (57.2-66.7)
Positive test,BNT162b2,36+,all,0.24 (0.22-0.27),0.26 (0.24-0.30),0.36 (0.32-0.41),75.8 (72.9-78.4),73.5 (70.3-76.4),63.8 (59.1-67.9)
Positive test,ChAdOx1,1-3,all,0.36 (0.30-0.42),0.35 (0.30-0.42),0.52 (0.40-0.66),64.2 (57.7-69.7),64.7 (58.3-70.1),48.4 (34.0-59.7)
Positive test,ChAdOx1,4-7,all,0.49 (0.43-0.56),0.49 (0.43-0.56),0.67 (0.57-0.79),51.1 (44.1-57.2),51.2 (44.2-57.3),32.5 (20.6-42.7)
Positive test,ChAdOx1,8-14,all,0.51 (0.45-0.57),0.51 (0.45-0.58),0.81 (0.70-0.94),49.4 (43.0-55.0),48.8 (42.4-54.5),19.0 (6.0-30.1)
Positive test,ChAdOx1,15-21,all,0.46 (0.40-0.53),0.47 (0.41-0.54),0.68 (0.58-0.79),53.7 (46.6-59.9),53.0 (45.7-59.3),32.3 (20.8-42.1)
Positive test,ChAdOx1,22-28,all,0.37 (0.31-0.44),0.38 (0.31-0.45),0.57 (0.46-0.71),62.9 (55.7-69.0),62.4 (55.0-68.6),42.6 (28.8-53.7)
Positive test,ChAdOx1,29-35,all,0.35 (0.28-0.43),0.35 (0.28-0.43),0.53 (0.40-0.70),65.4 (57.3-71.9),64.9 (56.7-71.6),47.4 (30.5-60.2)
Positive test,ChAdOx1,36+,all,0.35 (0.29-0.42),0.36 (0.29-0.44),0.46 (0.35-0.61),65.2 (57.6-71.4),64.4 (56.4-70.9),53.8 (39.1-64.9)
COVID-19 hospitalisation,Any vaccine,1-3,all,0.33 (0.30-0.38),0.36 (0.32-0.40),0.45 (0.39-0.53),66.6 (62.4-70.4),64.5 (59.9-68.5),54.7 (46.8-61.3)
COVID-19 hospitalisation,Any vaccine,4-7,all,0.37 (0.33-0.41),0.40 (0.36-0.44),0.49 (0.44-0.56),62.9 (59.0-66.5),60.1 (55.9-63.9),50.6 (44.3-56.1)
COVID-19 hospitalisation,Any vaccine,8-14,all,0.41 (0.38-0.45),0.45 (0.42-0.49),0.55 (0.50-0.60),58.6 (55.2-61.8),54.7 (50.9-58.1),45.4 (40.4-50.0)
COVID-19 hospitalisation,Any vaccine,15-21,all,0.33 (0.30-0.36),0.36 (0.33-0.40),0.45 (0.40-0.50),67.3 (64.1-70.2),63.5 (60.0-66.8),55.5 (50.3-60.1)
COVID-19 hospitalisation,Any vaccine,22-28,all,0.26 (0.23-0.29),0.29 (0.26-0.33),0.35 (0.31-0.40),74.5 (71.2-77.4),70.9 (67.2-74.2),64.6 (59.9-68.6)
COVID-19 hospitalisation,Any vaccine,29-35,all,0.21 (0.18-0.24),0.24 (0.21-0.28),0.30 (0.26-0.35),79.1 (75.9-81.8),76.0 (72.3-79.2),69.9 (65.2-74.0)
COVID-19 hospitalisation,Any vaccine,36+,all,0.18 (0.16-0.20),0.21 (0.18-0.23),0.26 (0.23-0.30),82.4 (79.9-84.5),79.5 (76.6-82.0),73.9 (70.1-77.3)
COVID-19 hospitalisation,BNT162b2,1-3,all,0.22 (0.19-0.27),0.25 (0.21-0.29),0.37 (0.29-0.47),77.6 (73.5-81.1),75.1 (70.6-79.0),63.3 (53.2-71.2)
COVID-19 hospitalisation,BNT162b2,4-7,all,0.31 (0.28-0.35),0.35 (0.31-0.40),0.43 (0.37-0.50),68.8 (64.7-72.5),65.1 (60.5-69.2),57.2 (50.4-63.0)
COVID-19 hospitalisation,BNT162b2,8-14,all,0.37 (0.33-0.40),0.41 (0.38-0.45),0.50 (0.45-0.55),63.4 (59.8-66.6),58.7 (54.6-62.3),50.2 (45.0-54.8)
COVID-19 hospitalisation,BNT162b2,15-21,all,0.30 (0.27-0.34),0.34 (0.31-0.38),0.42 (0.37-0.48),69.8 (66.5-72.8),65.8 (62.1-69.2),57.6 (51.7-62.7)
COVID-19 hospitalisation,BNT162b2,22-28,all,0.25 (0.22-0.29),0.29 (0.25-0.33),0.36 (0.31-0.41),74.8 (71.2-78.0),71.2 (66.9-74.8),63.9 (58.6-68.6)
COVID-19 hospitalisation,BNT162b2,29-35,all,0.22 (0.19-0.26),0.25 (0.21-0.29),0.33 (0.28-0.38),78.0 (74.2-81.3),75.0 (70.6-78.8),67.5 (61.7-72.4)
COVID-19 hospitalisation,BNT162b2,36+,all,0.21 (0.19-0.25),0.24 (0.20-0.27),0.31 (0.27-0.36),78.6 (75.4-81.5),76.4 (72.7-79.6),68.8 (63.7-73.2)
COVID-19 hospitalisation,ChAdOx1,1-3,all,0.56 (0.48-0.67),0.55 (0.47-0.66),0.68 (0.55-0.84),43.6 (33.1-52.5),44.6 (34.3-53.3),32.3 (16.0-45.5)
COVID-19 hospitalisation,ChAdOx1,4-7,all,0.49 (0.41-0.58),0.49 (0.41-0.57),0.62 (0.51-0.76),51.1 (42.3-58.6),51.4 (42.6-58.9),37.9 (23.8-49.3)
COVID-19 hospitalisation,ChAdOx1,8-14,all,0.54 (0.47-0.62),0.54 (0.47-0.63),0.75 (0.63-0.89),45.8 (37.8-52.8),45.5 (37.4-52.6),25.0 (11.4-36.5)
COVID-19 hospitalisation,ChAdOx1,15-21,all,0.45 (0.38-0.54),0.46 (0.39-0.55),0.62 (0.49-0.77),54.6 (46.0-61.7),54.1 (45.4-61.4),38.4 (23.2-50.5)
COVID-19 hospitalisation,ChAdOx1,22-28,all,0.36 (0.29-0.45),0.36 (0.29-0.45),0.50 (0.39-0.64),64.0 (55.4-70.9),63.7 (55.0-70.7),50.3 (36.4-61.2)
