outcome_descr,brand_descr,strata,model_descr,term,HR,HR_CI,VE,VE_CI
Positive test,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",1-3,0.25,(0.22-0.28),75.5,( 72.1-78.5)
Positive test,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",4-7,0.35,(0.31-0.38),65.4,( 61.9-68.6)
Positive test,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",8-14,0.41,(0.38-0.45),58.5,( 55.3-61.5)
Positive test,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",15-21,0.34,(0.31-0.37),66.4,( 63.4-69.2)
Positive test,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",22-28,0.24,(0.22-0.27),75.8,( 73.2-78.2)
Positive test,Any vaccine,all,"Region-stratified Cox model, with no further adjustment",29+,0.17,(0.15-0.19),83.1,( 81.4-84.7)
Positive test,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.26,(0.23-0.30),74.0,( 70.4-77.2)
Positive test,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.37,(0.34-0.41),62.9,( 59.1-66.4)
Positive test,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.45,(0.42-0.49),55.0,( 51.4-58.2)
Positive test,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.37,(0.34-0.40),63.1,( 59.7-66.2)
Positive test,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.27,(0.24-0.30),73.2,( 70.3-75.8)
Positive test,Any vaccine,all,"Region-stratified Cox model, with adjustment for baseline confounders",29+,0.19,(0.17-0.21),80.9,( 78.9-82.7)
Positive test,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.28,(0.25-0.32),71.6,( 67.6-75.1)
Positive test,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.42,(0.38-0.46),58.3,( 53.9-62.2)
Positive test,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.51,(0.47-0.55),49.0,( 45.0-52.8)
Positive test,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.42,(0.38-0.46),58.2,( 54.4-61.7)
Positive test,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.30,(0.27-0.33),69.9,( 66.6-72.8)
Positive test,Any vaccine,all,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29+,0.22,(0.20-0.25),77.8,( 75.5-79.9)
Positive test,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",1-3,0.19,(0.16-0.22),81.4,( 77.9-84.3)
Positive test,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",4-7,0.27,(0.24-0.31),73.0,( 69.4-76.2)
Positive test,BNT162b2,all,"Region-stratified Cox model, with no further adjustment",8-14,0.37,(0.34-0.40),63.2,( 59.8-66.2)
