brand_descr,var_label,label,HR,CI
Any vaccine,Age,Age, 1.32,(1.23-  1.41)
Any vaccine,Age,Age², 1.00,(1.00-  1.00)
Any vaccine,Sex,Female,1,(NA-NA)
Any vaccine,Sex,Male, 1.08,(1.06-  1.09)
Any vaccine,IMD,1 most deprived,1,(NA-NA)
Any vaccine,IMD,2, 1.12,(1.09-  1.15)
Any vaccine,IMD,3, 1.20,(1.17-  1.23)
Any vaccine,IMD,4, 1.30,(1.26-  1.33)
Any vaccine,IMD,5 least deprived, 1.36,(1.32-  1.39)
Any vaccine,Ethnicity,White,1,(NA-NA)
Any vaccine,Ethnicity,Black, 0.44,(0.39-  0.49)
Any vaccine,Ethnicity,South Asian, 0.44,(0.42-  0.46)
Any vaccine,Ethnicity,Mixed, 0.71,(0.59-  0.84)
Any vaccine,Ethnicity,Other, 0.75,(0.64-  0.87)
Any vaccine,Body Mass Index,Not obese,1,(NA-NA)
Any vaccine,Body Mass Index,Obese I (30-34.9), 0.99,(0.97-  1.02)
Any vaccine,Body Mass Index,Obese II (35-39.9), 0.93,(0.88-  0.98)
Any vaccine,Body Mass Index,Obese III (40+), 0.78,(0.72-  0.84)
Any vaccine,Heart failure,Heart failure, 0.96,(0.92-  0.99)
Any vaccine,Other heart disease,Other heart disease, 1.03,(0.99-  1.07)
Any vaccine,Dialysis,Dialysis, 0.78,(0.64-  0.95)
Any vaccine,Diabetes,Diabetes, 0.95,(0.91-  0.99)
Any vaccine,Chronic liver disease,Chronic liver disease, 0.87,(0.78-  0.96)
Any vaccine,COPD,COPD, 0.94,(0.90-  0.98)
Any vaccine,Other respiratory conditions,Other respiratory conditions, 0.97,(0.93-  1.01)
Any vaccine,Lung Cancer,Lung Cancer, 0.99,(0.89-  1.10)
Any vaccine,Haematological cancer,Haematological cancer, 1.02,(0.95-  1.09)
Any vaccine,"Cancer excl. lung, haemo","Cancer excl. lung, haemo", 1.02,(0.98-  1.07)
Any vaccine,Immunosuppressed,Immunosuppressed, 1.00,(0.96-  1.05)
Any vaccine,Dementia,Dementia, 0.81,(0.77-  0.85)
Any vaccine,Other neurological conditions,Other neurological conditions, 0.82,(0.77-  0.87)
Any vaccine,Learning disabilities,Learning disabilities, 0.61,(0.45-  0.83)
Any vaccine,Serious mental illness,Serious mental illness, 0.75,(0.68-  0.83)
Any vaccine,Morbidity count,0,1,(NA-NA)
Any vaccine,Morbidity count,1, 1.01,(0.97-  1.05)
Any vaccine,Morbidity count,2, 1.03,(0.95-  1.11)
Any vaccine,Morbidity count,3, 1.07,(0.96-  1.20)
Any vaccine,Morbidity count,4+, 1.05,(0.90-  1.23)
Any vaccine,Shielding criteria met,Shielding criteria met, 1.05,(1.02-  1.07)
Any vaccine,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years, 2.00,(1.95-  2.06)
Any vaccine,Frailty,None,1,(NA-NA)
Any vaccine,Frailty,Mild, 1.18,(1.13-  1.22)
Any vaccine,Frailty,Moderate, 1.14,(1.09-  1.18)
Any vaccine,Frailty,Severe, 1.03,(0.99-  1.08)
Any vaccine,region,East,1,(NA-NA)
Any vaccine,region,East Midlands, 0.04,(0.02-  0.10)
Any vaccine,region,London, 0.01,(0.00-  0.11)
Any vaccine,region,North East, 0.04,(0.02-  0.10)
Any vaccine,region,North West, 0.00,(0.00-  0.01)
Any vaccine,region,South East, 0.25,(0.11-  0.55)
Any vaccine,region,South West, 0.02,(0.00-  0.12)
Any vaccine,region,West Midlands, 0.00,(0.00-  0.00)
Any vaccine,region,Yorkshire and The Humber, 0.01,(0.01-  0.02)
Any vaccine,Time since positive SARS-CoV-2 test,No positive test,1,(NA-NA)
Any vaccine,Time since positive SARS-CoV-2 test,1-7, 0.03,(0.02-  0.06)
Any vaccine,Time since positive SARS-CoV-2 test,8-14, 0.09,(0.06-  0.13)
Any vaccine,Time since positive SARS-CoV-2 test,15-21, 0.10,(0.07-  0.15)
Any vaccine,Time since positive SARS-CoV-2 test,22-28, 0.29,(0.23-  0.37)
Any vaccine,Time since positive SARS-CoV-2 test,29+, 0.97,(0.88-  1.07)
Any vaccine,Time since suspected COVID,Not suspected,1,(NA-NA)
Any vaccine,Time since suspected COVID,1-7, 1.59,(1.32-  1.91)
Any vaccine,Time since suspected COVID,8-14, 1.47,(1.12-  1.94)
Any vaccine,Time since suspected COVID,15-21, 1.05,(0.72-  1.52)
Any vaccine,Time since suspected COVID,22-28, 1.30,(0.93-  1.80)
Any vaccine,Time since suspected COVID,29+, 1.07,(0.80-  1.43)
Any vaccine,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA)
Any vaccine,Time since discharge from infectious hosp admission,In hospital, 0.78,(0.76-  0.81)
Any vaccine,Time since discharge from infectious hosp admission,1-7, 0.44,(0.39-  0.50)
Any vaccine,Time since discharge from infectious hosp admission,8-14, 0.72,(0.64-  0.81)
Any vaccine,Time since discharge from infectious hosp admission,15-21, 0.68,(0.60-  0.77)
Any vaccine,Time since discharge from infectious hosp admission,22-28, 0.91,(0.80-  1.03)
