outcome,outcome_var,outcome_descr,term,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,model,strata
postest,positive_test_1_date,Positive test,(Intercept),-7.702499823583401,0.024512961658330255,-314.22150986663235,0,-7.75054434558814,-7.654455301578662,4.516966085227982e-4,4.3050813157964054e-4,4.739279265233905e-4,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(0,3]",-1.0880664098183728,0.15625521454854505,-6.963392632764487,3.321743435555976e-12,-1.3943210027301,-0.7818118169066455,0.3368672275413972,0.24800137146538176,0.4575762154898727,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(3,7]",-0.7918122468518826,0.11806531809022926,-6.7065609076388935,1.9926469788506497e-11,-1.0232160181319971,-0.560408475571768,0.4530230612981726,0.35943712308546866,0.5709757865471433,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(7,14]",-0.5499336304646631,0.0816250417668974,-6.737315149377182,1.6133999599806865e-11,-0.7099157725643597,-0.3899514883649666,0.57698810354205,0.49168560913493975,0.6770897204308557,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(14,21]",-0.6713107943872347,0.08743130531211787,-7.678151343969376,1.614007454466791e-14,-0.8426730039203112,-0.4999485848541582,0.5110382724670808,0.43055810040930603,0.6065618453766609,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(21,28]",-1.217551662370464,0.11584663825935333,-10.51003016284903,7.766870344667423e-26,-1.4446069010888365,-0.9904964236520917,0.29595387563118475,0.23583876629879363,0.3713922773415,0 Unadjusted,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(28, Inf]",-1.6661140502390324,0.0949226172932236,-17.55233997701804,5.707913366766943e-69,-1.8521589614520295,-1.4800691390260352,0.18898000744366247,0.15689806351937707,0.22762195027981383,0 Unadjusted,all
postest,positive_test_1_date,Positive test,(Intercept),-18.925133592633035,6.158515800836788,-3.073002360416382,0.00211916811496661,-30.995602760493988,-6.854664424772084,6.03835874652447e-9,3.457647835024224e-14,0.0010545254488438399,1 Demographics,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(0,3]",-1.0533904152424811,0.15627786098232843,-6.7404967576411625,1.578460267975104e-11,-1.3596893943488022,-0.74709143613616,0.34875332381401203,0.25674050962338635,0.47374246101536144,1 Demographics,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(3,7]",-0.7563570565003933,0.11817621967345189,-6.400247516720217,1.5512527107496356e-10,-0.9879781908894527,-0.5247359221113339,0.4693732163611838,0.3723287081225645,0.591711601686969,1 Demographics,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(7,14]",-0.5119974958493532,0.08177705125936832,-6.26089456595195,3.8277526766203843e-10,-0.672277571079601,-0.35171742061910544,0.5992972885743523,0.5105444513222018,0.7034788825192975,1 Demographics,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(14,21]",-0.6282352304126857,0.08755085153794667,-7.175660994460953,7.195866200256033e-13,-0.7998317462428743,-0.45663871458249705,0.5335325326629232,0.44940457176407667,0.6334091402148645,1 Demographics,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(21,28]",-1.1676383906145464,0.11593825934643023,-10.071208565634707,7.406233698853362e-24,-1.394873203363814,-0.940403577865279,0.3111007729177103,0.2478644627549139,0.3904702184181021,1 Demographics,all
postest,positive_test_1_date,Positive test,"timesincevax_pw(28, Inf]",-1.6114996122166898,0.09507860396964828,-16.949129929706636,1.9532295607404727e-64,-1.7978502516975474,-1.4251489727358322,0.19958808481211618,0.1656546214573988,0.24047263667324192,1 Demographics,all
postest,positive_test_1_date,Positive test,age,0.1987588447690072,0.14036975761806153,1.415966288905472,0.15678537477485094,-0.07636082468101021,0.4738785142190246,1.2198877481135377,0.9264818487232027,1.6062118432739128,1 Demographics,all
postest,positive_test_1_date,Positive test,I(age * age),-7.63742672251937e-4,7.978974823630596e-4,-0.9571939868641152,0.3384693515586845,-0.0023275930010387166,8.001076565348425e-4,0.9992365489049481,0.997675113743077,1.0008004278280507,1 Demographics,all
postest,positive_test_1_date,Positive test,sexMale,0.08480540247124822,0.042564948564854044,1.9923764818377392,0.04632976577283793,0.0013796362803344536,0.16823116866216198,1.088505225660249,1.0013805884162843,1.183210100131398,1 Demographics,all
postest,positive_test_1_date,Positive test,imd2,-0.08438666649748537,0.06819217272672967,-1.237483176194617,0.21590775639806042,-0.21804086906941,0.049267536074439275,0.919075811555328,0.8040925784796183,1.0505013601583635,1 Demographics,all
