outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
"Positive
SARS-CoV-2
test",Any vaccine,1-3,NA,0.32 (0.28-0.37),0.32 (0.28-0.36),0.34 (0.30-0.38),67.7 (63.3-71.6),68.4 (64.1-72.2),66.2 (61.5-70.3)
"Positive
SARS-CoV-2
test",Any vaccine,4-7,NA,0.49 (0.44-0.54),0.48 (0.43-0.53),0.51 (0.46-0.56),51.2 (45.9-55.9),52.5 (47.4-57.1),49.0 (43.5-54.0)
"Positive
SARS-CoV-2
test",Any vaccine,8-14,NA,0.59 (0.54-0.65),0.57 (0.52-0.62),0.62 (0.56-0.68),40.9 (35.3-46.0),42.9 (37.5-47.8),38.2 (32.4-43.5)
"Positive
SARS-CoV-2
test",Any vaccine,15-21,NA,0.50 (0.44-0.55),0.47 (0.42-0.53),0.52 (0.46-0.58),50.5 (44.7-55.6),52.6 (47.1-57.5),48.2 (42.2-53.6)
"Positive
SARS-CoV-2
test",Any vaccine,22-28,NA,0.40 (0.35-0.46),0.38 (0.34-0.44),0.43 (0.37-0.49),59.6 (53.7-64.7),61.7 (56.2-66.5),57.4 (51.3-62.8)
"Positive
SARS-CoV-2
test",Any vaccine,29-35,NA,0.36 (0.31-0.43),0.34 (0.29-0.40),0.39 (0.33-0.45),63.6 (57.2-69.1),65.7 (59.7-70.8),61.4 (54.7-67.2)
"Positive
SARS-CoV-2
test",Any vaccine,36+,NA,0.38 (0.32-0.44),0.35 (0.30-0.41),0.40 (0.34-0.46),62.4 (56.2-67.8),64.7 (59.0-69.6),60.1 (53.6-65.7)
"Positive
SARS-CoV-2
test",BNT162b2,1-3,NA,0.29 (0.24-0.36),0.29 (0.24-0.35),0.30 (0.25-0.37),70.6 (64.3-75.9),71.3 (65.0-76.5),69.7 (63.0-75.1)
"Positive
SARS-CoV-2
test",BNT162b2,4-7,NA,0.51 (0.44-0.58),0.50 (0.43-0.57),0.53 (0.46-0.61),49.3 (41.7-55.9),50.3 (42.8-56.8),47.0 (39.0-54.0)
"Positive
SARS-CoV-2
test",BNT162b2,8-14,NA,0.52 (0.46-0.59),0.51 (0.45-0.58),0.55 (0.49-0.63),47.7 (40.9-53.7),48.6 (42.0-54.5),44.6 (37.4-50.9)
"Positive
SARS-CoV-2
test",BNT162b2,15-21,NA,0.38 (0.33-0.45),0.38 (0.32-0.44),0.41 (0.35-0.48),61.8 (55.5-67.2),62.5 (56.3-67.8),59.2 (52.5-64.9)
"Positive
SARS-CoV-2
test",BNT162b2,22-28,NA,0.34 (0.28-0.40),0.33 (0.27-0.39),0.37 (0.31-0.44),66.5 (59.9-72.0),67.2 (60.7-72.6),63.2 (56.0-69.3)
"Positive
SARS-CoV-2
test",BNT162b2,29-35,NA,0.32 (0.26-0.40),0.31 (0.26-0.39),0.36 (0.29-0.44),67.8 (60.3-73.9),68.5 (61.2-74.4),64.3 (56.0-71.0)
"Positive
SARS-CoV-2
test",BNT162b2,36+,NA,0.37 (0.31-0.44),0.36 (0.30-0.42),0.40 (0.34-0.48),63.4 (56.1-69.4),64.4 (57.5-70.2),59.9 (52.0-66.5)
"Positive
SARS-CoV-2
test",ChAdOx1,1-3,NA,0.34 (0.29-0.40),0.33 (0.28-0.39),0.36 (0.30-0.42),66.1 (60.0-71.2),66.7 (60.8-71.8),64.4 (58.0-69.9)
"Positive
SARS-CoV-2
test",ChAdOx1,4-7,NA,0.45 (0.39-0.52),0.44 (0.39-0.51),0.48 (0.42-0.55),55.0 (48.5-60.7),55.8 (49.4-61.3),52.3 (45.4-58.4)
"Positive
SARS-CoV-2
test",ChAdOx1,8-14,NA,0.58 (0.52-0.65),0.58 (0.51-0.64),0.63 (0.56-0.70),41.7 (34.7-47.9),42.4 (35.6-48.5),37.1 (29.7-43.8)
"Positive
SARS-CoV-2
test",ChAdOx1,15-21,NA,0.50 (0.44-0.58),0.50 (0.44-0.57),0.56 (0.48-0.64),49.6 (42.1-56.2),50.0 (42.6-56.4),44.4 (36.2-51.6)
"Positive
SARS-CoV-2
test",ChAdOx1,22-28,NA,0.38 (0.32-0.45),0.38 (0.32-0.45),0.43 (0.36-0.51),62.0 (54.9-68.0),62.2 (55.1-68.1),57.4 (49.5-64.1)
"Positive
SARS-CoV-2
test",ChAdOx1,29-35,NA,0.33 (0.27-0.40),0.33 (0.27-0.40),0.37 (0.30-0.46),67.2 (59.7-73.3),67.3 (59.8-73.3),62.8 (54.1-69.7)
"Positive
SARS-CoV-2
test",ChAdOx1,36+,NA,0.36 (0.30-0.43),0.36 (0.31-0.44),0.41 (0.34-0.49),63.8 (56.7-69.7),63.5 (56.5-69.4),58.8 (50.6-65.6)
"COVID-19
hospitalisation",Any vaccine,1-3,NA,0.28 (0.24-0.34),0.26 (0.22-0.32),0.35 (0.28-0.44),71.6 (65.9-76.4),73.7 (68.4-78.1),64.6 (55.6-71.8)
"COVID-19
hospitalisation",Any vaccine,4-7,NA,0.31 (0.26-0.37),0.28 (0.24-0.33),0.37 (0.31-0.45),68.9 (63.5-73.6),71.7 (66.7-75.9),62.7 (55.0-69.1)
"COVID-19
hospitalisation",Any vaccine,8-14,NA,0.41 (0.36-0.47),0.37 (0.32-0.42),0.50 (0.44-0.57),58.6 (52.9-63.7),63.5 (58.4-67.9),50.1 (42.8-56.4)
"COVID-19
hospitalisation",Any vaccine,15-21,NA,0.35 (0.30-0.41),0.30 (0.26-0.35),0.42 (0.36-0.49),64.8 (58.9-69.9),70.0 (65.0-74.4),57.8 (50.6-64.0)
"COVID-19
hospitalisation",Any vaccine,22-28,NA,0.25 (0.20-0.30),0.21 (0.17-0.25),0.31 (0.24-0.39),75.1 (69.7-79.5),79.4 (75.0-83.1),69.0 (60.6-75.6)
"COVID-19
hospitalisation",Any vaccine,29-35,NA,0.23 (0.18-0.29),0.18 (0.15-0.23),0.26 (0.20-0.33),77.3 (71.4-82.0),81.6 (76.8-85.4),74.3 (67.2-79.8)
"COVID-19
hospitalisation",Any vaccine,36+,NA,0.21 (0.17-0.26),0.16 (0.13-0.20),0.22 (0.17-0.28),79.4 (74.4-83.4),83.7 (79.9-86.8),77.9 (72.0-82.5)
"COVID-19
hospitalisation",BNT162b2,1-3,NA,0.23 (0.17-0.31),0.21 (0.15-0.29),0.29 (0.20-0.42),77.1 (69.0-83.1),79.0 (71.4-84.5),71.3 (58.1-80.3)
"COVID-19
hospitalisation",BNT162b2,4-7,NA,0.27 (0.21-0.35),0.25 (0.19-0.32),0.36 (0.25-0.53),72.8 (65.2-78.7),75.1 (68.1-80.6),63.5 (47.2-74.8)
"COVID-19
hospitalisation",BNT162b2,8-14,NA,0.36 (0.30-0.44),0.33 (0.28-0.40),0.44 (0.37-0.53),63.6 (56.4-69.6),66.9 (60.2-72.4),55.5 (46.6-63.0)
"COVID-19
hospitalisation",BNT162b2,15-21,NA,0.23 (0.18-0.29),0.21 (0.16-0.26),0.31 (0.24-0.39),76.8 (70.6-81.6),79.1 (73.6-83.5),69.5 (60.9-76.2)
"COVID-19
hospitalisation",BNT162b2,22-28,NA,0.15 (0.11-0.20),0.13 (0.10-0.18),0.24 (0.15-0.40),84.9 (79.6-88.8),86.7 (82.0-90.2),75.8 (60.0-85.4)
"COVID-19
hospitalisation",BNT162b2,29-35,NA,0.19 (0.14-0.26),0.16 (0.12-0.22),0.24 (0.17-0.33),81.3 (74.4-86.4),83.9 (77.9-88.3),76.0 (66.8-82.7)
