stratum,brand_descr,var_label,label,HR,CI,HR_ECI
all,Any vaccine,Age,Age,0.97,(0.83-1.14),0.97 (0.83-1.14)
all,Any vaccine,Age,Age²,1.00,(1.00-1.00),1.00 (1.00-1.00)
all,Any vaccine,Sex,Female,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Sex,Male,0.99,(0.98-1.01),0.99 (0.98-1.01)
all,Any vaccine,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
all,Any vaccine,IMD,2,1.10,(1.08-1.12),1.10 (1.08-1.12)
all,Any vaccine,IMD,3,1.14,(1.12-1.16),1.14 (1.12-1.16)
all,Any vaccine,IMD,4,1.18,(1.16-1.20),1.18 (1.16-1.20)
all,Any vaccine,IMD,5 least deprived,1.25,(1.23-1.28),1.25 (1.23-1.28)
all,Any vaccine,Ethnicity,White,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Ethnicity,Black,0.40,(0.36-0.45),0.40 (0.36-0.45)
all,Any vaccine,Ethnicity,South Asian,0.61,(0.58-0.64),0.61 (0.58-0.64)
all,Any vaccine,Ethnicity,Mixed,0.67,(0.58-0.78),0.67 (0.58-0.78)
all,Any vaccine,Ethnicity,Other,0.61,(0.55-0.68),0.61 (0.55-0.68)
all,Any vaccine,Body Mass Index,Obese I (30-34.9),1,(NA-NA),1 (NA-NA)
all,Any vaccine,Body Mass Index,Obese III (40+),0.90,(0.85-0.94),0.90 (0.85-0.94)
all,Any vaccine,Body Mass Index,Not obese,0.95,(0.94-0.97),0.95 (0.94-0.97)
all,Any vaccine,Body Mass Index,Obese II (35-39.9),0.96,(0.92-1.01),0.96 (0.92-1.01)
all,Any vaccine,Heart failure,Heart failure,0.96,(0.93-0.99),0.96 (0.93-0.99)
all,Any vaccine,Other heart disease,Other heart disease,1.02,(0.98-1.05),1.02 (0.98-1.05)
all,Any vaccine,Dialysis,Dialysis,1.07,(0.92-1.24),1.07 (0.92-1.24)
all,Any vaccine,Diabetes,Diabetes,0.98,(0.95-1.02),0.98 (0.95-1.02)
all,Any vaccine,Chronic liver disease,Chronic liver disease,0.97,(0.91-1.04),0.97 (0.91-1.04)
all,Any vaccine,COPD,COPD,0.95,(0.91-0.98),0.95 (0.91-0.98)
all,Any vaccine,Other respiratory conditions,Other respiratory conditions,0.97,(0.93-1.01),0.97 (0.93-1.01)
all,Any vaccine,Lung Cancer,Lung Cancer,0.92,(0.84-1.00),0.92 (0.84-1.00)
all,Any vaccine,Haematological cancer,Haematological cancer,1.04,(0.98-1.10),1.04 (0.98-1.10)
all,Any vaccine,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.05,(1.01-1.09),1.05 (1.01-1.09)
all,Any vaccine,Immunosuppressed,Immunosuppressed,1.02,(0.97-1.06),1.02 (0.97-1.06)
all,Any vaccine,Dementia,Dementia,0.86,(0.81-0.91),0.86 (0.81-0.91)
all,Any vaccine,Other neurological conditions,Other neurological conditions,0.93,(0.88-0.98),0.93 (0.88-0.98)
all,Any vaccine,Learning disabilities,Learning disabilities,0.60,(0.53-0.68),0.60 (0.53-0.68)
all,Any vaccine,Serious mental illness,Serious mental illness,0.72,(0.67-0.77),0.72 (0.67-0.77)
all,Any vaccine,Morbidity count,0,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Morbidity count,1,1.01,(0.97-1.05),1.01 (0.97-1.05)
all,Any vaccine,Morbidity count,2,1.01,(0.94-1.09),1.01 (0.94-1.09)
all,Any vaccine,Morbidity count,3,1.03,(0.93-1.15),1.03 (0.93-1.15)
all,Any vaccine,Morbidity count,4+,1.01,(0.87-1.18),1.01 (0.87-1.18)
all,Any vaccine,Shielding criteria met,Shielding criteria met,1.07,(1.04-1.09),1.07 (1.04-1.09)
all,Any vaccine,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.77,(1.74-1.81),1.77 (1.74-1.81)
all,Any vaccine,Frailty,None,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Frailty,Mild,1.07,(1.05-1.09),1.07 (1.05-1.09)
all,Any vaccine,Frailty,Moderate,1.05,(1.02-1.07),1.05 (1.02-1.07)
all,Any vaccine,Frailty,Severe,0.97,(0.94-1.00),0.97 (0.94-1.00)
all,Any vaccine,region,North East and Yorkshire,1,(NA-NA),1 (NA-NA)
all,Any vaccine,region,South East,7.19,(6.09-8.49),7.19 (6.09-8.49)
all,Any vaccine,region,London,0.00,(0.00-0.21),0.00 (0.00-0.21)
all,Any vaccine,region,East of England,2.68,(2.35-3.05),2.68 (2.35-3.05)
all,Any vaccine,region,South West,1.10,(0.45-2.70),1.10 (0.45-2.70)
all,Any vaccine,region,North West,0.45,(0.28-0.70),0.45 (0.28-0.70)
all,Any vaccine,region,Midlands,0.04,(0.02-0.07),0.04 (0.02-0.07)
all,Any vaccine,Time since positive SARS-CoV-2 test,No positive test,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since positive SARS-CoV-2 test,1-21,0.07,(0.06-0.09),0.07 (0.06-0.09)
all,Any vaccine,Time since positive SARS-CoV-2 test,22-28,0.24,(0.20-0.29),0.24 (0.20-0.29)
all,Any vaccine,Time since positive SARS-CoV-2 test,29+,1.30,(1.17-1.44),1.30 (1.17-1.44)
all,Any vaccine,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since suspected COVID,1-21,1.18,(1.04-1.35),1.18 (1.04-1.35)
all,Any vaccine,Time since suspected COVID,22-28,0.94,(0.69-1.28),0.94 (0.69-1.28)
all,Any vaccine,Time since suspected COVID,29+,1.12,(0.86-1.46),1.12 (0.86-1.46)
all,Any vaccine,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since discharge from infectious hosp admission,In hospital,0.93,(0.91-0.94),0.93 (0.91-0.94)
