stratum,var_label,label,Any vaccine_HR_ECI,BNT162b2_HR_ECI,ChAdOx1_HR_ECI
all,Age,Age,0.97 (0.83-1.14),2.00 (1.58-2.51),0.73 (0.60-0.89)
all,Age,Age²,1.00 (1.00-1.00),1.00 (0.99-1.00),1.00 (1.00-1.00)
all,Sex,Female,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Sex,Male,0.99 (0.98-1.01),0.99 (0.97-1.01),1.00 (0.98-1.01)
all,IMD,1 most deprived,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,IMD,2,1.10 (1.08-1.12),1.07 (1.04-1.10),1.11 (1.09-1.14)
all,IMD,3,1.14 (1.12-1.16),1.06 (1.03-1.09),1.18 (1.15-1.21)
all,IMD,4,1.18 (1.16-1.20),1.14 (1.11-1.17),1.19 (1.16-1.22)
all,IMD,5 least deprived,1.25 (1.23-1.28),1.28 (1.25-1.32),1.20 (1.17-1.23)
all,Ethnicity,White,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Ethnicity,Black,0.40 (0.36-0.45),0.47 (0.40-0.56),0.39 (0.34-0.44)
all,Ethnicity,South Asian,0.61 (0.58-0.64),0.67 (0.63-0.72),0.60 (0.57-0.63)
all,Ethnicity,Mixed,0.67 (0.58-0.78),0.67 (0.54-0.82),0.70 (0.59-0.83)
all,Ethnicity,Other,0.61 (0.55-0.68),0.68 (0.60-0.79),0.59 (0.52-0.67)
all,Body Mass Index,Obese I (30-34.9),1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Body Mass Index,Obese III (40+),0.90 (0.85-0.94),0.87 (0.80-0.93),0.92 (0.87-0.98)
all,Body Mass Index,Not obese,0.95 (0.94-0.97),0.94 (0.92-0.96),0.97 (0.95-0.98)
all,Body Mass Index,Obese II (35-39.9),0.96 (0.92-1.01),0.95 (0.89-1.01),0.98 (0.93-1.03)
all,Heart failure,Heart failure,0.96 (0.93-0.99),0.99 (0.95-1.04),0.94 (0.90-0.98)
all,Other heart disease,Other heart disease,1.02 (0.98-1.05),1.04 (0.99-1.10),0.99 (0.95-1.04)
all,Dialysis,Dialysis,1.07 (0.92-1.24),1.13 (0.91-1.40),1.02 (0.85-1.22)
all,Diabetes,Diabetes,0.98 (0.95-1.02),1.00 (0.94-1.06),0.98 (0.93-1.02)
all,Chronic liver disease,Chronic liver disease,0.97 (0.91-1.04),0.98 (0.88-1.08),0.97 (0.89-1.06)
all,COPD,COPD,0.95 (0.91-0.98),0.97 (0.92-1.03),0.93 (0.89-0.98)
all,Other respiratory conditions,Other respiratory conditions,0.97 (0.93-1.01),0.97 (0.92-1.03),0.97 (0.93-1.02)
all,Lung Cancer,Lung Cancer,0.92 (0.84-1.00),0.87 (0.77-0.99),0.96 (0.86-1.06)
all,Haematological cancer,Haematological cancer,1.04 (0.98-1.10),1.05 (0.97-1.14),1.03 (0.96-1.11)
all,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.05 (1.01-1.09),1.05 (1.00-1.11),1.04 (0.99-1.09)
all,Immunosuppressed,Immunosuppressed,1.02 (0.97-1.06),1.03 (0.97-1.10),1.00 (0.95-1.06)
all,Dementia,Dementia,0.86 (0.81-0.91),0.85 (0.78-0.92),0.88 (0.82-0.94)
all,Other neurological conditions,Other neurological conditions,0.93 (0.88-0.98),0.85 (0.79-0.93),0.98 (0.92-1.05)
all,Learning disabilities,Learning disabilities,0.60 (0.53-0.68),0.60 (0.48-0.74),0.61 (0.53-0.72)
all,Serious mental illness,Serious mental illness,0.72 (0.67-0.77),0.66 (0.59-0.74),0.76 (0.70-0.83)
all,Morbidity count,0,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Morbidity count,1,1.01 (0.97-1.05),1.01 (0.96-1.07),1.01 (0.96-1.05)
all,Morbidity count,2,1.01 (0.94-1.09),1.02 (0.91-1.13),1.01 (0.92-1.10)
all,Morbidity count,3,1.03 (0.93-1.15),1.03 (0.88-1.20),1.04 (0.91-1.18)
all,Morbidity count,4+,1.01 (0.87-1.18),0.99 (0.80-1.24),1.02 (0.85-1.23)
all,Shielding criteria met,Shielding criteria met,1.07 (1.04-1.09),1.03 (1.00-1.06),1.09 (1.06-1.12)
all,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.77 (1.74-1.81),1.63 (1.59-1.68),1.79 (1.75-1.83)
all,Frailty,None,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Frailty,Mild,1.07 (1.05-1.09),1.06 (1.03-1.08),1.07 (1.05-1.09)
all,Frailty,Moderate,1.05 (1.02-1.07),1.00 (0.97-1.03),1.08 (1.05-1.10)
all,Frailty,Severe,0.97 (0.94-1.00),0.89 (0.85-0.93),1.03 (0.99-1.07)
all,region,North East and Yorkshire,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,region,South East,7.19 (6.09-8.49),5.95 (5.01-7.08),0.00 (0.00-0.00)
all,region,London,0.00 (0.00-0.21),0.00 (0.00-0.58),21.42 (7.25-63.27)
all,region,East of England,2.68 (2.35-3.05),2.92 (2.58-3.31),0.03 (0.01-0.12)
all,region,South West,1.10 (0.45-2.70),0.91 (0.36-2.33),0.09 (0.00-8.42)
all,region,North West,0.45 (0.28-0.70),0.12 (0.06-0.26),1.31 (0.34-5.01)
all,region,Midlands,0.04 (0.02-0.07),0.03 (0.01-0.05),0.62 (0.17-2.30)
all,Time since positive SARS-CoV-2 test,No positive test,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since positive SARS-CoV-2 test,1-21,0.07 (0.06-0.09),0.05 (0.03-0.08),0.09 (0.07-0.11)
all,Time since positive SARS-CoV-2 test,22-28,0.24 (0.20-0.29),0.25 (0.17-0.35),0.26 (0.21-0.32)
all,Time since positive SARS-CoV-2 test,29+,1.30 (1.17-1.44),1.06 (0.85-1.32),1.36 (1.22-1.52)
all,Time since suspected COVID,Not suspected,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since suspected COVID,1-21,1.18 (1.04-1.35),1.08 (0.88-1.31),1.24 (1.05-1.45)
all,Time since suspected COVID,22-28,0.94 (0.69-1.28),0.80 (0.47-1.35),1.00 (0.70-1.43)
all,Time since suspected COVID,29+,1.12 (0.86-1.46),0.96 (0.57-1.61),1.16 (0.84-1.61)
all,Time since discharge from infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since discharge from infectious hosp admission,In hospital,0.93 (0.91-0.94),0.91 (0.89-0.93),0.95 (0.93-0.97)
all,Time since discharge from infectious hosp admission,1-21,0.57 (0.53-0.62),0.52 (0.45-0.60),0.62 (0.57-0.68)
all,Time since discharge from infectious hosp admission,22-28,0.70 (0.58-0.85),0.66 (0.47-0.93),0.74 (0.61-0.91)
all,Time since discharge from non-infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since discharge from non-infectious hosp admission,In hospital,0.97 (0.95-0.99),0.95 (0.92-0.98),0.98 (0.96-1.01)
all,Time since discharge from non-infectious hosp admission,1-21,0.58 (0.49-0.69),0.38 (0.27-0.55),0.71 (0.59-0.85)
all,Time since discharge from non-infectious hosp admission,22-28,0.65 (0.45-0.94),0.43 (0.19-0.97),0.75 (0.50-1.13)
