term,estimate.robust,std.error.robust,statistic.robust,p.value.robust,conf.low.robust,conf.high.robust,model,strata,or,or.ll,or.ul
(Intercept),-7.653467173123916,0.025859998485839465,-295.957757975695,0,-7.704151838796422,-7.60278250745141,0 Unadjusted,Female,4.743964596404166e-4,4.5095101488943105e-4,4.990608591368666e-4
"timesincevax_pw(0,1]",-1.0884816028905673,0.2898617779920719,-3.7551746574891243,1.732206403278433e-4,-1.6566002482497728,-0.5203629575313616,0 Unadjusted,Female,0.3367273916337315,0.19078650552105467,0.5943048014155462
"timesincevax_pw(1,4]",-0.8419648656109118,0.14971734602585465,-5.6236961712206215,1.8691428001113163e-8,-1.1354054716825077,-0.5485242595393157,0 Unadjusted,Female,0.4308631030739182,0.32129182018455715,0.5778018671121113
"timesincevax_pw(4,7]",-0.7958040017762359,0.14665910087342715,-5.426216286864103,5.756120292446982e-8,-1.0832505574931799,-0.5083574460592919,0 Unadjusted,Female,0.4512183087238041,0.3384934430262557,0.6014827356988945
"timesincevax_pw(7,14]",-0.4717929635001796,0.08462875976662489,-5.57485380621448,2.4773782299838315e-8,-0.6376622846990567,-0.3059236423013025,0 Unadjusted,Female,0.6238826660310602,0.5285265255377576,0.7364428503905185
"timesincevax_pw(14,21]",-0.8190629334523966,0.10008150629947925,-8.183958892479803,2.746678072449223e-16,-1.0152190813178943,-0.6229067855868987,0 Unadjusted,Female,0.4408445617064906,0.362323042926966,0.5363830189110055
"timesincevax_pw(21, Inf]",-1.6092958296279927,0.0761781259030703,-21.12543214407341,4.643578403309527e-99,-1.7586022128077683,-1.459989446448217,0 Unadjusted,Female,0.20002841858006953,0.17228551407993303,0.23223872566024306
(Intercept),-21.074107332495668,6.100413359955547,-3.454537600817469,5.51237344302883e-4,-33.03069780881552,-9.117516856175818,"1 Age, sex, IMD",Female,7.040953472576497e-10,4.518041421436868e-15,1.0972680677022377e-4
age,0.24629816030162374,0.13845576253735245,1.7788942532108598,0.07525710046509201,-0.02507014772361707,0.5176664683268646,"1 Age, sex, IMD",Female,1.2792809474767903,0.9752414986577319,1.6781071609745732
I(age * age),-0.0010059664283468043,7.849596003776025e-4,-1.281551850391902,0.19999990001956572,-0.0025444589744058584,5.325261177122496e-4,"1 Age, sex, IMD",Female,0.9989945393862556,0.9974587754174896,1.000532667934918
imd2,-0.12731691618057545,0.06931295012089446,-1.8368416862723556,0.06623326994679311,-0.26316780207974977,0.00853396971859885,"1 Age, sex, IMD",Female,0.8804545980694857,0.768612911644335,1.0085704878457895
imd3,-0.36086322401420445,0.0694723001505616,-5.194346858131014,2.0543980201928076e-7,-0.49702643023246174,-0.22470001779594717,"1 Age, sex, IMD",Female,0.6970743349761908,0.6083369051128782,0.7987557953472122
imd4,-0.412472930745856,0.07106722404090755,-5.8039825856773195,6.475800553157262e-9,-0.5517621303472738,-0.27318373114443817,"1 Age, sex, IMD",Female,0.662011116595455,0.5759340448292511,0.7609529640254082
imd5 least deprived,-0.36504220743823307,0.07107639338195539,-5.135913487851631,2.8077680761552366e-7,-0.5043493786178667,-0.2257350362585995,"1 Age, sex, IMD",Female,0.6941673512340512,0.6038983568207811,0.7979294960431603
ethnicityMixed,0.12170699635548687,0.3756238414700208,0.3240129696751438,0.7459282151011564,-0.6145022046603366,0.8579161973713103,"1 Age, sex, IMD",Female,1.1294231282016935,0.5409100908240104,2.358241460375945
ethnicitySouth Asian,0.22013492265624818,0.2003292229166526,1.098865754337977,0.27182662598515844,-0.17250313931128686,0.6127729846237833,"1 Age, sex, IMD",Female,1.246244865912138,0.8415556469024855,1.845541969243455
ethnicityWhite,-0.039523282845524615,0.1738427567765453,-0.22735075983825553,0.8201510056804907,-0.3802488251007097,0.3012022594096605,"1 Age, sex, IMD",Female,0.9612475731512978,0.6836912684968554,1.3514826639818491
ethnicityOther,0.030011438895095152,0.297503982506422,0.10087743579851847,0.91964775534461,-0.5530856520747262,0.6131085298649165,"1 Age, sex, IMD",Female,1.030466321282248,0.575172287819515,1.8461613359755147
"timesincevax_pw(0,1]",-1.054315065663487,0.2898424203146242,-3.6375457551003993,2.752483068309004e-4,-1.6223957706720709,-0.4862343606549031,"1 Age, sex, IMD",Female,0.3484309979486589,0.19742514667230326,0.6149376732286866
"timesincevax_pw(1,4]",-0.8076192545584815,0.1497696144358522,-5.392410587425213,6.951869404535265e-8,-1.101162304831202,-0.5140762042857611,"1 Age, sex, IMD",Female,0.44591842175368557,0.3324844107887565,0.5980528181383894
"timesincevax_pw(4,7]",-0.7607878044046913,0.14675540297031958,-5.184053118361551,2.1711505341963447e-7,-1.0484231087631801,-0.4731525000462025,"1 Age, sex, IMD",Female,0.46729814242594087,0.35048999818508925,0.6230350510584836
"timesincevax_pw(7,14]",-0.43572732007930415,0.0847296701050563,-5.142558911642709,2.710214164541916e-7,-0.6017944219071746,-0.2696602182514337,"1 Age, sex, IMD",Female,0.6467940696472703,0.5478277195160517,0.763638920827956
"timesincevax_pw(14,21]",-0.779946381020086,0.10025265683349747,-7.779807594679945,7.26349329709942e-15,-0.9764379777681943,-0.5834547842719776,"1 Age, sex, IMD",Female,0.4584305912269055,0.37665034913295614,0.5579673759932317
"timesincevax_pw(21, Inf]",-1.5550305281540313,0.07635532008870569,-20.365712910999218,3.36913694409078e-92,-1.7046842055559221,-1.4053768507521405,"1 Age, sex, IMD",Female,0.21118293551737802,0.18182979794969104,0.2452746071140471
(Intercept),-17.36573646590139,6.229836583889018,-2.7875107528198932,0.005311469154068707,-29.575991799893906,-5.155481131908873,2 Fully adjusted,Female,2.8718151263067907e-8,1.4299141521793002e-13,0.00576770438079441
age,0.12267057622562325,0.14138505217892958,0.867634692176495,0.38559434827558076,-0.15443903399739498,0.39978018644864144,2 Fully adjusted,Female,1.1305119420882213,0.856895732057084,1.4914968103948276
I(age * age),-3.6200992225593167e-4,8.018191237575148e-4,-0.4514857672132678,0.6516394807485011,-0.001933546526936125,0.0012095266824242615,2 Fully adjusted,Female,0.9996380555954297,0.9980683215699384,1.001210258454825
imd2,-0.15523849064207118,0.07118234470240033,-2.1808566617339373,0.029194020063471042,-0.2947533225938913,-0.015723658690251052,2 Fully adjusted,Female,0.8562109548316197,0.7447152692408119,0.9843993126675354
imd3,-0.3867654074101344,0.07186934462515837,-5.381507364890377,7.386468097999365e-8,-0.5276267344679421,-0.2459040803523267,2 Fully adjusted,Female,0.6792504233532537,0.5900035445031606,0.7819972302269836
imd4,-0.3884076129607724,0.07314612478140714,-5.310023109515447,1.0961133546971553e-7,-0.5317713831410031,-0.24504384278054173,2 Fully adjusted,Female,0.6781358699511224,0.5875632476751461,0.7826702230508112
imd5 least deprived,-0.3234889191614194,0.07374674916966939,-4.386483781368686,1.151977503023961e-5,-0.46802989151088054,-0.1789479468119583,2 Fully adjusted,Female,0.7236199761941075,0.6262348042733163,0.8361494225073881
ethnicityMixed,0.17259929847464292,0.3754494159896544,0.4597138552464786,0.6457216231635596,-0.5632680348816762,0.9084666318309621,2 Fully adjusted,Female,1.1883898200527216,0.5693453796545916,2.4805160713901486
ethnicitySouth Asian,0.31951393548727963,0.2012464899690207,1.5876745752756467,0.11235994509791461,-0.07492193686710208,0.7139498078416613,2 Fully adjusted,Female,1.376458554053092,0.927815911718461,2.0420410203105495
ethnicityWhite,0.1622245200940829,0.17591610624695825,0.9221697976099212,0.3564400143107779,-0.18256471245047678,0.5070137526386426,2 Fully adjusted,Female,1.1761242752123573,0.8331307282528488,1.6603256413847953
ethnicityOther,0.12435023918345556,0.2968717860211917,0.41886849824987754,0.6753122406684804,-0.4575077694441615,0.7062082478110726,2 Fully adjusted,Female,1.1324124167523695,0.632858912046001,2.0262934711137173
chronic_cardiac_diseaseTRUE,0.23896616237166843,0.047529347398518745,5.027760225025009,4.962418214722265e-7,0.1458103532618792,0.33212197148145767,2 Fully adjusted,Female,1.2699355642491716,1.1569767503768438,1.393922856980117
current_copdTRUE,0.35501061934839717,0.06713442439805604,5.288056351588782,1.2362289777393516e-7,0.22342956540538025,0.48659167329141406,2 Fully adjusted,Female,1.4261957994711412,1.2503575687463755,1.6267622232802381
dementiaTRUE,0.9343822119071982,0.054159171593009633,17.25252038433689,1.0712271298676054e-66,0.8282321861523745,1.0405322376620219,2 Fully adjusted,Female,2.5456403055823613,2.289268161028051,2.830723230997687
dialysisTRUE,0.4519276203127744,0.4329085458480985,1.0439332386645688,0.296516278615383,-0.39655753814910527,1.300412778774654,2 Fully adjusted,Female,1.5713382114932979,0.6726315736120188,3.6708115880435344
solid_organ_transplantationTRUE,0.8354430022166589,0.5643986900279734,1.480235544443329,0.13881039773385248,-0.27075810315975446,1.9416441075930724,2 Fully adjusted,Female,2.30583531221378,0.762800993239566,6.9702013161671355
chemo_or_radioTRUE,-0.019658602011983745,0.13393052554392426,-0.14678208669864773,0.8833040242700833,-0.28215760850859695,0.24284040448462949,2 Fully adjusted,Female,0.9805333682905246,0.7541548139503494,1.2748651451218602
permanant_immunosuppressionTRUE,0.0739902040198643,0.7103322132642204,0.10416281655009549,0.9170401415048101,-1.318235351036632,1.4662157590763607,2 Fully adjusted,Female,1.0767962571698089,0.26760711817209726,4.3328076897761925
aspleniaTRUE,0.2959105303325425,0.4095583857412231,0.7225112233924853,0.46998022756300406,-0.5068091552866174,1.0986302159517025,2 Fully adjusted,Female,1.3443498729151757,0.6024147271792236,3.000053782332863
dmardsTRUE,0.09137297340268785,0.1247083439065497,0.7326933430465428,0.46374548505692254,-0.1530508892257846,0.3357968360311603,2 Fully adjusted,Female,1.0956775876566625,0.8580860533653641,1.3990547584182196
intel_dis_incl_downs_syndromeTRUE,0.617432601838618,0.41323084252701203,1.4941590469454316,0.1351340537452846,-0.1924849668154679,1.427350170492704,2 Fully adjusted,Female,1.854161554762856,0.8249067190853205,4.1676410091224225
psychosis_schiz_bipolarTRUE,0.6118505423340671,0.1562267575248386,3.916426046522719,8.98713673667791e-5,0.3056517241639116,0.9180493605042226,2 Fully adjusted,Female,1.8438403482278307,1.3575094364740763,2.504400439810756
