stratum,var_label,label,Any vaccine_HR_ECI,BNT162b2_HR_ECI,ChAdOx1_HR_ECI
all,Age,Age,0.99 (0.74-1.31),1.30 (0.87-1.95),0.99 (0.70-1.40)
all,Age,Age²,1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00)
all,Sex,Female,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Sex,Male,0.99 (0.97-1.01),1.01 (0.98-1.04),0.98 (0.95-1.01)
all,IMD,1 most deprived,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,IMD,2,1.17 (1.13-1.21),1.12 (1.06-1.18),1.18 (1.13-1.23)
all,IMD,3,1.19 (1.14-1.23),1.07 (1.01-1.13),1.25 (1.19-1.30)
all,IMD,4,1.18 (1.14-1.22),1.10 (1.05-1.16),1.21 (1.16-1.26)
all,IMD,5 least deprived,1.34 (1.30-1.39),1.40 (1.33-1.47),1.26 (1.21-1.32)
all,Ethnicity,White,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Ethnicity,Black,0.44 (0.37-0.54),0.51 (0.39-0.66),0.43 (0.35-0.54)
all,Ethnicity,South Asian,0.60 (0.56-0.64),0.61 (0.56-0.67),0.62 (0.58-0.67)
all,Ethnicity,Mixed,0.63 (0.49-0.82),0.59 (0.40-0.86),0.68 (0.51-0.91)
all,Ethnicity,Other,0.76 (0.64-0.90),0.67 (0.52-0.86),0.83 (0.68-1.02)
all,Body Mass Index,Obese I (30-34.9),1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Body Mass Index,Obese III (40+),0.95 (0.87-1.04),0.96 (0.84-1.10),0.95 (0.85-1.05)
all,Body Mass Index,Not obese,0.97 (0.94-1.00),0.96 (0.92-1.00),0.98 (0.95-1.01)
all,Body Mass Index,Obese II (35-39.9),0.97 (0.90-1.05),0.93 (0.82-1.04),1.01 (0.92-1.11)
all,Heart failure,Heart failure,0.93 (0.87-0.98),0.98 (0.90-1.06),0.90 (0.84-0.97)
all,Other heart disease,Other heart disease,1.02 (0.96-1.09),1.06 (0.97-1.16),1.00 (0.93-1.08)
all,Dialysis,Dialysis,1.21 (0.87-1.66),1.10 (0.72-1.68),1.25 (0.86-1.82)
all,Diabetes,Diabetes,1.01 (0.95-1.08),1.03 (0.94-1.14),1.00 (0.92-1.08)
all,Chronic liver disease,Chronic liver disease,1.01 (0.90-1.13),1.03 (0.86-1.23),0.99 (0.86-1.15)
all,COPD,COPD,0.95 (0.89-1.02),0.98 (0.89-1.08),0.94 (0.87-1.02)
all,Other respiratory conditions,Other respiratory conditions,0.95 (0.89-1.02),0.98 (0.89-1.08),0.94 (0.87-1.02)
all,Lung Cancer,Lung Cancer,0.94 (0.81-1.09),0.85 (0.68-1.07),1.01 (0.85-1.20)
all,Haematological cancer,Haematological cancer,1.03 (0.93-1.14),1.04 (0.90-1.20),1.02 (0.90-1.15)
all,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.04 (0.97-1.11),1.07 (0.97-1.18),1.01 (0.93-1.10)
all,Immunosuppressed,Immunosuppressed,1.00 (0.93-1.08),0.99 (0.89-1.11),1.00 (0.92-1.10)
all,Dementia,Dementia,0.91 (0.82-1.00),0.91 (0.79-1.06),0.91 (0.81-1.02)
all,Other neurological conditions,Other neurological conditions,0.92 (0.83-1.01),0.89 (0.77-1.03),0.94 (0.84-1.05)
all,Learning disabilities,Learning disabilities,0.68 (0.52-0.89),0.71 (0.47-1.10),0.68 (0.50-0.93)
all,Serious mental illness,Serious mental illness,0.76 (0.67-0.85),0.72 (0.60-0.87),0.79 (0.68-0.91)
all,Morbidity count,0,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Morbidity count,1,1.02 (0.95-1.08),0.99 (0.90-1.10),1.03 (0.95-1.11)
all,Morbidity count,2,1.00 (0.88-1.14),1.01 (0.84-1.22),0.99 (0.85-1.16)
all,Morbidity count,3,1.07 (0.89-1.29),1.02 (0.77-1.36),1.09 (0.87-1.37)
all,Morbidity count,4+,0.97 (0.74-1.27),0.88 (0.59-1.32),1.03 (0.74-1.43)
all,Shielding criteria met,Shielding criteria met,1.09 (1.04-1.13),1.06 (1.00-1.12),1.10 (1.05-1.15)
all,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.72 (1.67-1.78),1.60 (1.53-1.67),1.73 (1.66-1.79)
all,Frailty,None,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Frailty,Mild,1.07 (1.04-1.10),1.07 (1.03-1.11),1.06 (1.03-1.10)
all,Frailty,Moderate,1.05 (1.01-1.09),1.02 (0.97-1.08),1.06 (1.02-1.11)
all,Frailty,Severe,1.01 (0.95-1.07),1.03 (0.94-1.12),1.00 (0.93-1.07)
all,region,Yorkshire and The Humber,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,region,South East,13.69 (11.01-17.01),11.26 (9.02-14.07),0.00 (0.00-0.00)
all,region,London,0.00 (0.00-1.06),0.00 (0.00-33.71),28.05 (5.29-148.62)
all,region,East,7.03 (5.77-8.57),7.47 (6.22-8.97),0.04 (0.00-0.36)
all,region,South West,1.75 (0.51-5.99),1.52 (0.44-5.19),0.03 (0.00-5 113.53)
