outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
"Positive
SARS-CoV-2
test",Any vaccine,1-3,NA,0.82 (0.79-0.85),0.80 (0.77-0.83),0.81 (0.78-0.84), 18.5 (15.4-21.4), 20.0 (16.9-22.9), 19.3 (16.2-22.2)
"Positive
SARS-CoV-2
test",Any vaccine,4-7,NA,0.87 (0.85-0.90),0.85 (0.83-0.88),0.86 (0.83-0.89), 12.5 (9.5-15.5), 14.5 (11.6-17.4), 13.7 (10.6-16.6)
"Positive
SARS-CoV-2
test",Any vaccine,8-14,NA,0.93 (0.90-0.96),0.90 (0.87-0.93),0.91 (0.88-0.94),  7.5 (4.5-10.4), 10.2 (7.3-13.1),  9.3 (6.3-12.2)
"Positive
SARS-CoV-2
test",Any vaccine,15-21,NA,0.90 (0.87-0.93),0.87 (0.83-0.90),0.87 (0.84-0.91), 10.1 (6.7-13.3), 13.5 (10.2-16.6), 12.7 (9.4-15.9)
"Positive
SARS-CoV-2
test",Any vaccine,22-28,NA,0.87 (0.83-0.90),0.83 (0.79-0.86),0.83 (0.80-0.87), 13.2 (9.5-16.8), 17.2 (13.6-20.6), 16.6 (13.0-20.1)
"Positive
SARS-CoV-2
test",Any vaccine,29-35,NA,0.95 (0.91-0.99),0.90 (0.86-0.94),0.91 (0.86-0.95),  5.1 (0.7-9.3), 10.0 (5.7-14.0),  9.4 (5.1-13.5)
"Positive
SARS-CoV-2
test",Any vaccine,36+,NA,1.08 (1.03-1.13),1.01 (0.96-1.06),1.02 (0.97-1.07), -7.9 (-13.3--2.7), -1.3 (-6.5-3.7), -1.6 (-6.8-3.5)
"Positive
SARS-CoV-2
test",BNT162b2,1-3,NA,0.64 (0.60-0.68),0.64 (0.60-0.68),0.65 (0.61-0.69), 35.8 (31.8-39.6), 36.0 (32.0-39.8), 35.4 (31.4-39.3)
"Positive
SARS-CoV-2
test",BNT162b2,4-7,NA,0.82 (0.78-0.86),0.81 (0.77-0.85),0.82 (0.78-0.86), 18.3 (14.1-22.3), 18.8 (14.7-22.8), 18.1 (13.9-22.1)
"Positive
SARS-CoV-2
test",BNT162b2,8-14,NA,0.94 (0.90-0.98),0.93 (0.89-0.97),0.94 (0.90-0.98),  5.8 (1.8-9.7),  7.0 (3.0-10.8),  6.1 (2.1-10.0)
