outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.82,(0.79-0.85), 18.5,(15.4-21.4),0.82 (0.79-0.85), 18.5 (15.4-21.4)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.87,(0.85-0.90), 12.5,(9.5-15.5),0.87 (0.85-0.90), 12.5 (9.5-15.5)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.93,(0.90-0.96),  7.5,(4.5-10.4),0.93 (0.90-0.96),  7.5 (4.5-10.4)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.90,(0.87-0.93), 10.1,(6.7-13.3),0.90 (0.87-0.93), 10.1 (6.7-13.3)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.87,(0.83-0.90), 13.2,(9.5-16.8),0.87 (0.83-0.90), 13.2 (9.5-16.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.95,(0.91-0.99),  5.1,(0.7-9.3),0.95 (0.91-0.99),  5.1 (0.7-9.3)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",36+,1.08,(1.03-1.13), -7.9,(-13.3--2.7),1.08 (1.03-1.13), -7.9 (-13.3--2.7)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.80,(0.77-0.83), 20.0,(16.9-22.9),0.80 (0.77-0.83), 20.0 (16.9-22.9)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.85,(0.83-0.88), 14.5,(11.6-17.4),0.85 (0.83-0.88), 14.5 (11.6-17.4)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.90,(0.87-0.93), 10.2,(7.3-13.1),0.90 (0.87-0.93), 10.2 (7.3-13.1)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.87,(0.83-0.90), 13.5,(10.2-16.6),0.87 (0.83-0.90), 13.5 (10.2-16.6)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.83,(0.79-0.86), 17.2,(13.6-20.6),0.83 (0.79-0.86), 17.2 (13.6-20.6)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.90,(0.86-0.94), 10.0,(5.7-14.0),0.90 (0.86-0.94), 10.0 (5.7-14.0)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,1.01,(0.96-1.06), -1.3,(-6.5-3.7),1.01 (0.96-1.06), -1.3 (-6.5-3.7)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.81,(0.78-0.84), 19.3,(16.2-22.2),0.81 (0.78-0.84), 19.3 (16.2-22.2)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.86,(0.83-0.89), 13.7,(10.6-16.6),0.86 (0.83-0.89), 13.7 (10.6-16.6)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.91,(0.88-0.94),  9.3,(6.3-12.2),0.91 (0.88-0.94),  9.3 (6.3-12.2)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.87,(0.84-0.91), 12.7,(9.4-15.9),0.87 (0.84-0.91), 12.7 (9.4-15.9)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.83,(0.80-0.87), 16.6,(13.0-20.1),0.83 (0.80-0.87), 16.6 (13.0-20.1)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.91,(0.86-0.95),  9.4,(5.1-13.5),0.91 (0.86-0.95),  9.4 (5.1-13.5)
"Positive
SARS-CoV-2
test",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,1.02,(0.97-1.07), -1.6,(-6.8-3.5),1.02 (0.97-1.07), -1.6 (-6.8-3.5)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.64,(0.60-0.68), 35.8,(31.8-39.6),0.64 (0.60-0.68), 35.8 (31.8-39.6)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.82,(0.78-0.86), 18.3,(14.1-22.3),0.82 (0.78-0.86), 18.3 (14.1-22.3)
"Positive
SARS-CoV-2
test",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.94,(0.90-0.98),  5.8,(1.8-9.7),0.94 (0.90-0.98),  5.8 (1.8-9.7)
