variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,n_obs,n_event,estimate,std.error,statistic,or,or.ll,or.ul,conf.low,conf.high,ci,p.value
"age, degree = 2",Age,continuous,NA,label,Age,7333934,NA,nmatrix.2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age, degree = 2",Age,continuous,NA,level,Age,7333934,"poly(age, degree = 2, raw = TRUE)1",nmatrix.2,NA,FALSE,NA,NA,7333934,187231,0.293068609206528,0.02038980565812488,14.373290953351814,1.340534760302883,1.2880189295951812,1.3951917959351017,0.25310532446483225,0.33303189394822375,"0.25, 0.33",7.612614442728934e-47
"age, degree = 2",Age,continuous,NA,level,Age²,7333934,"poly(age, degree = 2, raw = TRUE)2",nmatrix.2,NA,FALSE,NA,NA,7333934,187231,-0.001819222876178623,1.1758159699509049e-4,-15.472003465428209,0.9981824309067394,0.9979524205851459,0.9984124942416299,-0.0020496785715337033,-0.0015887671808235428,"0.00, 0.00",5.361218251001436e-54
sex,Sex,dichotomous,NA,label,Sex,7333934,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,TRUE,level,Female,7333934,sexFemale,factor,2,FALSE,contr.treatment,treatment,4418819,110152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,FALSE,level,Male,7333934,sexMale,factor,2,FALSE,contr.treatment,treatment,2915115,77079,0.08600336715478474,0.00506358805294137,16.98466902433474,1.0898099978578994,1.0790477259402775,1.1006796111785422,0.07607891693847235,0.09592781737109712,"0.08, 0.10",1.0665355942352514e-64
imd,Deprivation,categorical,NA,label,Deprivation,7333934,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,TRUE,level,1 most deprived,7333934,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,1399825,32240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,FALSE,level,2,7333934,imd2,factor,5,FALSE,contr.treatment,treatment,1344482,33330,0.11182863376858533,0.008314897080018762,13.44919037390334,1.1183212017337294,1.100243737667164,1.1366956860839736,0.0955317349565913,0.12812553258057935,"0.10, 0.13",3.1126162005396175e-41
imd,Deprivation,categorical,FALSE,level,3,7333934,imd3,factor,5,FALSE,contr.treatment,treatment,1563408,39834,0.1544866740987647,0.007988889687453503,19.33769023515057,1.1670587258445546,1.1489273156034085,1.185476270841893,0.1388287380348924,0.17014461016263702,"0.14, 0.17",2.5881076269648977e-83
