term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,strata,robust.se
"tt(tte_vax1)(0,3]",-1.8310042385786442,0.23353435853439578,-7.840406225745868,4.490912037021806e-15,-2.288723170458724,-1.3732853066985644,0 Unadjusted,all,NA
"tt(tte_vax1)(3,7]",-1.4817352661331062,0.16471469117798898,-8.995768717023296,2.345847453663299e-19,-1.8045701285666018,-1.1589004036996107,0 Unadjusted,all,NA
"tt(tte_vax1)(7,14]",-1.4496284191560314,0.12100384820392238,-11.980019153713503,4.522191981422742e-33,-1.686791603626471,-1.2124652346855918,0 Unadjusted,all,NA
"tt(tte_vax1)(14,21]",-1.7710835813845778,0.1323572363547194,-13.381086143549014,7.799916505120434e-41,-2.0304989977330834,-1.5116681650360722,0 Unadjusted,all,NA
"tt(tte_vax1)(21, Inf]",-1.9869197305115385,0.09254873431503076,-21.46890225152268,3.041171337259022e-102,-2.168311916583765,-1.805527544439312,0 Unadjusted,all,NA
"tt(tte_vax1)(0,3]",-1.785073695077328,0.23344735082896184,-7.622466038289266,2.488746129513512e-14,-2.244069528515848,-1.326077861638808,1 Demographics,all,0.2341858508926801
"tt(tte_vax1)(3,7]",-1.4213125173368297,0.164578238176005,-8.628128929301278,6.2363757385857105e-18,-1.7441775750547073,-1.0984474596189522,1 Demographics,all,0.1647300972184163
"tt(tte_vax1)(7,14]",-1.3673283602539152,0.12086245041778734,-11.115465611822913,1.0549884904417732e-28,-1.6084261635062957,-1.1262305570015347,1 Demographics,all,0.12301134365433715
"tt(tte_vax1)(14,21]",-1.6661013511803033,0.1323888832599393,-12.277188546402883,1.2009966417878128e-34,-1.932082331317949,-1.4001203710426577,1 Demographics,all,0.1357070753522359
"tt(tte_vax1)(21, Inf]",-1.8558827722406406,0.0934312524537351,-18.706846831093134,4.353846346383581e-78,-2.0503283367958645,-1.6614372076854167,1 Demographics,all,0.0992087436753868
age,0.2658728940210703,0.1610265922314375,1.568551322380071,0.11675252240736786,-0.0663453058629026,0.5980910939050432,1 Demographics,all,0.1695021962160875
I(age * age),-9.017531604839362e-4,9.099277282980801e-4,-0.9402683471304217,0.34707993136608395,-0.0027814332782796387,9.779269573117666e-4,1 Demographics,all,9.590380908130865e-4
sexMale,0.34488074378859496,0.05162472783776604,6.735099203579783,1.6381812639444623e-11,0.2445178810667282,0.4452436065104617,1 Demographics,all,0.051206483136178135
imd2,-0.12140042630962995,0.09043427529653952,-1.3286954749730608,0.18394845842521845,-0.30047867844223974,0.057677825822979825,1 Demographics,all,0.09136813408060364
imd3,-0.11013169825271596,0.08677029832117505,-1.2573966101868563,0.20861005610068514,-0.28179922175548644,0.06153582525005449,1 Demographics,all,0.08758708060804281
imd4,-0.09061925187469118,0.08654092003924901,-1.0368109064783568,0.29982399164440926,-0.26192384451601675,0.0806853407666344,1 Demographics,all,0.08740190839860039
imd5 least deprived,-0.2109603043072223,0.0890176782623675,-2.3532565451795984,0.018609789700436676,-0.3866634589236305,-0.03525714969081406,1 Demographics,all,0.08964611390940463
ethnicityBlack,0.21297015149901388,0.20611810557671395,1.040026243845114,0.29832770809512865,-0.18837916943434274,0.6143194724323705,1 Demographics,all,0.20477382446777032
ethnicitySouth Asian,-0.2832999317910531,0.16942877210145885,-1.668259741022308,0.09526417611908851,-0.6161363897354597,0.04953652615335341,1 Demographics,all,0.1698176397983729
ethnicityMixed,-1.0681626073365968,0.7085086401942731,-1.5037460077618954,0.13264677805913272,-2.460392564527363,0.3240673498541693,1 Demographics,all,0.7103344592923639
ethnicityOther,-0.21155624638916226,0.3371996967888323,-0.620474748599729,0.5349452736963236,-0.8798229640323771,0.4567104712540526,1 Demographics,all,0.3409586721564364
"tt(tte_vax1)(0,3]",-1.7832867974810258,0.23347305919719175,-7.609954718153033,2.7419197020738135e-14,-2.2425770333126627,-1.3239965616493892,2 Demographics + cinical,all,0.23433605895539897
"tt(tte_vax1)(3,7]",-1.4114720417127036,0.1646573882894078,-8.571835587104696,1.0184842772320994e-17,-1.7342073927154558,-1.0887366907099514,2 Demographics + cinical,all,0.16466391910690575
"tt(tte_vax1)(7,14]",-1.3497259536279962,0.12109391013660868,-10.956186422753401,6.205975331742424e-28,-1.5911798825804968,-1.1082720246754956,2 Demographics + cinical,all,0.12319304377889513
"tt(tte_vax1)(14,21]",-1.6456135474054514,0.13282373919535817,-12.100867371971983,1.0450112971439302e-33,-1.9121517372922705,-1.3790753575186323,2 Demographics + cinical,all,0.1359913712645938
"tt(tte_vax1)(21, Inf]",-1.829135301898415,0.09490365006853657,-17.92287661929861,7.817893084983554e-72,-2.0291611900815356,-1.6291094137152942,2 Demographics + cinical,all,0.10205589988433429
age,0.08383160676146051,0.1608512734174133,0.4968754261700105,0.6192769015762302,-0.24684872348769116,0.4145119370106122,2 Demographics + cinical,all,0.16871755443340591
I(age * age),8.998050865681966e-5,9.088169066246353e-4,0.09426785822107348,0.924896381611556,-0.0017808433289270523,0.0019608043462406915,2 Demographics + cinical,all,9.545194974707149e-4
sexMale,0.232702328269686,0.05282172193938151,4.468205480472799,7.887851877044894e-6,0.13062819928872857,0.3347764572506434,2 Demographics + cinical,all,0.05207959420994731
imd2,-0.10856741739443439,0.09050129144181758,-1.187064854956908,0.2352020397859191,-0.2878231902353743,0.0706883554465055,2 Demographics + cinical,all,0.09145870753487645
imd3,-0.08316138660467896,0.08690921545871515,-0.9491540600803772,0.34254226272545224,-0.25488621980591886,0.08856344659656094,2 Demographics + cinical,all,0.08761632078741423
imd4,-0.06777963709093066,0.08672633776678697,-0.774647977557346,0.43854769898358503,-0.23927127126819137,0.10371199708633005,2 Demographics + cinical,all,0.08749733950723834
imd5 least deprived,-0.16344716476022325,0.08948121307547023,-1.8165073075654588,0.06929258799780208,-0.3398023905118696,0.01290806099142311,2 Demographics + cinical,all,0.08997880937747527
ethnicityBlack,0.25853136530265436,0.2071459713730015,1.2617923004838643,0.20702353345391256,-0.14304991290997998,0.6601126435152886,2 Demographics + cinical,all,0.20489217219308944
ethnicitySouth Asian,-0.22124584217788792,0.1705210650145559,-1.2988711517104614,0.19398815139905956,-0.55510026786657,0.11260858351079409,2 Demographics + cinical,all,0.1703370206402175
ethnicityMixed,-1.0080701909438803,0.7086441789949325,-1.4197603334326085,0.15567746663745777,-2.3997003285189304,0.3835599466311699,2 Demographics + cinical,all,0.7100284232526983
ethnicityOther,-0.044403194230462927,0.33778844925615736,-0.12975044483981252,0.8967638706576965,-0.7151420236632868,0.626335635202361,2 Demographics + cinical,all,0.342219976858517
bmiObese I (30-34.9),-0.32924981263942726,0.0919221615187991,-3.581519018554047,3.4160226523850595e-4,-0.5094297227129942,-0.1490699025658603,2 Demographics + cinical,all,0.0919302147870079
bmiObese II (35-39.9),0.1162965936396426,0.1370957718135337,0.8506068083977185,0.3949878061292503,-0.15167343999758254,0.3842666272768678,2 Demographics + cinical,all,0.1367219172142645
bmiObese III (40+),0.13571918281112286,0.2393622651012476,0.5705677127211841,0.5682927100336982,-0.33049140778182085,0.6019297734040666,2 Demographics + cinical,all,0.23786691708131044
chronic_cardiac_disease,0.11067870650086885,0.12565017772619572,0.8856571155340014,0.3758023238650179,-0.13425386931475897,0.35561128231649664,2 Demographics + cinical,all,0.12496789622035138
heart_failure,0.545361208396389,0.09054518813601711,6.029469590857641,1.6449866406888494e-9,0.3680838690027385,0.7226385477900396,2 Demographics + cinical,all,0.09044928416643959
other_heart_disease,0.06051026627953515,0.10796722719302643,0.562860788248886,0.57352968300063,-0.1501953736919167,0.271215906250987,2 Demographics + cinical,all,0.10750485296335602
dialysis,1.2894908265818776,0.3040229163812567,4.218322532544616,2.461265800692979e-5,0.6903532407295485,1.8886284124342068,2 Demographics + cinical,all,0.30568805885120853
diabetes,0.056246945306080036,0.058369247929762696,0.9822217634079674,0.3259906080432334,-0.05599042424456991,0.16848431485673,2 Demographics + cinical,all,0.05726501631456701
chronic_liver_disease,0.7510844716813735,0.23163643049036184,3.226200907359948,0.0012544526686688992,0.2947897286960621,1.2073792146666849,2 Demographics + cinical,all,0.23280771819508225
current_copd,0.2696734950770488,0.07772383556375262,3.4992836063057657,4.6651009560799673e-4,0.11862819626685839,0.4207187938872392,2 Demographics + cinical,all,0.07706534405816459
other_resp_conditions,0.2704680971451662,0.09553231478669194,2.849734141747965,0.004375578658059485,0.08444803246416768,0.4564881618261647,2 Demographics + cinical,all,0.09490994025823998
lung_cancer,1.450652141166242,0.14416120871787455,10.022745857288497,1.2109112001903994e-23,1.1669747945323188,1.7343294878001654,2 Demographics + cinical,all,0.1447359996773074
haematological_cancer,0.3657006726992828,0.15463190167976193,2.3635518849231816,0.018100691872649666,0.06244515620954855,0.668956189189017,2 Demographics + cinical,all,0.15472504539969875
cancer_excl_lung_and_haem,0.5850722685992346,0.05812562143980418,10.06026346840073,8.277652245926688e-24,0.4710871251276454,0.6990574120708237,2 Demographics + cinical,all,0.05815675408869216
chemo_or_radio,0.13896323845907602,0.12066647706870443,1.147467207486447,0.25118857856432086,-0.09839687150995524,0.3763233484281073,2 Demographics + cinical,all,0.12110432224331548
permanant_immunosuppression,0.4725476956079501,0.7081526244287405,0.6707775023177466,0.502362281585717,-0.9082029425227984,1.8532983337386988,2 Demographics + cinical,all,0.7044775562316113
asplenia,0.10965162660744285,0.448628789592288,0.24387851133137353,0.8073249122414684,-0.7715791051350734,0.9908823583499592,2 Demographics + cinical,all,0.4496157779905917
dmards,0.11974752504731868,0.14467359865837376,0.8224077532097706,0.4108448681865939,-0.16563504268084295,0.4051300927754803,2 Demographics + cinical,all,0.14560602642661957
dementia,0.8438691341211613,0.06433704843156922,12.981503154505573,1.5579270452584528e-38,0.7164606906722663,0.9712775775700563,2 Demographics + cinical,all,0.06500550237345004
other_neuro_conditions,0.6079961334349293,0.1270089291535369,4.7735741386590185,1.8098488011212334e-6,0.3583612708229859,0.8576309960468727,2 Demographics + cinical,all,0.12736706622215072
LD_incl_DS_and_CP,1.328185798348828,0.4517032807414838,2.9094520493302243,0.0036206292258736013,0.4334481345538346,2.2229234621438216,2 Demographics + cinical,all,0.45650719648553256
psychosis_schiz_bipolar,-0.06823520696715199,0.27053082765931896,-0.2494661540583512,0.8030002185748878,-0.6043341765370778,0.46786376260277374,2 Demographics + cinical,all,0.27352490851801675
flu_vaccine,0.14559760236647207,0.08302496587554521,1.7230891665406196,0.08487240161184506,-0.020015450292078102,0.3112106550250222,2 Demographics + cinical,all,0.08449800810876365
