.level1,.level2,n,pct,pct_nonmiss,redacted
Black,Ox-AZ,8617,0.01125690328025848,0.01469447196590787,FALSE
Mixed,Ox-AZ,3402,0.004442139177446475,0.005801391856564764,FALSE
South Asian,Ox-AZ,22757,0.029730976212344704,0.03880725293352273,FALSE
White,Ox-AZ,546007,0.7133670500406978,0.9310995189380826,FALSE
Other,Ox-AZ,5628,0.0073556598732422524,0.009597364305921955,FALSE
(missing),Ox-AZ,178983,0.23384727141601025,0,FALSE
Black,P-B,20643,0.011321735582691552,0.01489213428675312,FALSE
Mixed,P-B,10654,0.005841282932617961,0.0076859370581343674,FALSE
South Asian,P-B,79814,0.043768493922916124,0.05757887932775825,FALSE
White,P-B,1257683,0.6896810216432364,0.907309215044641,FALSE
Other,P-B,17374,0.00952855165576133,0.012533834282713206,FALSE
(missing),P-B,437402,0.23985891426277658,0,FALSE
Black,Unknown,14,0.010221465076660987,0.015625,FALSE
Mixed,Unknown,14,0.009369676320272573,0.015625,FALSE
South Asian,Unknown,49,0.04088586030664395,0.0546875,FALSE
White,Unknown,812,0.6890971039182283,0.90625,FALSE
Other,Unknown,7,0.008517887563884156,0.0078125,FALSE
(missing),Unknown,287,0.24190800681431004,0,FALSE
Black,Not vaccinated,0,NaN,NaN,FALSE
Mixed,Not vaccinated,0,NaN,NaN,FALSE
South Asian,Not vaccinated,0,NaN,NaN,FALSE
White,Not vaccinated,0,NaN,NaN,FALSE
Other,Not vaccinated,0,NaN,NaN,FALSE
(missing),Not vaccinated,0,NaN,NaN,FALSE
