.level1,.level2,n,pct,pct_nonmiss,redacted
1 least deprived,Oxford/AZ,10807,0.16620272826538302,0.16964397840010045,FALSE
2,Oxford/AZ,12065,0.1855497285575873,0.18939156096948387,FALSE
3,Oxford/AZ,14188,0.21819971394737248,0.22271756875549417,FALSE
4,Oxford/AZ,13447,0.20680374636667026,0.21108564611327388,FALSE
5 most deprived,Oxford/AZ,13197,0.20295895298586655,0.20716124576164763,FALSE
(missing),Oxford/AZ,1319,0.020285129877120403,0,FALSE
1 least deprived,Oxford/AZ and Pfizer,59,0.19798657718120805,0.2048611111111111,FALSE
2,Oxford/AZ and Pfizer,63,0.21140939597315436,0.21875,FALSE
3,Oxford/AZ and Pfizer,67,0.22483221476510068,0.2326388888888889,FALSE
4,Oxford/AZ and Pfizer,51,0.17114093959731544,0.17708333333333334,FALSE
5 most deprived,Oxford/AZ and Pfizer,48,0.1610738255033557,0.16666666666666666,FALSE
(missing),Oxford/AZ and Pfizer,10,0.03355704697986577,0,FALSE
1 least deprived,Pfizer,123159,0.1374145196868316,0.14055363700895415,FALSE
2,Pfizer,153009,0.17071962457280765,0.17461956856667452,FALSE
3,Pfizer,187933,0.2096860394149459,0.21447613787058825,FALSE
4,Pfizer,204795,0.22849979749157331,0.2337196801796764,FALSE
5 most deprived,Pfizer,207346,0.23134607295435805,0.23663097637410668,FALSE
(missing),Pfizer,20017,0.022333945879483497,0,FALSE
