outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
"Positive
SARS-CoV-2
test",Any vaccine,1-3,Not immunocompromised,0.57 (0.54-0.60),0.57 (0.55-0.60),0.59 (0.56-0.62), 43.0 (40.2-45.6), 42.8 (40.0-45.5), 41.1 (38.2-43.9)
"Positive
SARS-CoV-2
test",Any vaccine,4-7,Not immunocompromised,0.61 (0.59-0.64),0.62 (0.59-0.64),0.64 (0.61-0.66), 38.7 (36.1-41.2), 38.5 (35.9-41.0), 36.5 (33.8-39.1)
"Positive
SARS-CoV-2
test",Any vaccine,8-14,Not immunocompromised,0.67 (0.65-0.69),0.67 (0.65-0.70),0.70 (0.67-0.72), 32.9 (30.7-35.2), 32.7 (30.3-34.9), 30.5 (28.1-32.8)
"Positive
SARS-CoV-2
test",Any vaccine,15-21,Not immunocompromised,0.69 (0.67-0.72),0.69 (0.67-0.72),0.71 (0.69-0.74), 30.9 (28.5-33.3), 30.6 (28.1-33.0), 28.5 (26.0-31.0)
"Positive
SARS-CoV-2
test",Any vaccine,22-28,Not immunocompromised,0.68 (0.65-0.71),0.69 (0.66-0.71),0.71 (0.68-0.74), 31.8 (28.9-34.5), 31.4 (28.6-34.2), 29.3 (26.3-32.1)
"Positive
SARS-CoV-2
test",Any vaccine,29-35,Not immunocompromised,0.67 (0.64-0.70),0.68 (0.65-0.71),0.70 (0.67-0.73), 32.8 (29.8-35.7), 32.4 (29.3-35.4), 30.5 (27.3-33.5)
"Positive
SARS-CoV-2
test",Any vaccine,36+,Not immunocompromised,0.66 (0.63-0.68),0.66 (0.64-0.69),0.68 (0.65-0.71), 34.5 (31.6-37.2), 33.6 (30.6-36.5), 32.1 (28.9-35.0)
"Positive
SARS-CoV-2
test",Any vaccine,1-3,Immunocompromised,0.57 (0.48-0.67),0.57 (0.48-0.67),0.58 (0.49-0.69), 43.3 (33.1-51.9), 42.8 (32.6-51.5), 41.7 (31.2-50.6)
"Positive
SARS-CoV-2
test",Any vaccine,4-7,Immunocompromised,0.57 (0.49-0.66),0.57 (0.50-0.66),0.59 (0.51-0.68), 43.2 (34.3-50.9), 42.7 (33.7-50.4), 40.8 (31.5-48.8)
"Positive
SARS-CoV-2
test",Any vaccine,8-14,Immunocompromised,0.66 (0.59-0.74),0.67 (0.60-0.75),0.69 (0.62-0.78), 33.8 (26.1-40.8), 33.1 (25.2-40.1), 30.6 (22.5-37.9)
"Positive
SARS-CoV-2
test",Any vaccine,15-21,Immunocompromised,0.67 (0.59-0.75),0.68 (0.60-0.76),0.70 (0.63-0.79), 33.4 (25.2-40.6), 32.5 (24.2-39.8), 29.9 (21.3-37.5)
"Positive
SARS-CoV-2
test",Any vaccine,22-28,Immunocompromised,0.64 (0.56-0.73),0.65 (0.57-0.74),0.68 (0.60-0.78), 35.9 (26.9-43.8), 34.7 (25.6-42.8), 31.8 (22.2-40.2)
"Positive
SARS-CoV-2
test",Any vaccine,29-35,Immunocompromised,0.66 (0.57-0.76),0.67 (0.59-0.77),0.71 (0.61-0.81), 34.0 (24.2-42.5), 32.7 (22.6-41.5), 29.3 (18.7-38.6)
"Positive
SARS-CoV-2
test",Any vaccine,36+,Immunocompromised,0.64 (0.57-0.72),0.66 (0.59-0.74),0.69 (0.61-0.78), 36.0 (28.1-43.0), 34.1 (25.9-41.4), 31.0 (22.3-38.7)
"Positive
SARS-CoV-2
test",BNT162b2,1-3,Not immunocompromised,0.48 (0.45-0.51),0.49 (0.46-0.52),0.51 (0.48-0.54), 52.3 (49.3-55.0), 51.2 (48.1-54.0), 49.1 (45.9-52.1)
"Positive
SARS-CoV-2
test",BNT162b2,4-7,Not immunocompromised,0.57 (0.55-0.60),0.59 (0.56-0.62),0.61 (0.58-0.64), 42.6 (39.7-45.3), 41.2 (38.3-44.0), 38.8 (35.7-41.7)
"Positive
SARS-CoV-2
test",BNT162b2,8-14,Not immunocompromised,0.62 (0.60-0.65),0.64 (0.61-0.66),0.67 (0.64-0.69), 37.7 (35.3-40.0), 36.3 (33.8-38.7), 33.3 (30.7-35.8)
"Positive
SARS-CoV-2
test",BNT162b2,15-21,Not immunocompromised,0.65 (0.63-0.68),0.67 (0.64-0.69),0.70 (0.67-0.73), 34.6 (32.0-37.1), 33.4 (30.8-36.0), 30.1 (27.4-32.8)
"Positive
SARS-CoV-2
test",BNT162b2,22-28,Not immunocompromised,0.68 (0.65-0.72),0.69 (0.66-0.72),0.74 (0.70-0.77), 31.7 (28.5-34.7), 30.8 (27.5-33.9), 26.4 (22.9-29.7)
