outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI,diff,diff_CI,diff_ECI
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.57,(0.54-0.60), 43.0,(40.2-45.6),0.57 (0.54-0.60), 43.0 (40.2-45.6),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.61,(0.59-0.64), 38.7,(36.1-41.2),0.61 (0.59-0.64), 38.7 (36.1-41.2),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.67,(0.65-0.69), 32.9,(30.7-35.2),0.67 (0.65-0.69), 32.9 (30.7-35.2),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.69,(0.67-0.72), 30.9,(28.5-33.3),0.69 (0.67-0.72), 30.9 (28.5-33.3),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.68,(0.65-0.71), 31.8,(28.9-34.5),0.68 (0.65-0.71), 31.8 (28.9-34.5),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.67,(0.64-0.70), 32.8,(29.8-35.7),0.67 (0.64-0.70), 32.8 (29.8-35.7),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.66,(0.63-0.68), 34.5,(31.6-37.2),0.66 (0.63-0.68), 34.5 (31.6-37.2),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.57,(0.55-0.60), 42.8,(40.0-45.5),0.57 (0.55-0.60), 42.8 (40.0-45.5),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.62,(0.59-0.64), 38.5,(35.9-41.0),0.62 (0.59-0.64), 38.5 (35.9-41.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.67,(0.65-0.70), 32.7,(30.3-34.9),0.67 (0.65-0.70), 32.7 (30.3-34.9),0.00,(NA-NA),0.00 (NA-NA)
