stratum,brand_descr,var_label,label,HR,CI,HR_ECI
0,Any vaccine,Age,Age,1.25,(1.15-1.36),1.25 (1.15-1.36)
0,Any vaccine,Age,Age²,1.00,(1.00-1.00),1.00 (1.00-1.00)
0,Any vaccine,Sex,Female,1,(NA-NA),1 (NA-NA)
0,Any vaccine,Sex,Male,1.08,(1.06-1.11),1.08 (1.06-1.11)
0,Any vaccine,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
0,Any vaccine,IMD,2,1.17,(1.13-1.21),1.17 (1.13-1.21)
0,Any vaccine,IMD,3,1.23,(1.20-1.27),1.23 (1.20-1.27)
0,Any vaccine,IMD,4,1.32,(1.28-1.37),1.32 (1.28-1.37)
0,Any vaccine,IMD,5 least deprived,1.46,(1.42-1.51),1.46 (1.42-1.51)
0,Any vaccine,Ethnicity,White,1,(NA-NA),1 (NA-NA)
0,Any vaccine,Ethnicity,Black,0.46,(0.40-0.54),0.46 (0.40-0.54)
0,Any vaccine,Ethnicity,South Asian,0.48,(0.45-0.50),0.48 (0.45-0.50)
0,Any vaccine,Ethnicity,Mixed,0.70,(0.58-0.86),0.70 (0.58-0.86)
0,Any vaccine,Ethnicity,Other,0.78,(0.66-0.93),0.78 (0.66-0.93)
0,Any vaccine,Body Mass Index,Not obese,1,(NA-NA),1 (NA-NA)
0,Any vaccine,Body Mass Index,Obese I (30-34.9),1.01,(0.98-1.04),1.01 (0.98-1.04)
0,Any vaccine,Body Mass Index,Obese II (35-39.9),0.94,(0.88-1.01),0.94 (0.88-1.01)
0,Any vaccine,Body Mass Index,Obese III (40+),0.81,(0.74-0.90),0.81 (0.74-0.90)
0,Any vaccine,Heart failure,Heart failure,0.93,(0.89-0.97),0.93 (0.89-0.97)
0,Any vaccine,Other heart disease,Other heart disease,1.05,(1.00-1.10),1.05 (1.00-1.10)
0,Any vaccine,Dialysis,Dialysis,0.90,(0.69-1.17),0.90 (0.69-1.17)
0,Any vaccine,Diabetes,Diabetes,0.96,(0.91-1.01),0.96 (0.91-1.01)
0,Any vaccine,Chronic liver disease,Chronic liver disease,1.01,(0.89-1.15),1.01 (0.89-1.15)
0,Any vaccine,COPD,COPD,0.95,(0.90-1.00),0.95 (0.90-1.00)
0,Any vaccine,Other respiratory conditions,Other respiratory conditions,0.93,(0.88-0.98),0.93 (0.88-0.98)
0,Any vaccine,Lung Cancer,Lung Cancer,1.11,(0.97-1.27),1.11 (0.97-1.27)
0,Any vaccine,Haematological cancer,Haematological cancer,0.97,(0.88-1.07),0.97 (0.88-1.07)
0,Any vaccine,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.05,(0.99-1.11),1.05 (0.99-1.11)
0,Any vaccine,Dementia,Dementia,0.78,(0.74-0.83),0.78 (0.74-0.83)
0,Any vaccine,Other neurological conditions,Other neurological conditions,0.80,(0.74-0.87),0.80 (0.74-0.87)
0,Any vaccine,Learning disabilities,Learning disabilities,0.61,(0.40-0.94),0.61 (0.40-0.94)
0,Any vaccine,Serious mental illness,Serious mental illness,0.75,(0.67-0.84),0.75 (0.67-0.84)
0,Any vaccine,Morbidity count,0,1,(NA-NA),1 (NA-NA)
0,Any vaccine,Morbidity count,1,1.02,(0.97-1.07),1.02 (0.97-1.07)
0,Any vaccine,Morbidity count,2,1.03,(0.93-1.13),1.03 (0.93-1.13)
0,Any vaccine,Morbidity count,3,1.10,(0.95-1.27),1.10 (0.95-1.27)
0,Any vaccine,Morbidity count,4+,1.05,(0.85-1.29),1.05 (0.85-1.29)
0,Any vaccine,Shielding criteria met,Shielding criteria met,1.02,(0.99-1.06),1.02 (0.99-1.06)
0,Any vaccine,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.96,(1.90-2.03),1.96 (1.90-2.03)
0,Any vaccine,Frailty,None,1,(NA-NA),1 (NA-NA)
0,Any vaccine,Frailty,Mild,1.17,(1.12-1.22),1.17 (1.12-1.22)
0,Any vaccine,Frailty,Moderate,1.13,(1.08-1.18),1.13 (1.08-1.18)
0,Any vaccine,Frailty,Severe,1.03,(0.98-1.08),1.03 (0.98-1.08)
0,Any vaccine,region,East Midlands,1,(NA-NA),1 (NA-NA)
0,Any vaccine,region,Yorkshire and The Humber,0.02,(0.00-0.19),0.02 (0.00-0.19)
0,Any vaccine,region,North East,0.00,(0.00-0.06),0.00 (0.00-0.06)
0,Any vaccine,region,East,61.86,(7.99-479.02),61.86 (7.99-479.02)
0,Any vaccine,region,South East,1.89,(0.12-29.73),1.89 (0.12-29.73)
0,Any vaccine,region,South West,0.18,(0.00-180.31),0.18 (0.00-180.31)
0,Any vaccine,region,North West,0.04,(0.00-2.13),0.04 (0.00-2.13)
0,Any vaccine,region,London,0.00,(0.00-0.36),0.00 (0.00-0.36)
0,Any vaccine,region,West Midlands,0.00,(0.00-81 132 333 432.07),0.00 (0.00-81 132 333 432.07)
0,Any vaccine,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
0,Any vaccine,Time since suspected COVID,1-21,1.20,(0.96-1.49),1.20 (0.96-1.49)
0,Any vaccine,Time since suspected COVID,22-28,1.20,(0.75-1.92),1.20 (0.75-1.92)
0,Any vaccine,Time since suspected COVID,29+,1.38,(0.91-2.09),1.38 (0.91-2.09)
0,Any vaccine,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
0,Any vaccine,Time since discharge from infectious hosp admission,In hospital,0.86,(0.83-0.89),0.86 (0.83-0.89)
0,Any vaccine,Time since discharge from infectious hosp admission,1-21,0.54,(0.48-0.61),0.54 (0.48-0.61)
0,Any vaccine,Time since discharge from infectious hosp admission,22-28,0.82,(0.65-1.04),0.82 (0.65-1.04)
0,Any vaccine,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
0,Any vaccine,Time since discharge from non-infectious hosp admission,In hospital,0.93,(0.88-0.99),0.93 (0.88-0.99)
0,Any vaccine,Time since discharge from non-infectious hosp admission,1-21,0.68,(0.47-0.98),0.68 (0.47-0.98)
0,Any vaccine,Time since discharge from non-infectious hosp admission,22-28,0.60,(0.31-1.15),0.60 (0.31-1.15)
0,BNT162b2,Age,Age,1.55,(1.39-1.72),1.55 (1.39-1.72)
0,BNT162b2,Age,Age²,1.00,(1.00-1.00),1.00 (1.00-1.00)
0,BNT162b2,Sex,Female,1,(NA-NA),1 (NA-NA)
0,BNT162b2,Sex,Male,1.12,(1.09-1.14),1.12 (1.09-1.14)
0,BNT162b2,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
0,BNT162b2,IMD,2,1.20,(1.16-1.25),1.20 (1.16-1.25)
0,BNT162b2,IMD,3,1.22,(1.17-1.26),1.22 (1.17-1.26)
0,BNT162b2,IMD,4,1.31,(1.26-1.36),1.31 (1.26-1.36)
0,BNT162b2,IMD,5 least deprived,1.49,(1.44-1.55),1.49 (1.44-1.55)
0,BNT162b2,Ethnicity,White,1,(NA-NA),1 (NA-NA)
0,BNT162b2,Ethnicity,Black,0.46,(0.38-0.55),0.46 (0.38-0.55)
0,BNT162b2,Ethnicity,South Asian,0.47,(0.44-0.51),0.47 (0.44-0.51)
0,BNT162b2,Ethnicity,Mixed,0.72,(0.57-0.90),0.72 (0.57-0.90)
0,BNT162b2,Ethnicity,Other,0.83,(0.69-1.00),0.83 (0.69-1.00)
0,BNT162b2,Body Mass Index,Not obese,1,(NA-NA),1 (NA-NA)
0,BNT162b2,Body Mass Index,Obese I (30-34.9),1.02,(0.99-1.05),1.02 (0.99-1.05)
0,BNT162b2,Body Mass Index,Obese II (35-39.9),0.89,(0.82-0.97),0.89 (0.82-0.97)
0,BNT162b2,Body Mass Index,Obese III (40+),0.71,(0.62-0.80),0.71 (0.62-0.80)
0,BNT162b2,Heart failure,Heart failure,0.90,(0.86-0.94),0.90 (0.86-0.94)
0,BNT162b2,Other heart disease,Other heart disease,1.02,(0.97-1.08),1.02 (0.97-1.08)
0,BNT162b2,Dialysis,Dialysis,0.85,(0.61-1.19),0.85 (0.61-1.19)
0,BNT162b2,Diabetes,Diabetes,0.92,(0.87-0.98),0.92 (0.87-0.98)
0,BNT162b2,Chronic liver disease,Chronic liver disease,0.93,(0.79-1.10),0.93 (0.79-1.10)
0,BNT162b2,COPD,COPD,0.93,(0.88-0.99),0.93 (0.88-0.99)
0,BNT162b2,Other respiratory conditions,Other respiratory conditions,0.92,(0.86-0.98),0.92 (0.86-0.98)
0,BNT162b2,Lung Cancer,Lung Cancer,1.04,(0.88-1.22),1.04 (0.88-1.22)
0,BNT162b2,Haematological cancer,Haematological cancer,0.91,(0.82-1.02),0.91 (0.82-1.02)
0,BNT162b2,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.01,(0.95-1.08),1.01 (0.95-1.08)
0,BNT162b2,Dementia,Dementia,0.69,(0.64-0.74),0.69 (0.64-0.74)
0,BNT162b2,Other neurological conditions,Other neurological conditions,0.74,(0.67-0.82),0.74 (0.67-0.82)
0,BNT162b2,Learning disabilities,Learning disabilities,0.55,(0.31-0.98),0.55 (0.31-0.98)
0,BNT162b2,Serious mental illness,Serious mental illness,0.69,(0.60-0.80),0.69 (0.60-0.80)
0,BNT162b2,Morbidity count,0,1,(NA-NA),1 (NA-NA)
0,BNT162b2,Morbidity count,1,1.06,(1.00-1.13),1.06 (1.00-1.13)
0,BNT162b2,Morbidity count,2,1.12,(1.00-1.26),1.12 (1.00-1.26)
0,BNT162b2,Morbidity count,3,1.23,(1.03-1.47),1.23 (1.03-1.47)
0,BNT162b2,Morbidity count,4+,1.20,(0.93-1.54),1.20 (0.93-1.54)
0,BNT162b2,Shielding criteria met,Shielding criteria met,1.01,(0.97-1.05),1.01 (0.97-1.05)
0,BNT162b2,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.86,(1.79-1.94),1.86 (1.79-1.94)
0,BNT162b2,Frailty,None,1,(NA-NA),1 (NA-NA)
0,BNT162b2,Frailty,Mild,1.11,(1.06-1.16),1.11 (1.06-1.16)
0,BNT162b2,Frailty,Moderate,1.06,(1.01-1.11),1.06 (1.01-1.11)
0,BNT162b2,Frailty,Severe,0.93,(0.88-0.98),0.93 (0.88-0.98)
0,BNT162b2,region,East Midlands,1,(NA-NA),1 (NA-NA)
0,BNT162b2,region,Yorkshire and The Humber,0.01,(0.00-0.08),0.01 (0.00-0.08)
0,BNT162b2,region,North East,0.00,(0.00-0.17),0.00 (0.00-0.17)
0,BNT162b2,region,East,42.23,(6.57-271.53),42.23 (6.57-271.53)
0,BNT162b2,region,South East,0.68,(0.05-10.18),0.68 (0.05-10.18)
0,BNT162b2,region,South West,0.07,(0.00-95.00),0.07 (0.00-95.00)
0,BNT162b2,region,North West,0.02,(0.00-0.85),0.02 (0.00-0.85)
0,BNT162b2,region,London,0.00,(0.00-1.55),0.00 (0.00-1.55)
0,BNT162b2,region,West Midlands,0.00,(0.00-1 677 817 955.94),0.00 (0.00-1 677 817 955.94)
0,BNT162b2,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
0,BNT162b2,Time since suspected COVID,1-21,1.30,(1.03-1.63),1.30 (1.03-1.63)
0,BNT162b2,Time since suspected COVID,22-28,1.17,(0.66-2.06),1.17 (0.66-2.06)
0,BNT162b2,Time since suspected COVID,29+,1.61,(0.97-2.68),1.61 (0.97-2.68)
0,BNT162b2,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
0,BNT162b2,Time since discharge from infectious hosp admission,In hospital,0.90,(0.87-0.94),0.90 (0.87-0.94)
