term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,n_obs,n_event,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul
"poly(age, degree = 2, raw = TRUE)1","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age,37604435.45124606,804837.751557632,0.4405848495995113,0.13500050365567234,3.263579302809506,0.0011001439063299033,0.1759887245396256,0.7051809746593969,1.5536155843090351,1.192424613438391,2.024212983031161
"poly(age, degree = 2, raw = TRUE)2","age, degree = 2",Age,nmatrix.2,continuous,NA,NA,NA,NA,Age²,37604435.45124606,804837.751557632,-0.002211301056444621,9.15792433477395e-4,-2.414631280636371,0.015751145633689376,-0.004006221243374608,-4.1638086951463395e-4,0.9977911420685763,0.9960017929551613,0.9995837058049694
sexFemale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,Female,20006397.771028094,432114.6429906541,0,NA,NA,NA,NA,NA,NA,NA,NA
sexMale,sex,Sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,Male,17598037.68021819,372723.10856697813,-0.02297921104588607,0.01097678773156061,-2.093436769285055,0.03631018299456411,-0.04449331966568598,-0.0014651024260861588,0.977282800249388,0.9564819896917349,0.9985359703125187
imd1 most deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,TRUE,1 most deprived,7775605.742367583,153880.80576323988,0,NA,NA,NA,NA,NA,NA,NA,NA
imd2,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,2,7498953.872585652,159735.75981308412,0.11590633154892623,0.018144870482824756,6.387829092450054,1.6825723205983863e-10,0.08034303889844581,0.15146962419940663,1.1228906877756546,1.0836587410229175,1.1635429577240102
imd3,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,3,7453318.241433005,166676.70638629285,0.18257450323119725,0.017946370481905404,10.17333858204252,2.6081269874529545e-24,0.14740026343344995,0.21774874302894456,1.2003035741170682,1.1588177025670463,1.2432746469497875
imd4,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,4,8172923.593146398,181417.5909657321,0.19307934236697746,0.01768929512612508,10.915038784209168,9.768759628160328e-28,0.1584089610078724,0.22774972372608251,1.2129790303286012,1.171645253966645,1.255770996413561
imd5 least deprived,imd,IMD,factor,categorical,5,contr.treatment,treatment,FALSE,5 least deprived,6703634.001713381,143126.8886292835,0.20832623934274597,0.018795614963988416,11.083768194969412,1.5040631047088669e-28,0.17148751094604658,0.24516496773944535,1.2316149052515142,1.1870693172669602,1.2778320968905692
ethnicity_combinedWhite,ethnicity_combined,Ethnicity,factor,categorical,5,contr.treatment,treatment,TRUE,White,35295602.3716509,766547.048909657,0,NA,NA,NA,NA,NA,NA,NA,NA
