stratum,model,model_descr,model_descr_wrap,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,term_left,term_right,term_midpoint,ve,ve.ll,ve.ul,diff,diff.std.error,z,diff.ll,diff.ul,diff.p.value
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",1-3,-2.313378111877792,-2.564654677086395,-2.062101546669189,0.12820468497923446,-18.044411655100546,8.728909076359398e-73,0.09892650167636295,0.07694574798443606,0.12718640068198392,0,3,1.5,0.901073498323637,0.872813599318016,0.9230542520155639,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",4-7,-2.0445540514894343,-2.227173833180415,-1.8619342697984536,0.09317507011938087,-21.943144758247488,1.0069305286654184e-106,0.12943789974722475,0.10783275324859079,0.15537180852972013,3,7,5,0.8705621002527753,0.8446281914702799,0.8921672467514092,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",8-14,-2.020114585041718,-2.1570537271785457,-1.8831754429048906,0.06986819309792738,-28.91322210394538,8.143075115400027e-184,0.13264026561895345,0.11566540134096105,0.15210633309094904,7,14,10.5,0.8673597343810465,0.847893666909051,0.884334598659039,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",15-21,-1.9645568648251808,-2.098153456303588,-1.8309602733467734,0.06816277877154897,-28.82154894842966,1.152035197618628e-182,0.14021800838228618,0.12268275829850676,0.1602596008385816,14,21,17.5,0.8597819916177138,0.8397403991614184,0.8773172417014933,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",22-28,-2.1093690819157795,-2.252061445131012,-1.966676718700547,0.07280356391279212,-28.97343163643048,1.4225177825076197e-184,0.12131448179382279,0.10518217363972633,0.13992108152578825,21,28,24.5,0.8786855182061772,0.8600789184742117,0.8948178263602736,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",29-35,-1.8738192730331202,-2.0130780726445763,-1.734560473421664,0.07105171355693876,-26.372611992411645,2.8253649009543556e-153,0.15353614412919137,0.13357688188380584,0.17647774990410028,28,35,31.5,0.8464638558708086,0.8235222500958997,0.8664231181161941,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",36+,-1.691699113300009,-1.7996475880584002,-1.5837506385416178,0.05507676447622249,-30.715295812816713,3.556605322139406e-207,0.1842062706175129,0.16535715178951454,0.20520400700905186,35,42,38.5,0.8157937293824871,0.7947959929909482,0.8346428482104855,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",1-3,-2.2978782490081198,-2.5483723132732274,-2.047384184743012,0.12780544246780715,-17.979502317257978,2.820125285001902e-72,0.1004717938576085,0.07820886198203003,0.1290720911306087,0,3,1.5,0.8995282061423915,0.8709279088693913,0.92179113801797,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",4-7,-2.0264286888094802,-2.207871333506937,-1.8449860441120234,0.0925744789846412,-21.889712057095995,3.2556389898483464e-106,0.13180539970674726,0.10993441332566296,0.15802752628871272,3,7,5,0.8681946002932528,0.8419724737112873,0.890065586674337,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",8-14,-2.0070059481015017,-2.143431816203494,-1.8705800799995094,0.0696063137782644,-28.8336767048885,8.117979131530552e-183,0.13439044487486457,0.11725176526506519,0.1540342836871998,7,14,10.5,0.8656095551251355,0.8459657163128003,0.8827482347349348,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",15-21,-1.9687496428943734,-2.1027235503472226,-1.834775735441524,0.06835529045922194,-28.801715707269967,2.0414184707792723e-182,0.13963133614452586,0.1221233657673985,0.15964930143376693,14,21,17.5,0.8603686638554742,0.840350698566233,0.8778766342326015,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",22-28,-2.135894448413269,-2.2791771437072996,-1.9926117531192387,0.07310475928344913,-29.216900094448903,1.1830313679309223e-187,0.11813887397637671,0.10236840655611061,0.1363388765532475,21,28,24.5,0.8818611260236233,0.8636611234467525,0.8976315934438894,0,NA,NA,NA,NA,NA
