outcome,outcome_descr,brand,brand_descr,recent_postestperiod,model,model_descr,model_descr_wrap,term,term_left,term_right,term_midpoint,estimate,std.error,statistic,p.value,conf.low,conf.high,or,or.ll,or.ul,ve,ve.ll,ve.ul,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",1-3,0,3,1.5,-1.5895586932510961,0.06137705902986267,-25.898254467971576,6.968145886267354e-148,-1.7098555184266158,-1.4692618680755765,0.20401562534329185,0.18089192627928163,0.2300952631791484,0.7959843746567081,0.7699047368208516,0.8191080737207184,0.20,(0.18-0.23),79.6,(77.0-81.9),0.20 (0.18-0.23),79.6 (77.0-81.9)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",15-21,14,21,17.5,-1.1465953957548471,0.036557530768790814,-31.364136790488494,6.242441288499425e-216,-1.218246839425392,-1.0749439520843023,0.31771662947329876,0.29574820678394353,0.3413168848648917,0.6822833705267013,0.6586831151351082,0.7042517932160565,0.32,(0.30-0.34),68.2,(65.9-70.4),0.32 (0.30-0.34),68.2 (65.9-70.4)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",22-28,21,28,24.5,-1.290064831101018,0.046559121017507636,-27.70810107467267,5.576903206501858e-169,-1.381319031447175,-1.1988106307548614,0.2752529375602854,0.2512469317943555,0.3015526561636941,0.7247470624397145,0.6984473438363059,0.7487530682056445,0.28,(0.25-0.30),72.5,(69.8-74.9),0.28 (0.25-0.30),72.5 (69.8-74.9)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",29-35,28,35,31.5,-1.3381931128815554,0.05337033286433437,-25.073726189476808,9.623992505250075e-139,-1.4427970431385653,-1.2335891826245455,0.2623192218457122,0.2362659874531464,0.2912453666797294,0.7376807781542878,0.7087546333202706,0.7637340125468536,0.26,(0.24-0.29),73.8,(70.9-76.4),0.26 (0.24-0.29),73.8 (70.9-76.4)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",36+,35,42,38.5,-1.3278049074995109,0.0477779581282038,-27.791160600387705,5.547581706601919e-170,-1.421447984685653,-1.2341618303133688,0.26505845100186276,0.24136427197601465,0.2910786334378789,0.7349415489981372,0.7089213665621211,0.7586357280239854,0.27,(0.24-0.29),73.5,(70.9-75.9),0.27 (0.24-0.29),73.5 (70.9-75.9)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",4-7,3,7,5,-1.13151865704336,0.043534024744812744,-25.991593097033487,6.16373971840468e-149,-1.2168437776452685,-1.0461935364414514,0.3225430520125515,0.29616345102796604,0.35127231277348875,0.6774569479874485,0.6487276872265113,0.703836548972034,0.32,(0.30-0.35),67.7,(64.9-70.4),0.32 (0.30-0.35),67.7 (64.9-70.4)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",8-14,7,14,10.5,-0.9697959910297772,0.03259744505468438,-29.750674919549066,1.699627563642743e-194,-1.0336858093249819,-0.9059061727345725,0.3791603823328213,0.3556935230119375,0.40417546632117435,0.6208396176671787,0.5958245336788257,0.6443064769880624,0.38,(0.36-0.40),62.1,(59.6-64.4),0.38 (0.36-0.40),62.1 (59.6-64.4)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",1-3,0,3,1.5,-1.535572505917132,0.06154780625385703,-24.94926463477164,2.1749790212893816e-137,-1.6562039895021408,-1.414941022332123,0.21533237681413492,0.19086212132351968,0.24293994105739156,0.7846676231858651,0.7570600589426084,0.8091378786764803,0.22,(0.19-0.24),78.5,(75.7-80.9),0.22 (0.19-0.24),78.5 (75.7-80.9)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",15-21,14,21,17.5,-1.0565851431615183,0.03684461256786542,-28.676787989434168,7.431482952978445e-181,-1.1287992568188663,-0.9843710295041702,0.34764092967798566,0.3234213693675364,0.37367418307488315,0.6523590703220143,0.6263258169251169,0.6765786306324636,0.35,(0.32-0.37),65.2,(62.6-67.7),0.35 (0.32-0.37),65.2 (62.6-67.7)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",22-28,21,28,24.5,-1.1929007379981598,0.04699099700954363,-25.385729478263418,3.625268389730114e-142,-1.2850013997344947,-1.1008000762618249,0.3033400765511124,0.27665019639487953,0.3326048679564134,0.6966599234488876,0.6673951320435866,0.7233498036051205,0.30,(0.28-0.33),69.7,(66.7-72.3),0.30 (0.28-0.33),69.7 (66.7-72.3)
postest,"Positive
SARS-CoV-2
test",pfizer,BNT162b2,0,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",29-35,28,35,31.5,-1.2394022625514396,0.053964320854674334,-22.96706866540847,9.950220504043516e-117,-1.3451703878767651,-1.1336341372261143,0.28955724543048905,0.2604953188341237,0.3218614398006962,0.7104427545695109,0.6781385601993037,0.7395046811658763,0.29,(0.26-0.32),71.0,(67.8-74.0),0.29 (0.26-0.32),71.0 (67.8-74.0)
