stratum,model,model_descr,model_descr_wrap,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",(Intercept),-8.1683309543774,-8.33751533635901,-7.99914657239579,0.08632014838849815,-94.62832382556238,0,2.83490780848708e-4,2.3936634954364842e-4,3.3574904316930823e-4
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw1-3,-1.8059485878832655,-1.9578651641407527,-1.6540320116257783,0.07750988153649035,-23.29959164023564,4.475710097032243e-120,0.16431851207576484,0.14115945174046862,0.19127712014945833
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw4-7,-1.400117399026645,-1.507837451708488,-1.2923973463448017,0.054960220458909075,-25.475105218572413,3.7215762490399013e-143,0.24656801539736486,0.2213882233828231,0.27461165408002514
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw8-14,-1.0925919778380395,-1.1676927796813612,-1.0174911759947178,0.03831743972629459,-28.514221869794444,7.805953691673854e-179,0.3353461564409834,0.3110838528971222,0.3615007451927469
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw15-21,-1.198637346536256,-1.2797594116049151,-1.117515281467597,0.04138956925154727,-28.95988936853812,2.1067975985083746e-184,0.3016049150077715,0.27810420104851463,0.327091516107577
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw22-28,-1.35852670871902,-1.464438048100613,-1.2526153693374271,0.05403739059340279,-25.140494272587567,1.7954480797393324e-139,0.2570391917275561,0.23120788268643508,0.2857564600146379
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw29-35,-1.406864158525734,-1.5276756180991935,-1.2860526989522745,0.06163963242508789,-22.824019274215,2.648100187696545e-115,0.24491007943384469,0.2170395642996406,0.276359507087305
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",timesincevax_pw36+,-1.446972588852003,-1.5565343004246222,-1.337410877279384,0.055899859608047796,-25.885084488542887,9.804574682003908e-148,0.23528150482849267,0.2108656031325449,0.26252449755669127
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)1",1.70137663862904,1.5237898833028505,1.8789633939552297,0.09060715233900797,18.777509222045904,1.153664606243596e-78,5.4814882284726565,4.589586272514658,6.546714979261421
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)2",1.8106156712957162,1.5651430349385005,2.056088307652932,0.12524344237622362,14.456770246355397,2.272120197947074e-47,6.1142106176423665,4.783359074437283,7.815338738977791
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)3",0.2908594322625809,-0.029288724511578546,0.6110075890367404,0.1633438977958,1.7806568606939392,0.07496852462533157,1.337576550625289,0.9711360332079996,1.842286731831576
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)4",-0.30280728484644726,-0.8031375665190849,0.19752299682619034,0.2552752426162823,-1.1861991854087193,0.23554364787311635,0.7387414493250987,0.4479213739619551,1.2183810835454807
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)5",-1.6709806572429995,-2.2597026687923396,-1.0822586456936594,0.300373892680225,-5.563002304670694,2.6517238691927376e-8,0.18806255027830426,0.10438151602347079,0.3388293652415158
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",regionNorth East and Yorkshire,-1.6417404974324035,-1.8979471091502795,-1.3855338857145274,0.13072006105153017,-12.559208465984616,3.538549460767624e-36,0.1936427141698679,0.14987598265628774,0.25019019116002456
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",regionEast of England,-1.2547260492790777,-1.4884644919563839,-1.0209876066017716,0.11925649885457346,-10.52123835036567,6.896118355013128e-26,0.28515395565689744,0.22571898289100056,0.3602389900278864
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",regionSouth East,-0.38580183867831264,-0.7573362450131265,-0.01426743234349881,0.18956185382253446,-2.0352292979762465,0.04182780639156687,0.6799052432535994,0.4689138364460111,0.9858338651454149
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",regionSouth West,1.2939211363440737,0.9669670627408515,1.6208752099472958,0.1668163681486978,7.756559807072951,8.72641664546026e-15,3.6470591712954454,2.6299558599000115,5.057514767352754
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",regionNorth West,-0.1602391451307232,-0.48735723085136595,0.1668789405899195,0.16690004933810443,-0.9600904599261824,0.33700968945347753,0.851940027293681,0.6142475655659089,1.181611211493323
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",regionLondon,-0.13064258060495396,-0.5554101358099168,0.29412497460000897,0.21672212273055796,-0.6028114664019635,0.5466341178794947,0.877531365075648,0.5738368618807836,1.3419516030524943
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)1:regionNorth East and Yorkshire",-0.4256721635505621,-0.7002499591741996,-0.15109436792692454,0.14009328629988727,-3.0384908141804696,0.0023776635343179097,0.6533304925645889,0.49646119325088445,0.859766560442895
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)2:regionNorth East and Yorkshire",-0.004191852383816808,-0.3708482125138657,0.36246450774623207,0.18707300900536314,-0.022407574487117127,0.9821228383028835,0.995816921165964,0.6901486895435159,1.4368662224605053
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)3:regionNorth East and Yorkshire",-0.03317952018866329,-0.4698672823753443,0.40350824199801777,0.22280397274195776,-0.1489179918128768,0.8816183441030713,0.9673648824740162,0.6250852226037802,1.497067570956057
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)4:regionNorth East and Yorkshire",0.664611312692236,-0.05515803665304708,1.384380662037519,0.36723600791786587,1.8097661949339117,0.07033205234460696,1.9437348694167886,0.9463355804274294,3.992352523488815
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)5:regionNorth East and Yorkshire",0.9559309995567516,0.17367612556430145,1.738185873549202,0.3991169634558477,2.3951149339271356,0.016615156127243447,2.60109107064203,1.189670199654026,5.687017090737636
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)1:regionEast of England",0.24541802326744042,0.0032180509499058763,0.487617995584975,0.12357368514318481,1.9860055397965561,0.04703270879154721,1.2781555002843195,1.003223234434612,1.6284326626742804
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)2:regionEast of England",0.40465981781550964,0.0676918812008585,0.7416277544301608,0.17192557581292886,2.353691798920118,0.018588015680425517,1.4987925507998296,1.070035559608805,2.0993499609997217
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)3:regionEast of England",-1.0426616267496684,-1.4930408747107609,-0.5922823787885761,0.22978955302935486,-4.537463139660104,5.693497790831552e-6,0.3525151683943467,0.2246883664766618,0.5530635426155992
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)4:regionEast of England",1.2893534351167455,0.5925527173241448,1.986154152909346,0.3555171030125431,3.626698755674929,2.8706787111610217e-4,3.630438482710087,1.8085993706071324,7.2874533691327485
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)5:regionEast of England",0.5365035465932646,-0.33570379876793344,1.4087108919544626,0.4450119248318125,1.2055936406558776,0.2279742124273168,1.7100174011831082,0.7148348094123484,4.090678676872107
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)1:regionSouth East",1.0451134822523183,0.6637048561444969,1.4265221083601396,0.19459981362735443,5.370578022513631,7.848466701470766e-8,2.8437212172301223,1.9419737565240804,4.164191371874748
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)2:regionSouth East",0.27942859761936595,-0.24964056026484877,0.8084977555035806,0.2699382039963208,1.0351576526869628,0.3005952917669205,1.3223739887730361,0.7790807653339684,2.2445336144756527
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)3:regionSouth East",0.05000998966231707,-0.5972752745938045,0.6972952539184386,0.330253652292504,0.15142902830949914,0.8796372922080229,1.0512815982717356,0.5503090361777258,2.0083133770455586
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)4:regionSouth East",0.47754912339347155,-0.6150479034577389,1.5701461502446818,0.5574577060953552,0.8566553447406915,0.39163538924960495,1.6121184529980332,0.5406149973613418,4.807350737922047
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)5:regionSouth East",-0.26334404560648456,-1.58233017989533,1.0556420886823608,0.6729644752111978,-0.39131938654538745,0.6955611707139904,0.7684774605306345,0.20549569793346312,2.873819808796327
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)1:regionSouth West",0.6337308371750968,0.2973820172807296,0.9700796570694641,0.17160969413083296,3.6928615273444216,2.217447786085438e-4,1.884628722247644,1.3463295223639233,2.638154598648623
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)2:regionSouth West",0.7349988043849394,0.2739606089005862,1.1960369998692926,0.23522789149237627,3.124624379030157,0.0017803223782165301,2.0854794990728394,1.3151629955020678,3.3069853363633994
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)3:regionSouth West",-0.016918776191806557,-0.6277621625384688,0.5939246101548556,0.3116605157874926,-0.05428591475264937,0.9567073714047393,0.9832235425521152,0.5337849894738709,1.8110822778692113
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)4:regionSouth West",0.3287566759009768,-0.6671473650187596,1.3246607168207132,0.5081236434828909,0.6470013354378509,0.5176310791772273,1.389239778940643,0.5131703795779126,3.7609091253054765
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)5:regionSouth West",-0.46671794837288316,-1.7247986926844847,0.7913627959387184,0.641889725645564,-0.7270998891647528,0.46716476664637685,0.6270569278993632,0.17820892292208923,2.2064012529747994
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)1:regionNorth West",-0.09195946590145947,-0.4373586457655292,0.2534397139626102,0.1762273095773874,-0.5218230143897019,0.6017935641262855,0.9121421216544119,0.6457397980317443,1.2884497016169831
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)2:regionNorth West",0.19440755540672341,-0.28184048170397236,0.6706555925174192,0.24298815736782906,0.8000700837137277,0.42367019298540776,1.214591195305886,0.7543940145831513,1.9555189240595143
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)3:regionNorth West",-0.12851086198942874,-0.726625616974864,0.4696038929960066,0.30516619677876144,-0.42111761835337286,0.6736691969233302,0.8794040102894751,0.48353788231354783,1.599360549814658
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)4:regionNorth West",1.0992419367977984,0.1295074821796881,2.0689763914159087,0.4947715683896501,2.2217160544926595,0.0263025008812183,3.0018895391990505,1.13826762815385,7.91671535117636
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)5:regionNorth West",1.0404746650357588,-0.12257164791907327,2.203520977990591,0.593401879896158,1.7534064186278548,0.07953227003753506,2.8305602635183327,0.8846425198771337,9.056846381882881
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)1:regionLondon",0.7491335539599411,0.3250595962850522,1.17320751163483,0.21636823993702448,3.4623083044812017,5.355632772701677e-4,2.1151665447483974,1.3841131315235418,3.2323438092797105
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)2:regionLondon",0.49752710764291197,-0.1047926058895775,1.0998468211754013,0.3073116232152788,1.6189661244748395,0.10545455198344383,1.6446491974453872,0.9005112639535795,3.00370588456869
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)3:regionLondon",-1.7548243014265377,-2.6123312806847694,-0.8973173221683061,0.43751160022436,-4.010920625936884,6.0482443099127087e-5,0.17293762451650696,0.0733633137716558,0.4076618194551511
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)4:regionLondon",0.7261870551023168,-0.4335534386720443,1.885927548876678,0.5917152064641221,1.227257719878031,0.21972574131647804,2.067183504835497,0.6482016526545418,6.592466441830241
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment","ns(tstop, df = 5)5:regionLondon",0.5725937898441106,-0.6918919623803569,1.8370795420685782,0.6451576468744171,0.8875253864201172,0.3747961046692728,1.7728595179251465,0.5006280031478229,6.278176311622994
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",(Intercept),-14.645387057666266,-22.318817910697604,-6.971956204634928,3.915087681997416,-3.740755826493883,1.8346769462318982e-4,4.3610314186386186e-7,2.0279653894615634e-10,9.378165491967646e-4
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",timesincevax_pw1-3,-1.706059051559151,-1.8583526518635234,-1.5537654512547785,0.07770224427879545,-21.95636776510361,7.528155000920988e-107,0.1815799817474658,0.15592928873032955,0.21145026723255253
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",timesincevax_pw4-7,-1.2924691223752456,-1.4007600762792498,-1.1841781684712414,0.05525150194503037,-23.392470374128852,5.098449228485364e-121,0.2745919442529367,0.24640960265223544,0.3059975546286766
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",timesincevax_pw8-14,-0.9768653303429141,-1.0528129540100304,-0.9009177066757978,0.03874949961641205,-25.20975341651045,3.1314297905154426e-140,0.3764894210254548,0.3489547734972962,0.4061967192008636
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",timesincevax_pw15-21,-1.0786173782710196,-1.1606359849760168,-0.9965987715660222,0.04184699685910033,-25.775263680276645,1.6796887269016342e-146,0.3400653825400869,0.3132868717668947,0.36913281348151245
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",timesincevax_pw22-28,-1.2211598619807256,-1.3284618062641627,-1.1138579176972885,0.05474689592758901,-22.3055543385673,3.263682252180555e-110,0.2948879391846736,0.26488439160879834,0.32828999907631906
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",timesincevax_pw29-35,-1.2684831120971851,-1.3911980974398317,-1.1457681267545385,0.06261083688812996,-20.259801260341717,2.911353915556494e-91,0.2812579351212158,0.24877706684150525,0.3179795753402307
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",timesincevax_pw36+,-1.323220520449686,-1.4367149489812796,-1.2097260919180925,0.05790638472279245,-22.851029757498488,1.4273387080103674e-115,0.26627637110761787,0.23770735826825973,0.2982789692619679
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders","poly(age, degree = 2, raw = TRUE)1",0.09489893077698602,-0.08198717142315545,0.2717850329771275,0.09024966968546184,1.0515155469014765,0.2930218728050697,1.0995477190763465,0.9212837773802738,1.3123048687168637
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders","poly(age, degree = 2, raw = TRUE)2",-3.3972549069306596e-4,-0.0013570699444645758,6.776189630784439e-4,5.190628306418859e-4,-0.6544978192195982,0.5127911316813906,0.9996603322094771,0.998643850458555,1.0006778485986736
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",sexMale,0.17230780027815185,0.12697885743338352,0.21763674312292017,0.023127436627569314,7.45036309267195,9.30836915115687e-14,1.188043457047996,1.135393012405319,1.243135408103681
