brand,timesincevax_pw,postest_q,covidadmitted_q,coviddeath_q,noncoviddeath_q,death_q,postest_rr,covidadmitted_rr,coviddeath_rr,noncoviddeath_rr,death_rr,postest_rrCI,covidadmitted_rrCI,coviddeath_rrCI,noncoviddeath_rrCI,death_rrCI
Any vaccine,Unvaccinated,"13,117 / 88,514","8,770 / 88,845","4,563 / 89,716","7,442 / 89,716","12,005 / 89,716",1.00,1.00,1.00,1.00,1.00,NA,NA,NA,NA,NA
Any vaccine,1-3,"326 /  6,773","288 /  6,800","19 /  6,830","155 /  6,830","174 /  6,830",0.32,0.43,0.05,0.27,0.19,(0.29-0.36),(0.38-0.48),(0.03-0.09),(0.23-0.32),(0.16-0.22)
Any vaccine,4-7,"635 /  9,016","438 /  9,053","43 /  9,094","304 /  9,094","347 /  9,094",0.48,0.49,0.09,0.40,0.29,(0.44-0.51),(0.44-0.54),(0.07-0.13),(0.36-0.45),(0.26-0.32)
Any vaccine,8-14,"1,324 / 15,732","867 / 15,803","177 / 15,882","609 / 15,882","786 / 15,882",0.57,0.56,0.22,0.46,0.37,(0.54-0.60),(0.52-0.60),(0.19-0.25),(0.42-0.50),(0.34-0.40)
Any vaccine,15-21,"1,096 / 15,665","665 / 15,742","284 / 15,828","689 / 15,828","973 / 15,828",0.47,0.43,0.35,0.52,0.46,(0.44-0.50),(0.39-0.46),(0.31-0.40),(0.48-0.57),(0.43-0.49)
Any vaccine,22-28,"727 / 15,591","453 / 15,670","260 / 15,756","732 / 15,756","992 / 15,756",0.31,0.29,0.32,0.56,0.47,(0.29-0.34),(0.27-0.32),(0.29-0.37),(0.52-0.60),(0.44-0.50)
Any vaccine,29-35,"565 / 15,506","331 / 15,586","198 / 15,669","715 / 15,669","913 / 15,669",0.25,0.22,0.25,0.55,0.44,(0.23-0.27),(0.19-0.24),(0.21-0.29),(0.51-0.59),(0.41-0.47)
Any vaccine,36+,"1,353 / 91,174","763 / 91,564","485 / 91,931","4,028 / 91,931","4,513 / 91,931",0.10,0.08,0.10,0.53,0.37,(0.09-0.11),(0.08-0.09),(0.09-0.11),(0.51-0.55),(0.35-0.38)
Any vaccine,Total,"19,143 /257,972","12,575 /259,064","6,029 /260,705","14,674 /260,705","20,703 /260,705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BNT162b2,Unvaccinated,"13,117 / 88,514","8,770 / 88,845","4,563 / 89,716","7,442 / 89,716","12,005 / 89,716",1.00,1.00,1.00,1.00,1.00,NA,NA,NA,NA,NA
BNT162b2,1-3,"174 /  5,066","141 /  5,074","-- /  5,078","59 /  5,078","62 /  5,078",0.23,0.28,NA,0.14,0.09,(0.20-0.27),(0.24-0.33),NA,(0.11-0.18),(0.07-0.12)
BNT162b2,4-7,"370 /  6,750","273 /  6,760","-- /  6,768","115 /  6,768","131 /  6,768",0.37,0.41,NA,0.20,0.14,(0.33-0.41),(0.36-0.46),NA,(0.17-0.25),(0.12-0.17)
BNT162b2,8-14,"900 / 11,794","578 / 11,816","88 / 11,836","244 / 11,836","332 / 11,836",0.51,0.50,0.15,0.25,0.21,(0.48-0.55),(0.45-0.54),(0.12-0.18),(0.22-0.28),(0.19-0.23)
BNT162b2,15-21,"791 / 11,767","468 / 11,795","148 / 11,824","296 / 11,824","444 / 11,824",0.45,0.40,0.25,0.30,0.28,(0.42-0.49),(0.37-0.44),(0.21-0.29),(0.27-0.34),(0.25-0.31)
BNT162b2,22-28,"544 / 11,740","333 / 11,772","170 / 11,806","368 / 11,806","538 / 11,806",0.31,0.29,0.28,0.38,0.34,(0.29-0.34),(0.26-0.32),(0.24-0.33),(0.34-0.42),(0.31-0.37)
BNT162b2,29-35,"438 / 11,711","253 / 11,747","131 / 11,783","340 / 11,783","471 / 11,783",0.25,0.22,0.22,0.35,0.30,(0.23-0.28),(0.19-0.25),(0.18-0.26),(0.31-0.39),(0.27-0.33)
BNT162b2,36+,"1,108 / 76,783","623 / 77,044","378 / 77,289","2,774 / 77,289","3,152 / 77,289",0.10,0.08,0.10,0.43,0.30,(0.09-0.10),(0.08-0.09),(0.09-0.11),(0.41-0.45),(0.29-0.32)
BNT162b2,Total,"17,442 /224,125","11,439 /224,854","5,497 /226,099","11,638 /226,099","17,135 /226,099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChAdOx1,Unvaccinated,"7,419 / 32,748","4,479 / 33,062","3,722 / 33,798","4,397 / 33,798","8,119 / 33,798",1.00,1.00,1.00,1.00,1.00,NA,NA,NA,NA,NA
ChAdOx1,1-3,"152 /  1,706","147 /  1,727","16 /  1,752","96 /  1,752","112 /  1,752",0.39,0.63,0.08,0.42,0.27,(0.33-0.46),(0.53-0.74),(0.05-0.13),(0.34-0.52),(0.22-0.32)
ChAdOx1,4-7,"264 /  2,266","165 /  2,293","27 /  2,326","189 /  2,326","216 /  2,326",0.51,0.53,0.11,0.62,0.39,(0.45-0.58),(0.45-0.62),(0.07-0.15),(0.54-0.72),(0.34-0.44)
ChAdOx1,8-14,"424 /  3,937","289 /  3,986","89 /  4,045","365 /  4,045","454 /  4,045",0.48,0.54,0.20,0.69,0.47,(0.43-0.52),(0.47-0.60),(0.16-0.25),(0.62-0.77),(0.42-0.51)
ChAdOx1,15-21,"305 /  3,897","197 /  3,945","136 /  4,003","393 /  4,003","529 /  4,003",0.35,0.37,0.31,0.75,0.55,(0.31-0.39),(0.32-0.43),(0.26-0.37),(0.68-0.84),(0.50-0.60)
ChAdOx1,22-28,"183 /  3,849","120 /  3,895","90 /  3,948","364 /  3,948","454 /  3,948",0.21,0.23,0.21,0.71,0.48,(0.18-0.24),(0.19-0.27),(0.17-0.26),(0.64-0.79),(0.43-0.53)
ChAdOx1,29-35,"127 /  3,792","78 /  3,836","67 /  3,883","375 /  3,883","442 /  3,883",0.15,0.15,0.16,0.74,0.47,(0.12-0.18),(0.12-0.19),(0.12-0.20),(0.67-0.83),(0.43-0.52)
