outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
"Positive
SARS-CoV-2
test",Any vaccine,1-3,NA,0.32 (0.28-0.37),0.32 (0.28-0.36),0.34 (0.30-0.38), 67.7 (63.3-71.6), 68.4 (64.1-72.2), 66.2 (61.5-70.3)
"Positive
SARS-CoV-2
test",Any vaccine,4-7,NA,0.49 (0.44-0.54),0.48 (0.43-0.53),0.51 (0.46-0.56), 51.2 (45.9-55.9), 52.5 (47.4-57.1), 49.0 (43.5-54.0)
"Positive
SARS-CoV-2
test",Any vaccine,8-14,NA,0.59 (0.54-0.65),0.57 (0.52-0.62),0.62 (0.56-0.68), 40.9 (35.3-46.0), 42.9 (37.5-47.8), 38.2 (32.4-43.5)
"Positive
SARS-CoV-2
test",Any vaccine,15-21,NA,0.50 (0.44-0.55),0.47 (0.42-0.53),0.52 (0.46-0.58), 50.5 (44.7-55.6), 52.6 (47.1-57.5), 48.2 (42.2-53.6)
"Positive
SARS-CoV-2
test",Any vaccine,22-28,NA,0.40 (0.35-0.46),0.38 (0.34-0.44),0.43 (0.37-0.49), 59.6 (53.7-64.7), 61.7 (56.2-66.5), 57.4 (51.3-62.8)
"Positive
SARS-CoV-2
test",Any vaccine,29-35,NA,0.36 (0.31-0.43),0.34 (0.29-0.40),0.39 (0.33-0.45), 63.6 (57.2-69.1), 65.7 (59.7-70.8), 61.4 (54.7-67.2)
"Positive
SARS-CoV-2
test",Any vaccine,36+,NA,0.38 (0.32-0.44),0.35 (0.30-0.41),0.40 (0.34-0.46), 62.4 (56.2-67.8), 64.7 (59.0-69.6), 60.1 (53.6-65.7)
"Positive
SARS-CoV-2
test",BNT162b2,1-3,NA,0.29 (0.24-0.36),0.29 (0.24-0.35),0.30 (0.25-0.37), 70.6 (64.3-75.9), 71.3 (65.0-76.5), 69.7 (63.0-75.1)
"Positive
SARS-CoV-2
test",BNT162b2,4-7,NA,0.51 (0.44-0.58),0.50 (0.43-0.57),0.53 (0.46-0.61), 49.3 (41.7-55.9), 50.3 (42.8-56.8), 47.0 (39.0-54.0)
"Positive
SARS-CoV-2
test",BNT162b2,8-14,NA,0.52 (0.46-0.59),0.51 (0.45-0.58),0.55 (0.49-0.63), 47.7 (40.9-53.7), 48.6 (42.0-54.5), 44.6 (37.4-50.9)
"Positive
SARS-CoV-2
test",BNT162b2,15-21,NA,0.38 (0.33-0.45),0.38 (0.32-0.44),0.41 (0.35-0.48), 61.8 (55.5-67.2), 62.5 (56.3-67.8), 59.2 (52.5-64.9)
"Positive
SARS-CoV-2
test",BNT162b2,22-28,NA,0.34 (0.28-0.40),0.33 (0.27-0.39),0.37 (0.31-0.44), 66.5 (59.9-72.0), 67.2 (60.7-72.6), 63.2 (56.0-69.3)
"Positive
SARS-CoV-2
test",BNT162b2,29-35,NA,0.32 (0.26-0.40),0.31 (0.26-0.39),0.36 (0.29-0.44), 67.8 (60.3-73.9), 68.5 (61.2-74.4), 64.3 (56.0-71.0)
"Positive
SARS-CoV-2
test",BNT162b2,36+,NA,0.37 (0.31-0.44),0.36 (0.30-0.42),0.40 (0.34-0.48), 63.4 (56.1-69.4), 64.4 (57.5-70.2), 59.9 (52.0-66.5)
"Positive
SARS-CoV-2
test",ChAdOx1,1-3,NA,0.34 (0.29-0.40),0.33 (0.28-0.39),0.36 (0.30-0.42), 66.1 (60.0-71.2), 66.7 (60.8-71.8), 64.4 (58.0-69.9)
"Positive
SARS-CoV-2
test",ChAdOx1,4-7,NA,0.45 (0.39-0.52),0.44 (0.39-0.51),0.48 (0.42-0.55), 55.0 (48.5-60.7), 55.8 (49.4-61.3), 52.3 (45.4-58.4)
"Positive
SARS-CoV-2
test",ChAdOx1,8-14,NA,0.58 (0.52-0.65),0.58 (0.51-0.64),0.63 (0.56-0.70), 41.7 (34.7-47.9), 42.4 (35.6-48.5), 37.1 (29.7-43.8)
"Positive
SARS-CoV-2
test",ChAdOx1,15-21,NA,0.50 (0.44-0.58),0.50 (0.44-0.57),0.56 (0.48-0.64), 49.6 (42.1-56.2), 50.0 (42.6-56.4), 44.4 (36.2-51.6)
"Positive
SARS-CoV-2
test",ChAdOx1,22-28,NA,0.38 (0.32-0.45),0.38 (0.32-0.45),0.43 (0.36-0.51), 62.0 (54.9-68.0), 62.2 (55.1-68.1), 57.4 (49.5-64.1)
"Positive
SARS-CoV-2
test",ChAdOx1,29-35,NA,0.33 (0.27-0.40),0.33 (0.27-0.40),0.37 (0.30-0.46), 67.2 (59.7-73.3), 67.3 (59.8-73.3), 62.8 (54.1-69.7)
"Positive
SARS-CoV-2
test",ChAdOx1,36+,NA,0.36 (0.30-0.43),0.36 (0.31-0.44),0.41 (0.34-0.49), 63.8 (56.7-69.7), 63.5 (56.5-69.4), 58.8 (50.6-65.6)
"COVID-19
hospitalisation",Any vaccine,1-3,NA,0.23 (0.19-0.28),0.22 (0.18-0.26),0.24 (0.20-0.29), 77.0 (72.2-80.9), 78.4 (73.9-82.1), 76.4 (71.4-80.5)
"COVID-19
hospitalisation",Any vaccine,4-7,NA,0.23 (0.19-0.27),0.21 (0.18-0.25),0.22 (0.19-0.27), 77.4 (73.2-81.0), 79.1 (75.2-82.4), 77.7 (73.5-81.2)
"COVID-19
hospitalisation",Any vaccine,8-14,NA,0.27 (0.23-0.31),0.24 (0.21-0.28),0.27 (0.23-0.31), 73.2 (69.3-76.7), 75.7 (72.1-78.9), 73.4 (69.4-76.9)
"COVID-19
hospitalisation",Any vaccine,15-21,NA,0.21 (0.17-0.24),0.18 (0.15-0.22),0.20 (0.17-0.24), 79.4 (75.7-82.5), 81.7 (78.4-84.5), 79.9 (76.3-83.0)
"COVID-19
hospitalisation",Any vaccine,22-28,NA,0.14 (0.11-0.17),0.12 (0.10-0.15),0.14 (0.11-0.17), 86.2 (83.0-88.8), 87.9 (85.1-90.2), 86.4 (83.2-89.0)
"COVID-19
hospitalisation",Any vaccine,29-35,NA,0.12 (0.10-0.16),0.11 (0.09-0.14),0.12 (0.09-0.15), 87.5 (84.2-90.2), 89.2 (86.2-91.5), 88.1 (84.8-90.6)
"COVID-19
hospitalisation",Any vaccine,36+,NA,0.11 (0.09-0.13),0.09 (0.07-0.11),0.10 (0.08-0.13), 89.3 (86.8-91.3), 90.8 (88.7-92.6), 89.8 (87.4-91.8)
"COVID-19
hospitalisation",BNT162b2,1-3,NA,0.19 (0.14-0.27),0.18 (0.13-0.25),0.20 (0.14-0.27), 80.6 (73.2-86.0), 82.1 (75.3-87.1), 80.3 (72.6-85.8)
"COVID-19
hospitalisation",BNT162b2,4-7,NA,0.21 (0.16-0.28),0.19 (0.15-0.26),0.22 (0.16-0.29), 78.8 (72.3-83.8), 80.5 (74.5-85.1), 78.3 (71.4-83.5)
"COVID-19
hospitalisation",BNT162b2,8-14,NA,0.27 (0.22-0.33),0.25 (0.20-0.30),0.27 (0.22-0.33), 73.1 (67.3-77.9), 75.3 (69.9-79.7), 72.8 (66.8-77.7)
"COVID-19
hospitalisation",BNT162b2,15-21,NA,0.16 (0.12-0.21),0.15 (0.11-0.19),0.16 (0.13-0.21), 83.9 (79.2-87.5), 85.3 (80.9-88.6), 83.8 (79.0-87.5)
"COVID-19
hospitalisation",BNT162b2,22-28,NA,0.10 (0.07-0.14),0.09 (0.06-0.12),0.10 (0.07-0.14), 90.1 (86.3-92.9), 91.1 (87.6-93.7), 89.9 (85.8-92.8)
"COVID-19
hospitalisation",BNT162b2,29-35,NA,0.12 (0.09-0.17),0.11 (0.08-0.15),0.12 (0.09-0.17), 87.7 (82.7-91.2), 89.1 (84.6-92.3), 87.7 (82.7-91.3)
