outcome,outcome_var,outcome_descr,brand,brand_descr,stratum,model,model_descr,model_descr_wrap,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,term_left,term_right,term_midpoint,ve,ve.ll,ve.ul,diff,diff.std.error,z,diff.ll,diff.ul,diff.p.value
postest,positive_test_1_date,"Positive
SARS-CoV-2
test",any,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",1-3,-0.20407995504849846,-0.24099179532807408,-0.16716811476892285,0.01883291763049296,-10.836342995419162,2.31542664100115e-27,0.8153971734603341,0.785848073987526,0.8460573646422859,0,3,1.5,0.18460282653966587,0.15394263535771413,0.21415192601247401,0,NA,NA,NA,NA,NA
postest,positive_test_1_date,"Positive
SARS-CoV-2
test",any,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",4-7,-0.13396457004354537,-0.1680161032673377,-0.09991303681975303,0.017373550479695805,-7.7108343628498766,1.2499780869537494e-14,0.8746210518401736,0.8453402218354699,0.9049161089969969,3,7,5,0.12537894815982642,0.09508389100300307,0.15465977816453014,0,NA,NA,NA,NA,NA
postest,positive_test_1_date,"Positive
SARS-CoV-2
test",any,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",8-14,-0.07752018820879074,-0.10949312272514986,-0.045547253692431615,0.01631302144761718,-4.752043541272608,2.0137099326286686e-6,0.9254083418712318,0.8962883283620923,0.9554744518093207,7,14,10.5,0.07459165812876822,0.04452554819067933,0.10371167163790773,0,NA,NA,NA,NA,NA
postest,positive_test_1_date,"Positive
SARS-CoV-2
test",any,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",15-21,-0.1059443889193283,-0.14265941561171924,-0.06922936222693736,0.018732500689805726,-5.655645803711808,1.5526136036835484e-8,0.899474667443389,0.8670493220762915,0.9331126347402952,14,21,17.5,0.100525332556611,0.06688736525970485,0.13295067792370852,0,NA,NA,NA,NA,NA
postest,positive_test_1_date,"Positive
SARS-CoV-2
test",any,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",22-28,-0.1420349716931463,-0.1837510085755719,-0.10031893481072071,0.021284083386978726,-6.673295208946659,2.5012253455167394e-11,0.8675909148321176,0.8321429744982892,0.904548879900179,21,28,24.5,0.1324090851678824,0.09545112009982104,0.16785702550171078,0,NA,NA,NA,NA,NA
postest,positive_test_1_date,"Positive
SARS-CoV-2
test",any,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",29-35,-0.052171305322245856,-0.09754949321855885,-0.00679311742593286,0.02315256211555435,-2.2533707095508078,0.024235784756160873,0.9491662556839139,0.9070574472523468,0.9932299036384877,28,35,31.5,0.050833744316086116,0.006770096361512268,0.09294255274765317,0,NA,NA,NA,NA,NA
postest,positive_test_1_date,"Positive
SARS-CoV-2
test",any,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",36+,0.07582223547040419,0.026872065682558906,0.12477240525824948,0.024975035344505302,3.0359210477388037,0.0023980214796946947,1.0787707899295589,1.0272363755720852,1.1328905837832453,35,42,38.5,-0.07877078992955888,-0.13289058378324525,-0.027236375572085247,0,NA,NA,NA,NA,NA
postest,positive_test_1_date,"Positive
SARS-CoV-2
test",any,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",1-3,-0.22261866411063067,-0.2595734656691672,-0.18566386255209408,0.018854837053145543,-11.806978945675445,3.5923833623688786e-32,0.8004200199847777,0.7713805359250273,0.8305527279401055,0,3,1.5,0.19957998001522226,0.16944727205989452,0.2286194640749727,0,NA,NA,NA,NA,NA
postest,positive_test_1_date,"Positive
SARS-CoV-2
test",any,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",4-7,-0.15695334677042153,-0.19110970463843766,-0.1227969889024054,0.017427033423796118,-9.006314669489656,2.1309711464595868e-19,0.8547439344525191,0.8260419625454247,0.8844431961205562,3,7,5,0.14525606554748094,0.11555680387944378,0.17395803745457528,0,NA,NA,NA,NA,NA
postest,positive_test_1_date,"Positive
SARS-CoV-2
test",any,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",8-14,-0.10770454739816507,-0.13990730029344572,-0.0755017945028844,0.016430277877191563,-6.55524807329522,5.554945392698281e-11,0.8978928420210995,0.8694388283875333,0.9272780665293407,7,14,10.5,0.10210715797890046,0.07272193347065925,0.13056117161246672,0,NA,NA,NA,NA,NA
postest,positive_test_1_date,"Positive
SARS-CoV-2
test",any,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",15-21,-0.14487547302426734,-0.18200735773546528,-0.10774358831306942,0.018945187260628004,-7.647085828776598,2.0558511281781446e-14,0.8651300184280585,0.833595207020153,0.8978577881473331,14,21,17.5,0.13486998157194152,0.10214221185266692,0.166404792979847,0,NA,NA,NA,NA,NA
