outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.68,(0.65-0.70), 32.3,(29.7-34.7),0.68 (0.65-0.70), 32.3 (29.7-34.7)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.71,(0.68-0.73), 29.3,(26.9-31.6),0.71 (0.68-0.73), 29.3 (26.9-31.6)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.75,(0.73-0.77), 24.7,(22.7-26.8),0.75 (0.73-0.77), 24.7 (22.7-26.8)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.79,(0.76-0.81), 21.5,(19.2-23.7),0.79 (0.76-0.81), 21.5 (19.2-23.7)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.80,(0.78-0.83), 19.8,(17.1-22.4),0.80 (0.78-0.83), 19.8 (17.1-22.4)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.77,(0.75-0.80), 22.5,(19.7-25.2),0.77 (0.75-0.80), 22.5 (19.7-25.2)
"Positive
SARS-CoV-2
test",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.77,(0.74-0.79), 23.3,(20.5-25.9),0.77 (0.74-0.79), 23.3 (20.5-25.9)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.68,(0.65-0.70), 32.1,(29.6-34.6),0.68 (0.65-0.70), 32.1 (29.6-34.6)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.71,(0.69-0.73), 29.1,(26.7-31.4),0.71 (0.69-0.73), 29.1 (26.7-31.4)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.75,(0.73-0.78), 24.5,(22.4-26.6),0.75 (0.73-0.78), 24.5 (22.4-26.6)
"Positive
SARS-CoV-2
test",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.79,(0.76-0.81), 21.3,(19.0-23.5),0.79 (0.76-0.81), 21.3 (19.0-23.5)
