stratum,var_label,label,Any vaccine_HR_ECI,BNT162b2_HR_ECI,ChAdOx1_HR_ECI
all,Age,Age,1.21 (1.11-1.31),1.50 (1.35-1.67),0.94 (0.84-1.05)
all,Age,Age²,1.00 (1.00-1.00),1.00 (1.00-1.00),1.00 (1.00-1.00)
all,Sex,Female,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Sex,Male,1.08 (1.06-1.10),1.11 (1.09-1.14),0.98 (0.94-1.01)
all,IMD,1 most deprived,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,IMD,2,1.16 (1.13-1.20),1.20 (1.15-1.24),1.09 (1.04-1.15)
all,IMD,3,1.24 (1.20-1.28),1.22 (1.17-1.26),1.22 (1.16-1.29)
all,IMD,4,1.31 (1.27-1.35),1.29 (1.24-1.33),1.32 (1.26-1.39)
all,IMD,5 least deprived,1.45 (1.40-1.50),1.47 (1.41-1.52),1.31 (1.25-1.39)
all,Ethnicity,White,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Ethnicity,Black,0.49 (0.42-0.57),0.49 (0.41-0.59),0.48 (0.40-0.57)
all,Ethnicity,South Asian,0.47 (0.45-0.50),0.46 (0.43-0.50),0.47 (0.44-0.51)
all,Ethnicity,Mixed,0.70 (0.57-0.84),0.70 (0.56-0.88),0.77 (0.59-1.00)
all,Ethnicity,Other,0.80 (0.67-0.94),0.85 (0.71-1.02),0.73 (0.58-0.93)
all,Body Mass Index,Not obese,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Body Mass Index,Obese I (30-34.9),1.01 (0.98-1.04),1.03 (1.00-1.06),0.96 (0.92-1.01)
all,Body Mass Index,Obese II (35-39.9),0.94 (0.87-1.00),0.89 (0.82-0.96),1.06 (0.96-1.17)
all,Body Mass Index,Obese III (40+),0.81 (0.74-0.89),0.71 (0.62-0.80),1.08 (0.94-1.25)
all,Heart failure,Heart failure,0.93 (0.90-0.97),0.90 (0.86-0.95),1.04 (0.98-1.10)
all,Other heart disease,Other heart disease,1.06 (1.01-1.11),1.04 (0.98-1.10),1.10 (1.03-1.18)
all,Dialysis,Dialysis,0.95 (0.74-1.21),0.93 (0.69-1.25),1.12 (0.79-1.59)
all,Diabetes,Diabetes,0.96 (0.92-1.02),0.94 (0.88-1.00),1.06 (0.98-1.14)
all,Chronic liver disease,Chronic liver disease,0.99 (0.88-1.12),0.90 (0.78-1.05),1.10 (0.90-1.34)
all,COPD,COPD,0.95 (0.90-1.00),0.94 (0.88-1.00),0.98 (0.91-1.06)
all,Other respiratory conditions,Other respiratory conditions,0.95 (0.90-1.01),0.94 (0.88-1.00),1.02 (0.95-1.11)
all,Lung Cancer,Lung Cancer,1.13 (1.00-1.27),1.06 (0.91-1.22),1.18 (0.97-1.45)
all,Haematological cancer,Haematological cancer,0.98 (0.90-1.07),0.95 (0.86-1.05),1.15 (1.01-1.31)
all,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.04 (0.99-1.10),1.01 (0.95-1.07),1.12 (1.03-1.21)
all,Immunosuppressed,Immunosuppressed,1.04 (0.98-1.10),1.01 (0.95-1.09),1.14 (1.04-1.25)
all,Dementia,Dementia,0.79 (0.75-0.84),0.70 (0.66-0.76),1.05 (0.97-1.14)
all,Other neurological conditions,Other neurological conditions,0.80 (0.74-0.86),0.74 (0.67-0.81),0.98 (0.88-1.08)
all,Learning disabilities,Learning disabilities,0.70 (0.50-1.00),0.56 (0.32-1.00),0.88 (0.49-1.60)
all,Serious mental illness,Serious mental illness,0.75 (0.67-0.84),0.66 (0.57-0.76),0.95 (0.81-1.11)
all,Morbidity count,0,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Morbidity count,1,1.02 (0.97-1.07),1.06 (1.00-1.13),0.90 (0.83-0.97)
all,Morbidity count,2,1.02 (0.93-1.12),1.10 (0.99-1.23),0.82 (0.71-0.94)
all,Morbidity count,3,1.09 (0.95-1.26),1.21 (1.03-1.44),0.77 (0.63-0.95)
all,Morbidity count,4+,1.05 (0.86-1.27),1.20 (0.94-1.52),0.70 (0.53-0.94)
all,Shielding criteria met,Shielding criteria met,1.03 (1.00-1.06),1.01 (0.98-1.05),1.06 (1.02-1.12)
all,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.96 (1.89-2.03),1.87 (1.80-1.94),2.02 (1.93-2.12)
all,Frailty,None,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Frailty,Mild,1.16 (1.11-1.21),1.10 (1.05-1.15),1.39 (1.28-1.50)
all,Frailty,Moderate,1.12 (1.07-1.17),1.05 (1.00-1.10),1.40 (1.29-1.52)
all,Frailty,Severe,1.01 (0.97-1.07),0.92 (0.87-0.97),1.40 (1.28-1.53)
all,region,East Midlands,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,region,Yorkshire and The Humber,0.42 (0.02-7.93),0.16 (0.01-2.34),0.18 (0.01-2.31)
all,region,North East,0.01 (0.00-3.35),0.06 (0.00-13.28),0.00 (0.00-990 238 845.61)
all,region,East,1 043.29 (56.06-19 415.61),524.01 (36.21-7 584.12),0.05 (0.00-0.80)
all,region,South East,19.22 (0.62-596.68),5.01 (0.19-135.47),12.09 (0.96-152.49)
all,region,South West,3.23 (0.00-2 786.73),0.97 (0.00-1 002.92),0.01 (0.00-154.22)
all,region,North West,0.01 (0.00-85.01),0.00 (0.00-61.60),0.10 (0.00-68.68)
all,region,London,0.00 (0.00-3.09),0.00 (0.00-10.60),0.00 (0.00-18 611 512 179 327.66)
all,region,West Midlands,0.00 (0.00-1 158 416 176 336.29),0.00 (0.00-18 100 786 667.98),0.00 (0.00-0.00)
all,Time since suspected COVID,Not suspected,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since suspected COVID,1-21,1.15 (0.92-1.44),1.28 (1.01-1.61),1.12 (0.81-1.54)
all,Time since suspected COVID,22-28,1.06 (0.66-1.69),1.02 (0.58-1.82),1.20 (0.61-2.37)
all,Time since suspected COVID,29+,1.05 (0.69-1.61),1.24 (0.72-2.14),0.97 (0.63-1.49)
all,Time since discharge from infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since discharge from infectious hosp admission,In hospital,0.86 (0.84-0.89),0.91 (0.88-0.94),0.09 (0.06-0.14)
all,Time since discharge from infectious hosp admission,1-21,0.51 (0.45-0.57),0.41 (0.34-0.49),0.72 (0.63-0.83)
all,Time since discharge from infectious hosp admission,22-28,0.82 (0.65-1.03),0.59 (0.43-0.83),1.06 (0.82-1.37)
all,Time since discharge from non-infectious hosp admission,Not in hospital,1 (NA-NA),1 (NA-NA),1 (NA-NA)
all,Time since discharge from non-infectious hosp admission,In hospital,0.93 (0.87-0.98),0.94 (0.89-1.00),0.48 (0.28-0.85)
all,Time since discharge from non-infectious hosp admission,1-21,0.65 (0.45-0.93),0.45 (0.27-0.75),1.11 (0.67-1.84)
all,Time since discharge from non-infectious hosp admission,22-28,0.74 (0.41-1.32),1.06 (0.56-1.99),0.35 (0.12-1.05)
