stratum,brand_descr,var_label,label,HR,CI,HR_ECI
all,Any vaccine,Age,Age,1.21,(1.11-1.31),1.21 (1.11-1.31)
all,Any vaccine,Age,Age²,1.00,(1.00-1.00),1.00 (1.00-1.00)
all,Any vaccine,Sex,Female,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Sex,Male,1.08,(1.06-1.10),1.08 (1.06-1.10)
all,Any vaccine,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
all,Any vaccine,IMD,2,1.16,(1.13-1.20),1.16 (1.13-1.20)
all,Any vaccine,IMD,3,1.24,(1.20-1.28),1.24 (1.20-1.28)
all,Any vaccine,IMD,4,1.31,(1.27-1.35),1.31 (1.27-1.35)
all,Any vaccine,IMD,5 least deprived,1.45,(1.40-1.50),1.45 (1.40-1.50)
all,Any vaccine,Ethnicity,White,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Ethnicity,Black,0.49,(0.42-0.57),0.49 (0.42-0.57)
all,Any vaccine,Ethnicity,South Asian,0.47,(0.45-0.50),0.47 (0.45-0.50)
all,Any vaccine,Ethnicity,Mixed,0.70,(0.57-0.84),0.70 (0.57-0.84)
all,Any vaccine,Ethnicity,Other,0.80,(0.67-0.94),0.80 (0.67-0.94)
all,Any vaccine,Body Mass Index,Not obese,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Body Mass Index,Obese I (30-34.9),1.01,(0.98-1.04),1.01 (0.98-1.04)
all,Any vaccine,Body Mass Index,Obese II (35-39.9),0.94,(0.87-1.00),0.94 (0.87-1.00)
all,Any vaccine,Body Mass Index,Obese III (40+),0.81,(0.74-0.89),0.81 (0.74-0.89)
all,Any vaccine,Heart failure,Heart failure,0.93,(0.90-0.97),0.93 (0.90-0.97)
all,Any vaccine,Other heart disease,Other heart disease,1.06,(1.01-1.11),1.06 (1.01-1.11)
all,Any vaccine,Dialysis,Dialysis,0.95,(0.74-1.21),0.95 (0.74-1.21)
all,Any vaccine,Diabetes,Diabetes,0.96,(0.92-1.02),0.96 (0.92-1.02)
all,Any vaccine,Chronic liver disease,Chronic liver disease,0.99,(0.88-1.12),0.99 (0.88-1.12)
all,Any vaccine,COPD,COPD,0.95,(0.90-1.00),0.95 (0.90-1.00)
all,Any vaccine,Other respiratory conditions,Other respiratory conditions,0.95,(0.90-1.01),0.95 (0.90-1.01)
all,Any vaccine,Lung Cancer,Lung Cancer,1.13,(1.00-1.27),1.13 (1.00-1.27)
all,Any vaccine,Haematological cancer,Haematological cancer,0.98,(0.90-1.07),0.98 (0.90-1.07)
all,Any vaccine,"Cancer excl. lung, haemo","Cancer excl. lung, haemo",1.04,(0.99-1.10),1.04 (0.99-1.10)
all,Any vaccine,Immunosuppressed,Immunosuppressed,1.04,(0.98-1.10),1.04 (0.98-1.10)
all,Any vaccine,Dementia,Dementia,0.79,(0.75-0.84),0.79 (0.75-0.84)
all,Any vaccine,Other neurological conditions,Other neurological conditions,0.80,(0.74-0.86),0.80 (0.74-0.86)
all,Any vaccine,Learning disabilities,Learning disabilities,0.70,(0.50-1.00),0.70 (0.50-1.00)
all,Any vaccine,Serious mental illness,Serious mental illness,0.75,(0.67-0.84),0.75 (0.67-0.84)
all,Any vaccine,Morbidity count,0,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Morbidity count,1,1.02,(0.97-1.07),1.02 (0.97-1.07)
all,Any vaccine,Morbidity count,2,1.02,(0.93-1.12),1.02 (0.93-1.12)
all,Any vaccine,Morbidity count,3,1.09,(0.95-1.26),1.09 (0.95-1.26)
all,Any vaccine,Morbidity count,4+,1.05,(0.86-1.27),1.05 (0.86-1.27)
all,Any vaccine,Shielding criteria met,Shielding criteria met,1.03,(1.00-1.06),1.03 (1.00-1.06)
all,Any vaccine,Flu vaccine in previous 5 years,Flu vaccine in previous 5 years,1.96,(1.89-2.03),1.96 (1.89-2.03)
all,Any vaccine,Frailty,None,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Frailty,Mild,1.16,(1.11-1.21),1.16 (1.11-1.21)
all,Any vaccine,Frailty,Moderate,1.12,(1.07-1.17),1.12 (1.07-1.17)
all,Any vaccine,Frailty,Severe,1.01,(0.97-1.07),1.01 (0.97-1.07)
all,Any vaccine,region,East Midlands,1,(NA-NA),1 (NA-NA)
all,Any vaccine,region,Yorkshire and The Humber,0.42,(0.02-7.93),0.42 (0.02-7.93)
all,Any vaccine,region,North East,0.01,(0.00-3.35),0.01 (0.00-3.35)
all,Any vaccine,region,East,1 043.29,(56.06-19 415.61),1 043.29 (56.06-19 415.61)
all,Any vaccine,region,South East,19.22,(0.62-596.68),19.22 (0.62-596.68)
all,Any vaccine,region,South West,3.23,(0.00-2 786.73),3.23 (0.00-2 786.73)
all,Any vaccine,region,North West,0.01,(0.00-85.01),0.01 (0.00-85.01)
all,Any vaccine,region,London,0.00,(0.00-3.09),0.00 (0.00-3.09)
all,Any vaccine,region,West Midlands,0.00,(0.00-1 158 416 176 336.29),0.00 (0.00-1 158 416 176 336.29)
all,Any vaccine,Time since suspected COVID,Not suspected,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since suspected COVID,1-21,1.15,(0.92-1.44),1.15 (0.92-1.44)
all,Any vaccine,Time since suspected COVID,22-28,1.06,(0.66-1.69),1.06 (0.66-1.69)
all,Any vaccine,Time since suspected COVID,29+,1.05,(0.69-1.61),1.05 (0.69-1.61)
all,Any vaccine,Time since discharge from infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since discharge from infectious hosp admission,In hospital,0.86,(0.84-0.89),0.86 (0.84-0.89)
all,Any vaccine,Time since discharge from infectious hosp admission,1-21,0.51,(0.45-0.57),0.51 (0.45-0.57)
all,Any vaccine,Time since discharge from infectious hosp admission,22-28,0.82,(0.65-1.03),0.82 (0.65-1.03)
all,Any vaccine,Time since discharge from non-infectious hosp admission,Not in hospital,1,(NA-NA),1 (NA-NA)
all,Any vaccine,Time since discharge from non-infectious hosp admission,In hospital,0.93,(0.87-0.98),0.93 (0.87-0.98)
all,Any vaccine,Time since discharge from non-infectious hosp admission,1-21,0.65,(0.45-0.93),0.65 (0.45-0.93)
all,Any vaccine,Time since discharge from non-infectious hosp admission,22-28,0.74,(0.41-1.32),0.74 (0.41-1.32)
all,BNT162b2,Age,Age,1.50,(1.35-1.67),1.50 (1.35-1.67)
all,BNT162b2,Age,Age²,1.00,(1.00-1.00),1.00 (1.00-1.00)
all,BNT162b2,Sex,Female,1,(NA-NA),1 (NA-NA)
all,BNT162b2,Sex,Male,1.11,(1.09-1.14),1.11 (1.09-1.14)
all,BNT162b2,IMD,1 most deprived,1,(NA-NA),1 (NA-NA)
all,BNT162b2,IMD,2,1.20,(1.15-1.24),1.20 (1.15-1.24)
