outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
"Positive
SARS-CoV-2
test",Any vaccine,1-3,NA,0.68 (0.65-0.70),0.68 (0.65-0.70),0.68 (0.66-0.71), 32.3 (29.7-34.7), 32.1 (29.6-34.6), 31.8 (29.2-34.2)
"Positive
SARS-CoV-2
test",Any vaccine,4-7,NA,0.71 (0.68-0.73),0.71 (0.69-0.73),0.71 (0.69-0.74), 29.3 (26.9-31.6), 29.1 (26.7-31.4), 28.7 (26.4-31.1)
"Positive
SARS-CoV-2
test",Any vaccine,8-14,NA,0.75 (0.73-0.77),0.75 (0.73-0.78),0.76 (0.74-0.78), 24.7 (22.7-26.8), 24.5 (22.4-26.6), 24.1 (22.0-26.2)
"Positive
SARS-CoV-2
test",Any vaccine,15-21,NA,0.79 (0.76-0.81),0.79 (0.76-0.81),0.79 (0.77-0.81), 21.5 (19.2-23.7), 21.3 (19.0-23.5), 20.9 (18.5-23.1)
"Positive
SARS-CoV-2
test",Any vaccine,22-28,NA,0.80 (0.78-0.83),0.80 (0.78-0.83),0.81 (0.78-0.84), 19.8 (17.1-22.4), 19.7 (17.0-22.4), 19.1 (16.3-21.8)
"Positive
SARS-CoV-2
test",Any vaccine,29-35,NA,0.77 (0.75-0.80),0.77 (0.75-0.80),0.78 (0.75-0.81), 22.5 (19.7-25.2), 22.6 (19.7-25.3), 22.1 (19.2-24.9)
"Positive
SARS-CoV-2
test",Any vaccine,36+,NA,0.77 (0.74-0.79),0.77 (0.74-0.80),0.78 (0.75-0.81), 23.3 (20.5-25.9), 22.9 (20.1-25.6), 22.3 (19.4-25.0)
"Positive
SARS-CoV-2
test",BNT162b2,1-3,NA,0.54 (0.52-0.57),0.56 (0.53-0.58),0.56 (0.54-0.59), 45.8 (43.2-48.2), 44.3 (41.6-46.8), 43.9 (41.2-46.5)
"Positive
SARS-CoV-2
test",BNT162b2,4-7,NA,0.67 (0.64-0.69),0.69 (0.66-0.71),0.69 (0.66-0.72), 33.3 (30.7-35.8), 31.4 (28.7-34.0), 31.0 (28.3-33.6)
"Positive
SARS-CoV-2
test",BNT162b2,8-14,NA,0.71 (0.69-0.73),0.73 (0.71-0.75),0.73 (0.71-0.76), 29.0 (26.8-31.2), 27.1 (24.8-29.3), 26.7 (24.4-28.9)
"Positive
SARS-CoV-2
test",BNT162b2,15-21,NA,0.74 (0.72-0.76),0.76 (0.73-0.78),0.76 (0.74-0.79), 26.1 (23.7-28.4), 24.3 (21.9-26.7), 23.8 (21.3-26.2)
"Positive
SARS-CoV-2
test",BNT162b2,22-28,NA,0.78 (0.75-0.81),0.79 (0.76-0.83),0.80 (0.77-0.83), 22.0 (19.0-24.9), 20.6 (17.5-23.5), 19.7 (16.6-22.7)
"Positive
SARS-CoV-2
test",BNT162b2,29-35,NA,0.83 (0.79-0.86),0.83 (0.80-0.87),0.84 (0.81-0.88), 17.4 (14.0-20.6), 16.5 (13.1-19.8), 15.8 (12.3-19.1)
"Positive
SARS-CoV-2
test",BNT162b2,36+,NA,0.85 (0.82-0.88),0.84 (0.80-0.87),0.84 (0.81-0.88), 15.2 (11.8-18.4), 16.4 (13.1-19.7), 15.5 (12.1-18.8)
"Positive
SARS-CoV-2
test",ChAdOx1,1-3,NA,1.15 (1.08-1.22),1.09 (1.03-1.16),1.11 (1.04-1.18),-15.2 (-22.5--8.4), -9.2 (-16.0--2.7),-10.7 (-17.7--4.1)
"Positive
SARS-CoV-2
test",ChAdOx1,4-7,NA,0.90 (0.84-0.95),0.85 (0.80-0.90),0.86 (0.81-0.91), 10.4 (4.7-15.8), 15.4 (10.0-20.5), 14.1 (8.5-19.3)
"Positive
SARS-CoV-2
test",ChAdOx1,8-14,NA,0.97 (0.92-1.02),0.91 (0.86-0.96),0.92 (0.87-0.97),  2.9 (-2.3-7.8),  8.9 (4.0-13.6),  8.0 (3.1-12.7)
"Positive
SARS-CoV-2
test",ChAdOx1,15-21,NA,1.07 (1.02-1.13),1.00 (0.94-1.05),1.01 (0.95-1.07), -7.3 (-13.3--1.6),  0.4 (-5.3-5.7), -0.8 (-6.6-4.7)
"Positive
SARS-CoV-2
test",ChAdOx1,22-28,NA,1.14 (1.07-1.21),1.05 (0.99-1.11),1.06 (1.00-1.12),-13.7 (-20.5--7.3), -4.5 (-10.9-1.5), -5.9 (-12.4-0.3)
"Positive
SARS-CoV-2
test",ChAdOx1,29-35,NA,0.98 (0.92-1.05),0.89 (0.84-0.95),0.90 (0.84-0.96),  1.8 (-4.6-7.9), 10.5 (4.6-16.1),  9.9 (3.9-15.6)
"Positive
SARS-CoV-2
test",ChAdOx1,36+,NA,1.08 (1.02-1.14),0.98 (0.92-1.03),0.98 (0.93-1.04), -7.5 (-13.6--1.8),  2.4 (-3.4-7.8),  1.8 (-4.0-7.3)
"COVID-19
hospitalisation",Any vaccine,1-3,NA,0.28 (0.25-0.32),0.31 (0.27-0.35),0.32 (0.28-0.36), 71.9 (67.9-75.3), 68.9 (64.5-72.8), 68.4 (63.8-72.3)
"COVID-19
hospitalisation",Any vaccine,4-7,NA,0.31 (0.28-0.35),0.35 (0.31-0.39),0.35 (0.32-0.39), 68.8 (65.2-72.1), 65.2 (61.1-68.8), 64.7 (60.6-68.4)
"COVID-19
hospitalisation",Any vaccine,8-14,NA,0.35 (0.32-0.38),0.40 (0.37-0.44),0.40 (0.37-0.44), 64.9 (61.8-67.7), 59.9 (56.4-63.2), 59.6 (56.0-62.8)
"COVID-19
hospitalisation",Any vaccine,15-21,NA,0.27 (0.25-0.30),0.32 (0.29-0.35),0.32 (0.29-0.36), 72.7 (70.0-75.3), 68.3 (65.0-71.3), 67.8 (64.5-70.8)
"COVID-19
hospitalisation",Any vaccine,22-28,NA,0.24 (0.22-0.28),0.29 (0.26-0.33),0.30 (0.26-0.34), 75.6 (72.5-78.4), 70.8 (66.9-74.2), 70.4 (66.5-73.8)
"COVID-19
hospitalisation",Any vaccine,29-35,NA,0.20 (0.17-0.23),0.24 (0.21-0.28),0.25 (0.22-0.29), 79.9 (76.7-82.6), 75.5 (71.6-78.9), 74.9 (70.9-78.4)
"COVID-19
hospitalisation",Any vaccine,36+,NA,0.20 (0.18-0.22),0.25 (0.22-0.28),0.25 (0.23-0.28), 79.8 (77.6-81.9), 75.3 (72.4-77.9), 74.8 (71.9-77.5)
"COVID-19
hospitalisation",BNT162b2,1-3,NA,0.19 (0.16-0.22),0.21 (0.17-0.25),0.21 (0.18-0.26), 81.4 (77.6-84.5), 79.0 (74.8-82.5), 78.7 (74.5-82.3)
"COVID-19
hospitalisation",BNT162b2,4-7,NA,0.25 (0.22-0.29),0.28 (0.25-0.33),0.29 (0.25-0.33), 75.0 (71.3-78.2), 71.5 (67.3-75.2), 71.0 (66.7-74.8)
"COVID-19
hospitalisation",BNT162b2,8-14,NA,0.31 (0.28-0.34),0.35 (0.32-0.39),0.36 (0.32-0.40), 69.2 (66.0-72.1), 64.6 (60.9-67.9), 64.1 (60.4-67.5)
"COVID-19
hospitalisation",BNT162b2,15-21,NA,0.24 (0.21-0.27),0.28 (0.25-0.31),0.28 (0.25-0.31), 76.3 (73.4-78.8), 72.5 (69.2-75.5), 72.0 (68.6-75.0)
"COVID-19
hospitalisation",BNT162b2,22-28,NA,0.22 (0.19-0.26),0.27 (0.23-0.31),0.27 (0.24-0.31), 77.5 (74.1-80.5), 73.4 (69.3-77.0), 72.8 (68.6-76.4)
"COVID-19
hospitalisation",BNT162b2,29-35,NA,0.20 (0.17-0.23),0.23 (0.20-0.28),0.24 (0.20-0.29), 80.4 (76.8-83.5), 76.8 (72.4-80.4), 75.9 (71.4-79.7)
"COVID-19
hospitalisation",BNT162b2,36+,NA,0.20 (0.18-0.23),0.24 (0.21-0.27),0.24 (0.21-0.28), 79.6 (76.8-82.1), 76.3 (73.0-79.3), 75.5 (72.0-78.6)
"COVID-19
hospitalisation",ChAdOx1,1-3,NA,0.50 (0.41-0.60),0.52 (0.43-0.63),0.54 (0.44-0.65), 50.2 (39.6-58.8), 47.6 (36.5-56.8), 46.4 (34.9-55.8)
"COVID-19
hospitalisation",ChAdOx1,4-7,NA,0.44 (0.36-0.53),0.47 (0.39-0.57),0.48 (0.40-0.58), 56.3 (47.5-63.6), 53.0 (43.5-60.9), 52.1 (42.4-60.2)
"COVID-19
hospitalisation",ChAdOx1,8-14,NA,0.44 (0.38-0.51),0.49 (0.42-0.57),0.50 (0.43-0.59), 56.0 (48.6-62.3), 51.2 (43.0-58.3), 49.7 (41.1-57.0)
"COVID-19
hospitalisation",ChAdOx1,15-21,NA,0.40 (0.33-0.48),0.46 (0.38-0.55),0.47 (0.39-0.57), 60.0 (52.0-66.6), 54.5 (45.3-62.1), 53.0 (43.5-60.9)
"COVID-19
hospitalisation",ChAdOx1,22-28,NA,0.36 (0.29-0.45),0.41 (0.33-0.51),0.42 (0.34-0.53), 64.2 (55.3-71.4), 58.9 (48.5-67.2), 57.5 (46.8-66.1)
"COVID-19
hospitalisation",ChAdOx1,29-35,NA,0.31 (0.23-0.41),0.35 (0.26-0.47),0.37 (0.27-0.49), 69.4 (59.4-77.0), 64.8 (53.2-73.6), 63.5 (51.4-72.6)
