variable,var_label,var_type,reference_row,row_type,label,N,term,var_class,var_nlevels,header_row,contrasts,contrasts_type,n_obs,n_event,estimate,std.error,statistic,or,or.ll,or.ul,conf.low,conf.high,ci,p.value
"age, degree = 2",Age,continuous,NA,label,Age,3684249,NA,nmatrix.2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age, degree = 2",Age,continuous,NA,level,Age,3684249,"poly(age, degree = 2, raw = TRUE)1",nmatrix.2,NA,FALSE,NA,NA,3684249,68416,0.5508886848972808,0.0364529070289958,15.112338899585883,1.7347940182780177,1.6151733687570002,1.863273840485149,0.47944229998866206,0.6223350698058996,"0.48, 0.62",1.3428733899548288e-51
"age, degree = 2",Age,continuous,NA,level,Age²,3684249,"poly(age, degree = 2, raw = TRUE)2",nmatrix.2,NA,FALSE,NA,NA,3684249,68416,-0.0033515963592289835,0.00021127055323133723,-15.864001433077373,0.9966540139702451,0.9962414022433442,0.9970667965878928,-0.003765679034556257,-0.00293751368390171,"0.00, 0.00",1.1249244149407008e-56
sex,Sex,dichotomous,NA,label,Sex,3684249,NA,factor,2,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,TRUE,level,Female,3684249,sexFemale,factor,2,FALSE,contr.treatment,treatment,2172209,38058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sex,Sex,dichotomous,FALSE,level,Male,3684249,sexMale,factor,2,FALSE,contr.treatment,treatment,1512040,30358,0.1171138715784904,0.008002237985543587,14.635139793400551,1.1242474422327642,1.1067521921429953,1.1420192526744137,0.10142977333110662,0.1327979698258742,"0.10, 0.13",1.676307942555353e-48
imd,Deprivation,categorical,NA,label,Deprivation,3684249,NA,factor,5,TRUE,contr.treatment,treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,TRUE,level,1 most deprived,3684249,imd1 most deprived,factor,5,FALSE,contr.treatment,treatment,513113,7957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imd,Deprivation,categorical,FALSE,level,2,3684249,imd2,factor,5,FALSE,contr.treatment,treatment,647112,11152,0.08898967374958337,0.01543407706439755,5.7657917203782585,1.0930693689600255,1.0604988796312822,1.1266401769081367,0.0587394385687485,0.11923990893041825,"0.06, 0.12",8.127538328412797e-9
imd,Deprivation,categorical,FALSE,level,3,3684249,imd3,factor,5,FALSE,contr.treatment,treatment,838452,15355,0.1345798489367693,0.014722126923035296,9.14133193120323,1.1440560070110906,1.1115161790780483,1.1775484440215733,0.10572501039179265,0.16343468748174597,"0.11, 0.16",6.168781301049212e-20
